Unnamed: 0,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,24_mnist,9_census,28_pendigits,11_donors,1_ALOI,44_Wilt,38_thyroid,23_mammography,2_annthyroid,3_backdoor,41_Waveform,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,25_musk,33_skin,8_celeba,19_landsat,5_campaign,30_satellite
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'ReLU', 'dropout': 0.3, 'network_initialization': 'kaiming_normal', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 100, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.5368234604730449,0.5321259498646169,0.9371591983692334,0.3994844125541247,0.9452793531845968,0.6725900704246388,,0.9283091017251636,,0.9760651992861392,0.4857406305770375,0.4833978584176086,0.7681502676977989,0.9544044021415824,0.4428612730517549,0.9884459250446164,0.7790176085663296,0.7411453896490184,0.7249565734681737,0.8932699583581202,0.6733426531826293,0.8315055324211779,0.2234201070791195,,0.9213688280785248,0.63161499107674,0.6870553242117786,0.6672023795359905
"{'augmentation': 'SMOTE', 'preprocess': 'normalize', 'network_architecture': 'FTT', 'layers': 3, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 64, 'lr': 0.001, 'weight_decay': 0.0001}",0.8138368929174384,0.9911398375403964,0.9912538992358916,0.9753674166970606,,0.9448468468556704,0.983965496728138,,0.9998412849494348,0.9790731707317072,0.8418588935157645,0.9849352766210588,0.9994593694229624,0.9892427126710291,0.9770829268292684,0.9947336109458657,0.9936423557406306,0.994767757287329,0.9280128494943484,0.9874853063652588,0.979323022010708,0.9763369422962525,0.9950146341463416,0.913086020226056,0.9902251041046995,0.8491071980963713,0.995767043426532,0.9134726948245092
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 1, 'hidden_size_list': [20], 'act_fun': 'LeakyReLU', 'dropout': 0.3, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.01, 'weight_decay': 0.01}",0.7953519152911865,0.9803091973098086,0.9892431572410798,0.8918768528649853,0.9762551499309552,0.9262977579784148,0.981338488994646,0.9872383105294468,0.9996473527662106,0.9880273646638904,0.8143293277810827,0.9807535990481856,0.9992325996430697,0.9775511005353956,0.9651281380130876,0.9970579417013682,0.9687747769185008,0.9983288518738844,0.8304673408685306,0.97784747174301,0.9760197501487208,0.948103509815586,0.9944587745389648,0.9213320642474718,0.9774957763236168,0.5476157049375372,0.9978824509220702,0.8522870910172516
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 100, 'batch_size': 64, 'lr': 0.01, 'weight_decay': 0.01}",0.8859830107033388,0.9929976417154336,0.9897750437024576,0.9743118097055056,0.9958527557675814,0.9712978338828652,0.996261986912552,0.996222962522308,0.9997361094586557,0.987846995835812,0.9048033313503868,0.983995716835217,0.999456751933373,0.9799420582986318,0.9826454491374182,0.9996949434860204,0.9901004164187984,0.9984866151100537,0.9441011302795954,0.9854403331350388,0.989281261154075,0.973856751933373,0.9981503866745984,0.925372992266508,0.995348958953004,0.9831086258179657,0.9965963117192148,0.9618400951814396
"{'augmentation': 'Mixup', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'kaiming_uniform', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 16, 'lr': 0.001, 'weight_decay': 0.0001}",0.8592502745496566,0.9890453314699974,0.9930904253177956,0.971022243731822,0.9922998437105438,0.9687185516843198,0.995674241522903,0.9953042236763832,0.999718024985128,0.9902177275431292,0.935871505056514,0.9832423557406306,0.9992573468173706,0.9877343248066628,0.976705532421178,0.9995923854848304,0.9910391433670434,0.9984697204045212,0.925841998810232,0.9890834027364664,0.9905413444378346,0.9755952409280192,0.9986627007733492,0.9304299821534802,0.9975052944675789,0.9436849494348604,0.994967757287329,0.9404221296847116
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 1, 'hidden_size_list': [20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.001, 'weight_decay': 0.01}",0.6880654903374912,0.8514708708184121,0.9706700251623211,0.6632905946936754,0.9860522466324968,0.8736298634552391,0.9384392623438428,0.93666246281975,0.997076026174896,0.9448157049375372,0.6581803688280785,0.7693506246281975,0.9986005948839975,0.8202004759071982,0.800805472932778,0.9645453896490184,0.930979417013682,0.996686258179655,0.7507117192147531,0.9796183224271268,0.8634412849494348,0.9290793575252824,0.997002736466389,,0.939217013682332,0.5703533610945866,0.8378986317668053,0.7344536585365855
"{'augmentation': 'Oversampling', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.3, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 64, 'lr': 0.001, 'weight_decay': 0.01}",0.4362348178137651,0.3864485981308411,0.9776848552919072,0.352036748683706,0.9752661129424504,0.2797757243855534,0.9490403331350388,0.936774776918501,0.9990888756692444,0.9706705532421178,0.5,0.5,0.998997025580012,0.788405710886377,0.5,0.9862243902439024,0.5,0.9976897085068412,0.5,0.977066508030934,0.2066554431885782,0.9136582986317668,0.9975333729922664,0.8368648423557407,0.9537908387864366,0.5,0.5,0.5
"{'augmentation': None, 'preprocess': 'normalize', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'kaiming_uniform', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 16, 'lr': 0.001, 'weight_decay': 0.01}",0.8231797767542494,0.987036422394969,0.9849161354951064,0.94467123044263,0.9914205733343344,0.9392024939753902,0.9901249256395002,0.995145746579417,0.9995352766210588,0.9888518738845926,0.8854584176085664,0.9844663890541344,0.9991426531826294,0.9782251041046994,0.9706403331350386,0.9994391433670434,0.9834336704342652,0.9982067816775728,0.9008259369422964,0.97839000594884,0.9928659131469364,0.9542729327781084,0.9985886972040452,0.920246281975015,0.988109220701963,0.8984756692444975,0.9977744199881023,0.9034753123140988
"{'augmentation': 'Oversampling', 'preprocess': 'normalize', 'network_architecture': 'ResNet', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 64, 'lr': 0.01, 'weight_decay': 0.0001}",0.899046657050599,0.9995728884618744,0.9971818596360869,0.9795436691636508,0.9982528340260574,0.9901480920314528,0.999832004759072,0.9998605591909576,0.9999828673408684,0.9933146936347412,0.9310355740630576,0.9896542534205828,0.999945746579417,0.9868286734086854,0.9847928613920286,0.999999524092802,0.9998974419988104,0.999728970850684,0.948859012492564,0.9874841165972634,0.997026531826294,0.9679689470553242,0.9997441998810233,0.9323901249256396,0.9998436644854254,0.9771940511600238,0.9999038667459844,0.9919202855443188
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 1, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 100, 'batch_size': 64, 'lr': 0.01, 'weight_decay': 0.0001}",0.8399477945876839,0.965792645645908,0.9848032910969728,0.9303539030571688,0.966820055554418,0.9341404016863522,0.9813651397977394,0.9937765615704938,0.9992725758477096,0.9854467578822128,0.8236254610350981,0.9828706722189172,0.99925496728138,0.986595240928019,0.978606781677573,0.9988656751933374,0.9845001784651992,0.9980390243902438,0.8918141582391433,0.9851421772754312,0.9456837596668648,0.9690318857822724,0.9967402736466388,0.9223940511600238,0.9946108268887568,0.9246196311719216,0.986139440809042,0.8923878643664486
