Unnamed: 0,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,9_census,28_pendigits,11_donors,36_speech,44_Wilt,38_thyroid,23_mammography,24_mnist,1_ALOI,3_backdoor,41_Waveform,31_satimage-2,26_optdigits,5_campaign,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,10_cover,25_musk,33_skin,8_celeba,19_landsat,2_annthyroid,30_satellite
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'ReLU', 'dropout': 0.3, 'network_initialization': 'kaiming_normal', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 100, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.7727423808455429,,0.4256554048828686,,0.4537347055595757,0.6565365969325353,0.773962506362869,,,,,,0.843646196727278,0.8825692249745938,0.9513230034037666,,0.9601967662531186,0.7128336098563135,0.9949848812567446,,,,,0.6379257842790318,,,,,,,,0.3734350347490082
"{'augmentation': 'SMOTE', 'preprocess': 'normalize', 'network_architecture': 'FTT', 'layers': 3, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 64, 'lr': 0.001, 'weight_decay': 0.0001}",0.9389244929593958,0.7749686375200218,0.9870473609973124,0.9925247138441904,0.9960903638771,,0.9812876641120004,,0.9831714662370162,0.945923768038035,,0.9618805677302592,0.9879919224707993,0.9722574251897926,0.9886674785237696,0.98796683723757,0.9973177306523776,0.9828834516914446,0.9977874868843432,0.9783010134367656,,0.9978817989582508,0.9778645693945524,0.9955276766917336,0.9919546645846482,0.9979969358408174,0.978327135347993,0.8450590898954117,0.9942067316236232,0.9782356277759536,0.984061770524192,0.9720523592016196
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 1, 'hidden_size_list': [20], 'act_fun': 'LeakyReLU', 'dropout': 0.3, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.01, 'weight_decay': 0.01}",0.9777846721991948,0.8512754999366785,0.9855258595190975,0.9890574860034684,0.9812635422209608,0.9936150865330796,0.931577060203748,0.9994716162375792,0.9871292931173584,0.984869041005074,1.0,0.9447422492611776,0.9884586454201426,0.9251259148889752,0.9953224913305664,0.9716281077560972,0.999197728646199,0.9821857418227938,0.9967149557368384,0.9920830920570036,,0.9585783626756208,0.938261559187261,0.9990603807414448,0.961960950447435,0.996739435987308,0.9863157070794364,,0.9716949669773466,0.8715140545409108,0.9719590360253948,0.949741109387414
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 100, 'batch_size': 64, 'lr': 0.01, 'weight_decay': 0.01}",0.9993206480198608,0.9575587925659892,0.9995418511752548,0.9958796504796265,0.9968256679161172,0.9983235711382846,0.9940405569377104,0.9980107913831722,0.9871443246737664,0.9892922487022452,1.0,0.9865784045256324,0.9904383262929508,0.9533664658234272,0.9994123584839274,0.9928864731477692,0.9987727182873276,0.99923083158167,0.996159666263134,0.99813590303767,,0.9967357689874012,0.9823651746688228,0.996905509326738,0.9824582958723298,0.9944378354960342,0.9922309174855644,0.8698718791309884,0.9998432183388632,0.9993125189158012,0.9927075115751358,0.9975127914204204
"{'augmentation': 'Mixup', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'kaiming_uniform', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 16, 'lr': 0.001, 'weight_decay': 0.0001}",0.9943873433373444,0.9024960728176348,0.9999532545749056,0.9960939272085436,0.9953340966322494,0.9971998755461076,0.9933855302426442,0.999525848239593,0.9962621286565848,0.9941404836132316,1.0,0.9720333668000712,0.9919091692525344,0.9745785235262274,0.9993408267946318,0.9931290217681956,0.9988853951673776,0.9953926953616884,0.99948060151137,0.9996346825560528,,0.9953171852095156,0.9906034896248116,0.9987971100389786,0.9844453226910784,0.9981805470843778,0.9977494002233837,0.9073779729697018,0.9993075587021154,0.9929772251158075,0.9943004430136968,0.9838290260915448
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 1, 'hidden_size_list': [20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.001, 'weight_decay': 0.01}",0.9635825310374792,0.6203396381865678,0.8061777781135655,0.9323270520561692,0.7253999784365867,0.995702853800685,0.7805792350502658,0.994031554576129,0.992228818261174,0.9160176286387604,0.99960192942661,0.9054270575570004,0.9710069397108028,0.8207851600159612,0.9564913386917382,0.8239923867128065,0.9660936752068212,0.854738030444699,0.9954012909591132,0.9804770806309516,,0.710552079751049,0.935334890949623,0.9510566536498264,0.8579703402386902,0.9899225548323436,0.989793684687302,,0.8900308232944378,0.647119309768094,0.9328222371205576,0.6424060740245481
"{'augmentation': 'Oversampling', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.3, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 64, 'lr': 0.001, 'weight_decay': 0.01}",0.5,0.5,0.385727175796819,0.936595188542374,0.5,0.9871757612704756,0.4217200737028452,0.9960638503442466,0.985920293650676,0.9004813361878561,0.5,0.5,0.975416272550188,0.5,0.9673370212979764,0.5,0.9825222613332296,0.5,0.9930520851752064,0.984827843048749,,0.5,0.9047165200421012,0.9528655100228196,0.5,0.993224168190803,0.9860219149095456,0.7588646019447213,0.9171632866026088,0.5,0.4508549203253134,0.5
"{'augmentation': None, 'preprocess': 'normalize', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'kaiming_uniform', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 16, 'lr': 0.001, 'weight_decay': 0.01}",0.9826492773557628,0.8242937172889526,0.9996452053380354,0.97601541723907,0.9937413557475928,0.9960487344582232,0.9844103714121534,0.9993484662198312,0.9860890922677418,0.9819873703170124,1.0,0.9549647688876132,0.9756633029882869,0.960678264810241,0.9956627232777412,0.9865695491911626,0.9981651224585424,0.98516848151907,0.9949258171786872,0.9858232775294278,,0.9589140564430122,0.9254788044709614,0.9988765772661315,0.9610926628175857,0.9954205925300836,0.9895763612463462,0.8807813191029452,0.998483121584937,0.9855264076520878,0.9801053137757538,0.9664214888284636
"{'augmentation': 'Oversampling', 'preprocess': 'normalize', 'network_architecture': 'ResNet', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 64, 'lr': 0.01, 'weight_decay': 0.0001}",0.999939692526727,0.9781295074369816,1.0,0.9999491736011225,0.999991152011659,0.9998182258493128,0.9990504804118931,1.0,0.9989002903349457,0.9956053494454634,1.0,0.987752568713867,0.9961795984050776,0.980994193525441,0.9999983959361256,0.9983982840433212,0.9994210541713342,1.0,1.0,1.0,,0.9999951848315488,0.9891882168915432,0.9998540203507555,0.9935380462825708,0.9999521748793258,0.9994678646391552,0.9285337685635002,1.0,1.0,0.9980831251453872,1.0
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 1, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 100, 'batch_size': 64, 'lr': 0.01, 'weight_decay': 0.0001}",0.9757591640827056,0.896848220369043,0.9937562304286318,0.9895324817573878,0.989232413506211,0.961160407014574,0.9658593493866944,0.994179115143626,0.99237167698591,0.9847247668700232,0.9973336113861168,0.970135695800294,0.993302038318158,0.9461037271140088,0.9968273458168908,0.974225936084686,0.996758162106976,0.9838815674413398,0.9991719903472266,0.9947270259674864,,0.9770438629592624,0.98857941583657,0.9874675034507308,0.9765852098584924,0.997759490837524,0.9953071704457112,0.8651811208837348,0.994106405371647,0.994501067193672,0.9858105504763168,0.9876266315588867
