Unnamed: 0,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,24_mnist,9_census,28_pendigits,11_donors,1_ALOI,44_Wilt,38_thyroid,2_annthyroid,3_backdoor,41_Waveform,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,25_musk,33_skin,19_landsat,5_campaign,30_satellite
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'ReLU', 'dropout': 0.3, 'network_initialization': 'kaiming_normal', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 100, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.5748936632300153,0.5152502401956502,,,,0.5127805954924509,,,0.991841998810232,0.9456825698988698,0.5530876859012492,,0.998978465199286,0.7396124925639501,0.8811083878643662,0.7248483045806067,,,,,,,,0.7146854253420583,0.8030435455086259,0.5210512790005949
"{'augmentation': 'SMOTE', 'preprocess': 'normalize', 'network_architecture': 'FTT', 'layers': 3, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 64, 'lr': 0.001, 'weight_decay': 0.0001}",0.8147568391548787,0.9859891693597694,0.9937823396537196,0.9722572922219416,,0.9668659933860292,0.9941196906603212,,0.9994741225461036,0.984424747174301,0.8940494943486019,0.9875300416418796,0.9992276026174896,0.975031528851874,0.9977462224866152,0.9931236168947054,0.999256276026175,0.9325744199881024,0.9794117787031528,0.9804604402141582,0.9734926829268294,,0.933807257584771,0.8914101130279596,0.9942967281380132,0.8732399762046401
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 1, 'hidden_size_list': [20], 'act_fun': 'LeakyReLU', 'dropout': 0.3, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.01, 'weight_decay': 0.01}",0.7334486510187022,0.947762249978164,0.97500727549409,0.9075133967398928,0.9703431088179558,0.92407277816655,0.9747640690065436,0.986618203450327,0.9993589530041642,0.985883521713266,0.8185953599048186,0.9792831647828673,0.9990262938726948,0.968350505651398,0.9986803093396788,0.9822184414039262,0.9994616299821536,0.8588716240333135,0.9776666270077334,0.971723022010708,0.9571633551457466,0.9981223081499108,,0.7679685901249256,0.9967578822129683,0.8213190957763237
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 100, 'batch_size': 64, 'lr': 0.01, 'weight_decay': 0.01}",0.8845938713960236,0.9955131452528606,0.9883163153862348,0.979924763160602,0.9965591295109528,0.9560278172671364,0.9946493753718024,0.9956164187983344,0.9994936347412254,0.9882836406900656,0.9097292088042832,0.9865125520523498,0.9991483640690064,0.9748059488399764,0.999299464604402,0.980775252825699,0.9997369422962522,0.9510598453301606,0.9833458655562164,0.9848713860797144,0.9733948839976204,0.9987547888161808,0.936026769779893,0.8493694229625224,0.9972966091612137,0.974389530041642
"{'augmentation': 'Mixup', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'kaiming_uniform', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 16, 'lr': 0.001, 'weight_decay': 0.0001}",0.8453629792325722,0.993043060529304,0.9909394527112684,0.9808424281532606,0.9919671314401152,0.9557320347632589,0.994681975014872,0.9927491969066032,0.9997254015466984,0.9908713860797144,0.9589934562760262,0.9839286139202856,0.9993532421177872,0.97788744794765,0.9990957763236168,0.9886995835812016,0.9996239143367044,0.9340913741820344,0.9894460440214158,0.9883738251041048,0.97719000594884,0.9990543723973824,0.9389246876859012,0.9554767400356928,0.9974115407495538,0.94813254015467
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 1, 'hidden_size_list': [20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.001, 'weight_decay': 0.01}",0.6762506351521906,0.7769097737793693,0.9663981057978924,0.6920456564636347,0.9863787027747636,0.8696985026255594,0.9530158239143368,0.923896490184414,0.9886086853063654,0.9542196311719215,0.6713965496728138,0.820437239738251,0.9956442593694228,0.8206561570493753,0.9471696609161212,0.923871505056514,0.9983296847114812,0.7911231409875075,0.979773230220107,0.8932920880428317,0.9201810826888756,0.9981211183819156,,0.5920876859012493,0.8793960737656157,0.7486403331350386
"{'augmentation': 'Oversampling', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.3, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 64, 'lr': 0.001, 'weight_decay': 0.01}",0.4944331983805668,0.5,0.971452346998504,0.3261892821404857,0.9734273800017744,0.2892192174398065,0.970627007733492,0.9158798334324806,0.9932421177870314,0.9756183224271266,0.496829268292683,0.5,0.998464723378941,0.5,0.9841315883402736,0.5,0.999271743010113,0.5,0.9799145746579416,0.8879267102914932,0.8741958358120167,0.9980226055919096,0.8698967281380132,0.5,0.8706584176085662,0.5
"{'augmentation': None, 'preprocess': 'normalize', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'kaiming_uniform', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 16, 'lr': 0.001, 'weight_decay': 0.01}",0.7890444442623219,0.9883841383526945,0.9783932673468568,0.9673457387612342,0.9946191610418388,0.932449936117835,0.9917246876859012,0.995876977989292,0.9989813206424748,0.9862974419988102,0.8961651397977395,0.9813613325401546,0.9989208804283164,0.9694296252230814,0.9984004759071982,0.981451992861392,0.999370493753718,0.9003459845330161,0.9784849494348602,0.986375252825699,0.9602010707911958,0.9984580606781678,0.9364205829863176,0.9275202855443188,0.9959766805472932,0.9039067221891732
"{'augmentation': 'Oversampling', 'preprocess': 'normalize', 'network_architecture': 'ResNet', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 64, 'lr': 0.01, 'weight_decay': 0.0001}",0.8886250389286827,0.9999449733601188,0.9970244713965848,0.9886706365906348,0.9988892528818002,0.9842662316770332,0.9999983343248068,0.9999976204640096,0.999999762046401,0.9911689470553242,0.9169303985722784,0.9906091612135632,0.9999764425936942,0.9817813206424748,0.9994972040452113,0.9998943486020226,0.9999817965496728,0.9633903628792386,0.9854612730517548,0.9957411064842356,0.9673789411064844,0.9998829268292684,0.941567995240928,0.9995038667459846,0.999906484235574,0.8147966686496133
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 1, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 100, 'batch_size': 64, 'lr': 0.01, 'weight_decay': 0.0001}",0.781473839925257,0.9710699624421348,0.9882450452400452,0.9573665703410674,0.9724983449697318,0.9424820559430492,0.9896166567519334,0.9732095181439618,0.9954855443188576,0.9893886972040452,0.8823745389649018,0.985792266508031,0.9994522308149912,0.9689909577632364,0.9913173111243307,0.9881106484235572,0.999104461629982,0.9228416418798336,0.9851198096371206,0.9609213563355148,0.9693001784651992,0.9992475907198096,0.9402278405710888,0.9284314098750742,0.9900618679357523,0.9354631766805472
