Unnamed: 0,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,23_mammography,38_thyroid,44_Wilt,3_backdoor,11_donors,28_pendigits,9_census,24_mnist,36_speech,1_ALOI,5_campaign,41_Waveform,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,25_musk,33_skin,8_celeba,19_landsat,2_annthyroid,30_satellite
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'ReLU', 'dropout': 0.3, 'network_initialization': 'kaiming_normal', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 100, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.901580509212215,,0.5185955255311607,,0.5998914394765233,,0.7872737352160429,,0.9937437654231384,0.4514092611409493,,,0.990995732326898,0.2312646828276963,0.946270518217448,0.2286140804180577,0.7227066918275511,0.3044124836696182,0.7805541588038902,0.7353406299898388,0.5617148497604878,0.947782726085063,,0.8222278995500073,,,,0.7512112643344462,,0.3752744375090724
"{'augmentation': 'SMOTE', 'preprocess': 'normalize', 'network_architecture': 'FTT', 'layers': 3, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 64, 'lr': 0.001, 'weight_decay': 0.0001}",0.9963746260257724,0.8299290857548807,0.985489877191885,0.9925909773215952,0.9957217361354592,,0.9723080474297532,0.9810111191754972,0.993785338946146,0.9833575845550876,,0.9801215851357236,0.9950046741181594,,0.9954403832196256,,0.975365945710553,0.9990795761358688,0.983568703730585,0.9960783858324864,0.9770911307882132,0.9799894324285092,0.9955095950065322,0.9866679053563652,0.9901813325591524,0.9137179851937872,0.9949310494992016,0.8851344462186095,0.9757082885759908,0.817256031354333
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 1, 'hidden_size_list': [20], 'act_fun': 'LeakyReLU', 'dropout': 0.3, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.01, 'weight_decay': 0.01}",0.992515454902453,0.7911172526162845,0.9869502303955296,0.9787225140979348,0.9561503279045568,0.98580046800325,0.9633828039710212,,0.9930737117143272,0.982653737842938,0.9988266511830456,0.9840282188996952,0.994363652199158,0.9988888953403976,0.989211322398026,0.9554315575555232,0.9540698504862823,0.9986564087676004,0.9913104369284368,0.9959002467702134,0.9097717520685152,0.9671780519669038,0.9957532297866164,0.9296696762955436,0.9921943968645668,,0.9753657134562346,0.86481219335172,0.9648952242705764,0.7395781100304835
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 100, 'batch_size': 64, 'lr': 0.01, 'weight_decay': 0.01}",0.9997601301976852,0.9112383048016456,0.9972686140822752,0.9851667410442614,0.994529765224502,0.9979218727142928,0.9810360453258006,0.9675831034983308,0.9944094062998984,0.9850337639715488,0.999147162142546,0.9881217012628828,0.994648395993613,0.9986062418348092,0.9971374655247496,1.0,0.9778761503846712,0.9995754391058208,0.9942579764842502,0.9971790390477572,0.9619140078385832,0.9853094498475832,0.9949106111191754,0.9764138771955292,0.9957845841196108,0.9113271592393672,0.9991889679198722,0.9983356655537814,0.9827005370881114,0.9971325881840616
"{'augmentation': 'Mixup', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'kaiming_uniform', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 16, 'lr': 0.001, 'weight_decay': 0.0001}",0.9986680647263864,0.8774183394742971,0.9937691040637184,0.988166989533044,0.9880892953921152,0.9947753699455566,0.9807583879030288,0.97885951516911,0.9955767165045726,0.9845176948758892,0.9976507475685876,0.9921259979677748,0.9967484395412978,0.9977708230512412,0.9975146465379592,0.999961678037451,0.9737993903324138,0.999197096821019,0.989138626796342,0.998142429960807,0.971832660763536,0.984809754681376,0.9967324139933228,0.9772411670779504,0.996963971548846,0.9329151981419656,0.9986169255334592,0.9833148497604878,0.9856350704020904,0.9714062418348092
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 1, 'hidden_size_list': [20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.001, 'weight_decay': 0.01}",0.9604741122793098,0.6962629937174092,0.7941168866370593,0.9516524504036676,0.7857699608698123,0.9897792078790226,0.8538344158977086,,0.9857892872695604,0.8736789664682828,0.9841890550152416,0.9396999274205252,0.9902290608215996,0.9602956597474236,0.9516662505443462,0.9976570184351864,0.7864414573958484,0.9102255770068224,0.9025017273914936,0.9923795035563944,0.6925029467266657,0.9674048483088984,0.9319239367106982,0.9029692553345914,0.991421222238351,0.8485523007693424,0.9355282914791696,0.5935410074031064,0.8264823341559007,0.6258970532733342
"{'augmentation': 'Oversampling', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.3, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 64, 'lr': 0.001, 'weight_decay': 0.01}",0.4059356136820925,0.4772951628825271,0.3563987406434395,0.9535129467726886,0.2534820689418416,0.979348027970618,0.2812641312018828,0.935121846421832,0.991125330236609,0.5,0.9907588329220496,0.961454492669473,0.9929817390042096,0.959652547539556,0.972701524168965,0.5,0.3498795180722892,0.9081543329946292,0.5,0.9943097691972712,0.5,0.9645658876469736,0.9372901727391494,0.895563826389897,0.9925005080563216,0.847884569603716,0.947952039483234,0.4987951807228916,0.5,0.5
"{'augmentation': None, 'preprocess': 'normalize', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'kaiming_uniform', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 16, 'lr': 0.001, 'weight_decay': 0.01}",0.9957268763486352,0.8035718288118234,0.9899384916911658,0.975872499898576,0.9712486261100158,0.9971214129293156,0.962781134053193,0.9646722601248366,0.9924408186964726,0.9830953694295252,0.9967772390767892,0.9836991145304108,0.9941251270140804,0.9983454202351576,0.9926233705907967,1.0,0.96277404557991,0.9998246479895486,0.982182145449267,0.9959318333575266,0.9474863695746844,0.9657093917840034,0.9941214109449849,0.9518666860211932,0.9951818841631588,0.913915865873131,0.99254812019161,0.9543456524894758,0.9793384235738132,0.941811932065612
"{'augmentation': 'Oversampling', 'preprocess': 'normalize', 'network_architecture': 'ResNet', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 64, 'lr': 0.01, 'weight_decay': 0.0001}",1.0,0.8982073128305376,1.0,0.99615539677066,0.9985181966909584,0.9995315584420564,0.9964670812765242,0.9613737842938016,0.9968975468137612,0.9902532152707214,0.9996130643054144,0.9925654231383364,0.9987021628683408,0.9999145304108,0.9996481347075048,1.0,0.9793774422993176,0.9999988387284076,1.0,1.0,0.9976430831760776,0.9824132384961533,0.9992500508056322,0.9823652779793876,0.9992944113804616,0.9229915517491654,0.9999946581506748,0.9999047757294238,0.97892059805487,0.9997802874147192
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 1, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 100, 'batch_size': 64, 'lr': 0.01, 'weight_decay': 0.0001}",0.9975334906825256,0.8505631138730562,0.9795533871270408,0.987703608665666,0.9725587811056288,0.9758366338830626,0.9706298046086403,0.979231586587313,0.994996312962694,0.9827523298011324,0.9966093192045292,0.991171897227464,0.9964674118159385,0.9181120046450864,0.9801645521846422,0.98275418783568,0.9546690666279576,0.9922705762810278,0.99003512846567,0.9979868195674264,0.9617851066918276,0.9797959645812164,0.9887440267092464,0.9715530265640876,0.9943353171723036,0.917455421686747,0.9969811583684134,0.9293621715778778,0.9826728988242124,0.8556609086950211
