Unnamed: 0,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,24_mnist,9_census,28_pendigits,11_donors,1_ALOI,44_Wilt,38_thyroid,23_mammography,2_annthyroid,3_backdoor,41_Waveform,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,25_musk,33_skin,8_celeba,19_landsat,5_campaign,30_satellite
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'ReLU', 'dropout': 0.3, 'network_initialization': 'kaiming_normal', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 100, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.4766741678041455,0.4956113743335394,0.8952102792232568,0.4134351683757772,0.914557550380292,0.6443704284549612,,0.9059591190686298,,0.9657547222644148,0.4751244620196111,0.4475799910516953,0.7344560100584114,0.9631797082470158,0.4317199582265124,0.9870500161215132,0.6787037879308215,0.7247681947162075,0.6506605937585936,0.820517122342896,0.5885568524909657,0.8293509325163884,0.3486194647186484,,0.8987048233999997,0.5570652327864711,0.7018829671619069,0.6325054232821676
"{'augmentation': 'SMOTE', 'preprocess': 'normalize', 'network_architecture': 'FTT', 'layers': 3, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 64, 'lr': 0.001, 'weight_decay': 0.0001}",0.787256121100327,0.9871394560811196,0.989069723831722,0.9746177446334006,,0.9322021955949114,0.9732983786177634,,0.9998265579309588,0.9478603526775656,0.834576903924884,0.9774167757991484,0.9992727109761428,0.9878797336019624,0.963459144319958,0.991360979497388,0.9927432808186296,0.9804398185402334,0.913261583068895,0.9827815765312492,0.9720616941054568,0.9640063828321526,0.9902533449024136,0.8316343918382925,0.9873470154913906,0.8327770466960276,0.9950966465732672,0.9089817010788256
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 1, 'hidden_size_list': [20], 'act_fun': 'LeakyReLU', 'dropout': 0.3, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.01, 'weight_decay': 0.01}",0.7569279613378574,0.9725177622410508,0.9863201897828148,0.8972738697353903,0.961287543108932,0.884450321148286,0.961233167186273,0.9749393957311064,0.9995829808285426,0.981533468040631,0.8124652302727557,0.9641455410929392,0.9990336443023364,0.9756209378972044,0.9295220112652404,0.9963622996185983,0.9225140192379492,0.9977084111512404,0.8131089116811342,0.9549554366969508,0.960019032129626,0.904910259706048,0.9893619472182787,0.8783866586661635,0.9520960630991137,0.482942328089037,0.9975055357468026,0.8272411111986941
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 100, 'batch_size': 64, 'lr': 0.01, 'weight_decay': 0.01}",0.8660987596503104,0.990519509297137,0.9862375860169528,0.9725690355078016,0.9948626335324008,0.9680642387806544,0.9960317542371016,0.9960322118116808,0.9996938845562584,0.9832772723149564,0.9010327832639464,0.9683102859504276,0.9992375408810444,0.9797052876689472,0.971711847465248,0.9994041023471574,0.9874866744795676,0.9978148608946024,0.9343348330670522,0.9751139528311448,0.9872108493659986,0.9603270011640108,0.9972657602598812,0.8879988935652626,0.9948246633101366,0.9800191914815792,0.9966057938485195,0.9475991817552458
"{'augmentation': 'Mixup', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'kaiming_uniform', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 16, 'lr': 0.001, 'weight_decay': 0.0001}",0.8150921894730944,0.9864397305180154,0.9919414878001712,0.9714980449376696,0.991658766086922,0.964157928831729,0.995397251065675,0.9948916835342608,0.9996899864565968,0.9877551383940496,0.9345904892766176,0.9746917617381284,0.999125708383061,0.986167324465996,0.9630306362854582,0.9994445216242682,0.9904899158838624,0.9982936884506296,0.9135874405198708,0.9855343937076364,0.9897675372925856,0.9647721876088666,0.9982463476195704,0.8908119231160818,0.9971506300763772,0.9299017644914076,0.9944426870973676,0.9343657717351084
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 1, 'hidden_size_list': [20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.001, 'weight_decay': 0.01}",0.6249067064836908,0.8163931733762382,0.9539161946246876,0.6416668897472547,0.9805811700326864,0.8249498073165437,0.9139260401007216,0.9323411598799594,0.9968619072344844,0.9248926820965728,0.6433104844215812,0.6866979984328017,0.9983625988864132,0.8052177814063572,0.7831926078427054,0.9709775259480112,0.8868884071705376,0.994949544265714,0.7164492496698389,0.963357788624385,0.8248505090746048,0.9036579816062535,0.995697074322056,,0.9221496431464404,0.5346159433621889,0.8183917566891306,0.6822282245508748
"{'augmentation': 'Oversampling', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.3, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 64, 'lr': 0.001, 'weight_decay': 0.01}",0.4823628219484882,0.4977559011488309,0.9642351033682136,0.419657115520434,0.9676956757130392,0.4558028227722684,0.9164200588717524,0.9312889096600472,0.9989768844552764,0.940176677196592,0.5,0.5,0.9987292669151044,0.7291037002507181,0.5,0.9868560343119568,0.5,0.9963542840346246,0.5,0.9473315639745762,0.4401147102433403,0.8922445581960936,0.9966093151737168,0.7001942694717279,0.9380125672497648,0.5,0.5,0.5
"{'augmentation': None, 'preprocess': 'normalize', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'kaiming_uniform', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 16, 'lr': 0.001, 'weight_decay': 0.01}",0.795122310979141,0.9765413851171948,0.9749806298620172,0.9469017935200744,0.9896433934392068,0.9185902309007248,0.9869733894782156,0.9936293453052054,0.9994681180690336,0.9862289053067924,0.8828488394461497,0.9733376841836552,0.9989055680523756,0.9764480504793224,0.939412677517512,0.9988631655207364,0.9794964289873834,0.9975341644401906,0.8856098895087716,0.954665213752924,0.9916249398889178,0.9258036494938532,0.9982077920432753,0.8792365330262331,0.9845351634890206,0.8574454818555821,0.9976789155518068,0.8945357826877891
"{'augmentation': 'Oversampling', 'preprocess': 'normalize', 'network_architecture': 'ResNet', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 64, 'lr': 0.01, 'weight_decay': 0.0001}",0.874158656495519,0.99949073804054,0.9966994935233068,0.9808272416485754,0.9980502925439192,0.9880835942840072,0.9998722209214852,0.9998499537331782,0.9999827337164364,0.9910956331563422,0.9263919900282628,0.9849733053985354,0.999944205052381,0.9857106098189168,0.972972589266411,0.9999995243248384,0.999896054878115,0.9996972569744464,0.9502153443344332,0.9840481389064122,0.9962297805435636,0.961420703931948,0.999728509504016,0.890547773486147,0.9998306279741116,0.987423634396891,0.999894041795605,0.9927355393788
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 1, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 100, 'batch_size': 64, 'lr': 0.01, 'weight_decay': 0.0001}",0.8156823053651787,0.9591237895645376,0.9809632697807829,0.932239324085111,0.9561031810709713,0.91541849548113,0.975096431019024,0.9937417552316472,0.9990547577897756,0.9749057952148784,0.8062996422887777,0.9663025615167846,0.9990643779543268,0.9852348309717984,0.968194248905124,0.998395905805832,0.9835478176656636,0.997552598802337,0.8768145684809102,0.9778808340988692,0.9289200615948464,0.9514288651780268,0.9913625564943308,0.856380291188547,0.994304998858887,0.9001205392712166,0.9855055016777158,0.8824188103882608
