Unnamed: 0,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,9_census,28_pendigits,11_donors,36_speech,44_Wilt,38_thyroid,23_mammography,24_mnist,1_ALOI,3_backdoor,41_Waveform,31_satimage-2,26_optdigits,22_magic.gamma,32_shuttle,10_cover,5_campaign,35_SpamBase,27_PageBlocks,25_musk,33_skin,8_celeba,19_landsat,2_annthyroid,30_satellite
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'ReLU', 'dropout': 0.3, 'network_initialization': 'kaiming_normal', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 100, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9400679732317444,,0.4321594628969371,0.945474461438598,0.3175423450761415,0.9614286316959064,0.7066693596756282,0.9305403977355202,0.990896791987226,0.9736382058353898,0.2752085934097837,0.3964777471331108,0.9930476992306576,0.9093125852808828,,0.4588620699666134,0.9825999709682104,0.5024899985484105,0.990061837712295,,0.7781007403106401,0.9571495427493104,,,0.7820101611264334,0.8585167077950355,,,0.9339734649441136,0.5803709101466106,0.4499077369719843,0.7462073450428218
"{'augmentation': 'SMOTE', 'preprocess': 'normalize', 'network_architecture': 'FTT', 'layers': 3, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 64, 'lr': 0.001, 'weight_decay': 0.0001}",0.9967420215457736,0.8557118759190736,0.9906891015616855,0.989574247433973,0.9812779526464512,,0.9787991765825526,,0.9950051386267964,0.9768467992451736,,0.9805073595587168,0.9949775003628972,0.9822560023225432,0.998492204964436,0.9351754971694004,0.9982086224415736,0.9920843083176076,0.9997366236028452,0.993497111336914,0.9638512411090142,0.9864758310349836,,,0.9967502975758455,0.9796211932065612,0.9905645521846422,0.9304467992451734,0.9871968645667004,0.8143521556103933,0.9800793148497604,0.9298303962839308
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 1, 'hidden_size_list': [20], 'act_fun': 'LeakyReLU', 'dropout': 0.3, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.01, 'weight_decay': 0.01}",0.9956621013809211,0.7367675304944896,0.9879285252601072,0.987552740476287,0.9545070063464854,0.9920304667814668,0.9373128059198266,0.9985614167513428,0.9927736391348528,0.9848535346204094,1.0,0.9756811148207288,0.9922208738568732,0.9708808825664104,0.9961429525330238,0.9057200754826532,0.99901222238351,0.9868228189867906,0.9992918565829584,0.9948557991000144,0.9324609086950212,0.970736188125998,,,0.997292843663812,0.9552938307446656,0.9875808970823052,,0.9863849034692987,0.5796373348816954,0.9691529104369284,0.9062215125562492
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 100, 'batch_size': 64, 'lr': 0.01, 'weight_decay': 0.01}",0.9988542927585636,0.9341999222350316,0.9992335439211026,0.990255055986044,0.9843906963237434,0.9991321503768626,0.9686407935988376,0.9990382348671796,0.995000958049064,0.9915951807228915,0.9999939613877196,0.9786172739149368,0.9946913630425316,0.9774580926114096,0.9997663521556104,0.9608105675714907,0.999011293366236,0.9958874727826972,0.9996063289301784,0.9981637973581072,0.9722293511394976,0.9832526056031352,,,0.994398954855567,0.9760778051966904,0.9946079837421976,0.933554362026419,0.9953766294092032,0.983836492959791,0.9835705617651328,0.993431151110466
"{'augmentation': 'Mixup', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'kaiming_uniform', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 16, 'lr': 0.001, 'weight_decay': 0.0001}",0.9982895360088094,0.9147274961531676,0.9945047017368278,0.9925428009249868,0.9885277020680526,0.997462745199022,0.9796411360587594,0.997768268253738,0.9965649586296996,0.9933970097256496,0.9999173174626216,0.9804455799100016,0.9948588184061548,0.9810582668021482,0.996547771810132,0.9683151691101756,0.9987586006677311,0.9941114240092902,0.9994790535636522,0.9973913194948468,0.9681918420670635,0.9861529975322976,,,0.996248395993613,0.979718623893163,0.9969574684279284,0.9340976048773406,0.9982570474669764,0.9809570039192916,0.9824908114385252,0.9807993032370448
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 1, 'hidden_size_list': [20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.001, 'weight_decay': 0.01}",0.9454736467092292,0.7026259807107796,0.8224073726569504,0.9532346646922796,0.685161537946377,0.990642126538392,0.8908617124131315,0.9718161707069242,0.9888037160690958,0.9470334736536508,0.9980683408332124,0.7516447670198868,0.9926275511685296,0.9288609667586006,0.9460252576571344,0.7451632457541008,0.9574119901291914,0.9133893453331398,0.9966752794309768,0.9915354913630424,0.8193774422993176,0.975972826244738,,,0.934433909130498,0.9091244592829149,0.9919523878647118,0.8485095659747424,0.9333071273043984,0.6128212512701408,0.8268610248221804,0.7681583974452025
"{'augmentation': 'Oversampling', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.3, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 64, 'lr': 0.001, 'weight_decay': 0.01}",0.5,0.5,0.321736827839286,0.9647291725830662,0.3720933046464916,0.9869608881432784,0.1911560198210504,0.9445316301349976,0.9916374510088548,0.967496472637538,0.5,0.5,0.9937244883147046,0.9290905501524168,0.9612459282914791,0.4289156626506024,0.9829330236609086,0.5,0.9977345913775584,0.9930795180722892,0.5,0.9714942662215126,,,0.9213737842938018,0.9156528959210336,0.9922092611409494,0.8479976774568151,0.9479017564232832,0.4481927710843373,0.5014457831325301,0.48
"{'augmentation': None, 'preprocess': 'normalize', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'kaiming_uniform', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 16, 'lr': 0.001, 'weight_decay': 0.01}",0.9956256654615824,0.8540903106603299,0.9940635099351556,0.9818913799748468,0.9868162839659652,0.9953988629197552,0.9576111244605312,0.9973764552184642,0.9927346204093482,0.987417390042096,0.9999930323704456,0.979097111336914,0.9941601974161708,0.9697093917840036,0.995047641167078,0.9391523878647118,0.996805806357962,0.987090375961678,0.9992430831760778,0.9942621570619828,0.9262978080998692,0.9739224851212076,,,0.997748991145304,0.9613568297285529,0.9944890695311366,0.9290688343736392,0.9882002032225288,0.9479403106401508,0.9681419073885904,0.9237267527943096
"{'augmentation': 'Oversampling', 'preprocess': 'normalize', 'network_architecture': 'ResNet', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 64, 'lr': 0.01, 'weight_decay': 0.0001}",0.9999817820403304,0.9508268131272724,1.0,0.9977515568582904,0.997114057208976,0.999283366599076,0.9952618493971004,0.9999928001161272,0.998870082740601,0.992415735230077,1.0,0.9844842502540282,0.9976254318478734,0.9811678908404704,0.9999993032370446,0.8951717811003048,0.9996973726230222,1.0,1.0,0.9998007257947452,0.9956740310640152,0.9869421977064886,,,0.9993903324139932,0.9846925823777036,0.99847176658441,0.9416226447960516,0.9998259253883002,1.0,0.9901631005951518,0.9999026854405574
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 1, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 100, 'batch_size': 64, 'lr': 0.01, 'weight_decay': 0.0001}",0.9972703423761888,0.8177717315568879,0.985892704489064,0.9858190240983408,0.9707303044815968,0.9830341973294996,0.9726571295047198,0.9772112062708668,0.9948813470750472,0.9905723327043112,0.9531582522862534,0.9766263898969372,0.9948383800261286,0.976334678472928,0.9939260850631442,0.9470275511685295,0.9933382493830744,0.9951064015096532,0.999131601103208,0.9954991435622008,0.9574823631876904,0.9865294817825518,,,0.9853891130788214,0.9733980548700828,0.9937909130497896,0.9339721875453622,0.995416344897663,0.9428280447089564,0.9823695746842792,0.9566288285672812
