Unnamed: 0,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,9_census,28_pendigits,11_donors,36_speech,44_Wilt,38_thyroid,23_mammography,24_mnist,1_ALOI,3_backdoor,41_Waveform,31_satimage-2,26_optdigits,5_campaign,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,10_cover,25_musk,33_skin,8_celeba,19_landsat,2_annthyroid,30_satellite
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'ReLU', 'dropout': 0.3, 'network_initialization': 'kaiming_normal', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 100, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.8300262945679174,,0.4188767145523903,,0.4265463066505825,0.667484388699412,0.8433590783151317,,,,,,0.7850742885922941,0.897530047389025,0.9720896957487236,,0.9806911471806964,0.8223543417046314,0.9978885556649344,,,,,0.7486025960944117,,,,,,,,0.2986724205031936
"{'augmentation': 'SMOTE', 'preprocess': 'normalize', 'network_architecture': 'FTT', 'layers': 3, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 64, 'lr': 0.001, 'weight_decay': 0.0001}",0.9790090375913116,0.825290693273176,0.990402564726889,0.9940647785960616,0.9969946684394508,,0.9843046283042186,,0.9937467090954876,0.9681403814015246,,0.9844962340605756,0.9922794807811176,0.9821760032966278,0.9941434490968613,0.989302442709645,0.9975778942789773,0.988956525720565,0.9986834092626083,0.9924225635859985,,0.9983434445182116,0.9849481467915112,0.996870721824134,0.9945889517181382,0.9983619880497242,0.9929193470845448,0.9166179803575925,0.9958952404935784,0.9846992971772623,0.9905290629793274,0.9827918316888352
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 1, 'hidden_size_list': [20], 'act_fun': 'LeakyReLU', 'dropout': 0.3, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.01, 'weight_decay': 0.01}",0.9925138569524428,0.8984891898439037,0.99481860238617,0.9923593619327478,0.992759908073506,0.995581353472429,0.9608964202782164,0.9996236349900414,0.9942762299397908,0.9876373022595636,1.0,0.9769230328975984,0.9928491792770312,0.9449261692726814,0.9972422792518486,0.9719699640575994,0.9992273528536436,0.989682928504384,0.9980881847943042,0.9952324809413704,,0.9676857214807352,0.9705480643758158,0.9991389849133492,0.979671024015018,0.9981499965660128,0.9940141022412492,,0.9897893821112156,0.916551589936128,0.9833545477438704,0.968249124333234
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 100, 'batch_size': 64, 'lr': 0.01, 'weight_decay': 0.01}",0.9994013246490212,0.9703364169026024,0.9995503611719828,0.996637450702316,0.9974481372557652,0.9987652441965408,0.9950981505226462,0.9993940157047686,0.9947203589661407,0.9913116686889036,1.0,0.9909844096975802,0.9938891051029052,0.9602108468212724,0.9994816968475996,0.9941553535862274,0.999063437192372,0.999328769945743,0.9980794853597674,0.9986861564524622,,0.9972580755935074,0.986943064490282,0.9977115908518578,0.988110162313134,0.9973274421373136,0.9966816235892036,0.923023511366498,0.9998546278702412,0.9993457109498408,0.9951003868959044,0.9979196904832766
"{'augmentation': 'Mixup', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'kaiming_uniform', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 16, 'lr': 0.001, 'weight_decay': 0.0001}",0.9971824442259506,0.9342240230737784,0.9999537375213052,0.9967977784394476,0.9956001417640375,0.9975186981900966,0.9943302960526164,0.9996165380829192,0.9973741443648269,0.994990384835512,1.0,0.9836824935326572,0.9951617408026372,0.9848826720999976,0.9993681463336463,0.9935484535610448,0.9991721801240814,0.9962045282846088,0.9995158077882832,0.9996392023992126,,0.9958757812321146,0.9924273711682424,0.9989127996153934,0.9877830177880542,0.9985526888120692,0.9979572354112772,0.9370704654197476,0.9993214441061332,0.9944515922254528,0.9955516128293764,0.9903255419976648
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 1, 'hidden_size_list': [20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.001, 'weight_decay': 0.01}",0.9760426724396194,0.6583464549046919,0.8416979141303467,0.9597589760319318,0.8098413739664874,0.9966590852088688,0.841619009796748,0.996657127813008,0.994841464252192,0.936798722556718,0.9997294017994094,0.930776996863625,0.982620132322978,0.8037391543233898,0.9743403310363774,0.8094938302694535,0.9598695084819489,0.9220878642888212,0.9966362949566172,0.9897424509512144,,0.7075630136672695,0.9569036881023786,0.9651541860305396,0.8717478995444243,0.992080996314187,0.9937947849179276,,0.931887548361988,0.6938068038735377,0.9389281380920766,0.6733460772418215
"{'augmentation': 'Oversampling', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.3, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 64, 'lr': 0.001, 'weight_decay': 0.01}",0.5,0.5,0.2559207856505153,0.9644722400880008,0.5,0.9890040279620742,0.2103837835808895,0.9974332089466816,0.9941194111856414,0.955727547446258,0.5,0.5,0.9872280854376044,0.5,0.9854316522057645,0.5,0.983991437924956,0.5,0.9969226894988668,0.991959662095648,,0.5,0.9536027105606556,0.9614381538884182,0.5,0.997388338179071,0.99476225361141,0.8650141938142442,0.9464562395549552,0.5,0.3104773242370825,0.4983253588516746
"{'augmentation': None, 'preprocess': 'normalize', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'kaiming_uniform', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 16, 'lr': 0.001, 'weight_decay': 0.01}",0.9926474416082808,0.892905267301549,0.9996664231799368,0.9839300847260904,0.9948616039588268,0.9967753794837606,0.9871322975716428,0.9995778484924795,0.994062178063689,0.9866499164396418,1.0,0.9784240287539204,0.9893152629289624,0.974468075364575,0.9973347679769236,0.9874371007989744,0.9985561227993864,0.9901856642476132,0.997847118884641,0.993136604015476,,0.9775380600260984,0.967082140976626,0.9989812504292483,0.9733101348412352,0.9977573773494196,0.9946743435360912,0.9178816876903,0.9986769991529498,0.9892969483299376,0.9871078958815044,0.9791307433437878
"{'augmentation': 'Oversampling', 'preprocess': 'normalize', 'network_architecture': 'ResNet', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 64, 'lr': 0.01, 'weight_decay': 0.0001}",0.999943521193304,0.982589630425896,1.0,0.9999498588930206,0.9999911947802655,0.9998258265468212,0.9992099023105608,1.0,0.9992621505917906,0.9967742267805224,1.0,0.993607060277924,0.9981026075410362,0.9876504658776128,0.9999983974725852,0.9986147295162656,0.9994819257800877,1.0,1.0,1.0,,0.999995192417756,0.992867493876056,0.9998592065199972,0.9950019459261464,0.999954442434926,0.999587005791992,0.9489628213639796,1.0,1.0,0.998512167761727,1.0
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 1, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 100, 'batch_size': 64, 'lr': 0.01, 'weight_decay': 0.0001}",0.987285392812556,0.928988326848249,0.9948705462218976,0.9911287382207088,0.9904408333259956,0.9771195033537768,0.9784884898290565,0.9948911426020468,0.9951191593599048,0.9883637050433828,0.9979212930106912,0.9834841235319703,0.9949980540738536,0.97044412902635,0.99755774822005,0.9775820150637576,0.997027082713308,0.9870447105148692,0.999265126714132,0.9960671687919233,,0.9849250246102424,0.99126347840022,0.9891037293102264,0.9847224193585312,0.998004395503766,0.9977864517753714,0.9196364552093588,0.9949623406057554,0.995847851468602,0.9890171928298346,0.9892793205283762
