Unnamed: 0,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,24_mnist,9_census,28_pendigits,11_donors,1_ALOI,44_Wilt,38_thyroid,2_annthyroid,3_backdoor,41_Waveform,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,25_musk,33_skin,19_landsat,5_campaign,30_satellite
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'ReLU', 'dropout': 0.3, 'network_initialization': 'kaiming_normal', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 100, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.5568006971379161,0.5016392372854688,,,,0.4956655814849088,,,0.991342137011584,0.8840782385831645,0.5141677264053899,,0.9988326692125794,0.753675577504239,0.8296266758729569,0.6565145827144705,,,,,,,,0.6493351779105978,0.7799935127750011,0.5206203026600751
"{'augmentation': 'SMOTE', 'preprocess': 'normalize', 'network_architecture': 'FTT', 'layers': 3, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 64, 'lr': 0.001, 'weight_decay': 0.0001}",0.769732655513897,0.981605075028936,0.992466248350788,0.9723924222300204,,0.961158431512382,0.991351602608797,,0.9989909338957152,0.968794377311513,0.8923516225729573,0.9781832542875478,0.998576766387639,0.958222464758969,0.9968492405301446,0.9921079325242996,0.998403318781768,0.9103058573805016,0.9650533431385384,0.9758664659570688,0.9633554931563524,,0.8930476876555133,0.8575334161951095,0.9923213734553108,0.8447519999809585
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 1, 'hidden_size_list': [20], 'act_fun': 'LeakyReLU', 'dropout': 0.3, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.01, 'weight_decay': 0.01}",0.6726060723011813,0.9276729944077692,0.9403304908748832,0.8934094464519492,0.9555004954915084,0.8672878683386509,0.9374010501977196,0.9769396984436238,0.9986448473814172,0.9738298779770376,0.816733898969662,0.9490332219305038,0.9985196394838958,0.9411209765675818,0.9980378263717103,0.9731366619820808,0.9992137358104708,0.8051974819101431,0.9416636383321048,0.9539637810174166,0.9172898477350142,0.9968394243039878,,0.7619403107202026,0.9941344828317182,0.7541092778859639
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 100, 'batch_size': 64, 'lr': 0.01, 'weight_decay': 0.01}",0.8641428417757087,0.9949073694846146,0.9843832569110844,0.9795183719328804,0.9910640011488828,0.9454359500813264,0.9916015529756828,0.9954034211133016,0.9989758341586884,0.9818154574602797,0.9047206691349614,0.9751678069089424,0.9986440182602578,0.96171903884172,0.9986786029891837,0.9778941525849772,0.9996983786690684,0.9411717463750744,0.9720924235447584,0.9800494691483308,0.963436401257856,0.9977799869655364,0.9027107279749306,0.8743834411572842,0.9970563801040868,0.9680914322586782
"{'augmentation': 'Mixup', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'kaiming_uniform', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 16, 'lr': 0.001, 'weight_decay': 0.0001}",0.8049035939351866,0.9923894015764754,0.9894094444742664,0.9801183353471716,0.9917284594229294,0.9457930146290068,0.9943975466711203,0.9928361606285993,0.9996991123184468,0.9870031144049736,0.9574495368506196,0.9614380402181344,0.9992805102027034,0.9641961564441924,0.9988356574763224,0.987556698443526,0.9994659392899043,0.9204631510162417,0.9856494544145272,0.9855377941023948,0.971179019127211,0.9987018749321266,0.903209967007324,0.9351319556731564,0.99729647535067,0.9392523466342586
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 1, 'hidden_size_list': [20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.001, 'weight_decay': 0.01}",0.6036377633911106,0.7424245253095724,0.9464825666857988,0.6462303980204174,0.9796063213665812,0.8273160188306465,0.9363061016542964,0.91873036160068,0.988939786914784,0.9281402135776652,0.6382133699477217,0.7527287873023893,0.9952361323271138,0.8144290867247013,0.9554926704849552,0.8677389644883067,0.9977714615060956,0.7370618735611465,0.962960108903059,0.8701414609984662,0.9080954598039246,0.996804656480437,,0.5420563528008465,0.8648959573247563,0.7284428922821349
"{'augmentation': 'Oversampling', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.3, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 64, 'lr': 0.001, 'weight_decay': 0.01}",0.5,0.5,0.933454833851226,0.4273337083111078,0.9597461746286562,0.4414981277594386,0.9423760706895932,0.9123193185107252,0.9908599376617164,0.9481778036711904,0.4984879784740907,0.5,0.9980970900326004,0.5,0.9834455077463368,0.5,0.9989362989767946,0.5,0.952888673801038,0.8776148283089702,0.8664499918336797,0.9964534455482708,0.7423913166118965,0.5,0.8493491337910184,0.5
"{'augmentation': None, 'preprocess': 'normalize', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'kaiming_uniform', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 16, 'lr': 0.001, 'weight_decay': 0.01}",0.7523885296478217,0.985511737659316,0.9563424554083636,0.968002071351752,0.993947554394931,0.9124823381070156,0.9871975153618192,0.9956726249923016,0.9957875682068876,0.9778255638375426,0.8967487770423896,0.9528490198356778,0.9985103598369492,0.9452063334222914,0.9978439162951293,0.9763871707559072,0.9991195055243582,0.8802776609309693,0.951255090176669,0.983021400874761,0.93280837880056,0.9969505597097614,0.9047484967449908,0.8917271422238825,0.9954795524906904,0.8900820215070794
"{'augmentation': 'Oversampling', 'preprocess': 'normalize', 'network_architecture': 'ResNet', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 64, 'lr': 0.01, 'weight_decay': 0.0001}",0.8533373826753431,0.9999440087214784,0.9966486843419324,0.9905072773023372,0.9986065941665474,0.980336939594683,0.9999983346707112,0.9999976168560905,0.9999997621624191,0.9884186507381932,0.934963999441955,0.9847459934011276,0.9999762885181414,0.9703087780428228,0.999426273436328,0.999887887084778,0.9999811012815872,0.9537927533062832,0.9762327480802402,0.9946240804538852,0.9659992951544836,0.9998781250218292,0.9040024341048206,0.9993422108110844,0.9999007739130856,0.8805033900945884
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 1, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 100, 'batch_size': 64, 'lr': 0.01, 'weight_decay': 0.0001}",0.7301525368890281,0.96837140338588,0.9854659552547452,0.9598443333138096,0.9597793407778072,0.9276266546569631,0.9865988120022848,0.9731229126968216,0.995612558005841,0.985722750935174,0.8538256615330785,0.9743435773385708,0.9993036974716089,0.944841018686077,0.991471730480782,0.9866383224757274,0.9985833974835112,0.8972769198425751,0.9785925010342952,0.949014872766201,0.9561714376633528,0.9989735391362748,0.9111346896909622,0.9071849784575768,0.989125957316764,0.9299937310137282
