Unnamed: 0,GANomaly,REPEN,DeepSAD,DevNet,PReNet,FEAWAD,XGBOD,LR,NB,SVM,MLP,RF,LGB,XGB,CatB,ResNet,FTTransformer,Meta_baseline_rs,Meta_baseline_ss,Meta_baseline_gt,Meta
"('40_vowels', 1, 5)",0.0997311156177666,0.6752170675411173,0.4407428891902429,0.7697064306713429,0.8093774743774742,0.7764080488470732,0.6212989417408639,0.8176028343888104,0.9419552669552668,0.3574985844143037,0.5886466278017378,0.3141004080248931,0.6649851999851999,0.3929302799853151,0.5854079813475417,0.5092928393255997,0.4655456408080559,0.1454103819881341,0.4299408442119906,0.935735294117647,0.7040599979730414
"('40_vowels', 1, 10)",0.1055862256924904,0.8414574314574315,0.5975933057707208,0.906279537456008,0.8752246558425048,0.7526807081807082,0.6439437713099018,0.9554273504273504,0.7812495890413509,0.6594784128784648,0.8093238802112181,0.4537887929425055,0.6857606914753488,0.5306037176291011,0.8396455587834898,0.6458185932829942,0.725572911549923,0.6274898718383617,0.6464864299299402,0.9838235294117648,0.9389374514374513
"('40_vowels', 1, 20)",0.0908995892262912,0.7000831725025273,0.7372810965125955,0.8736467236467236,0.9580589293747188,0.7053755288881083,0.7117623699918781,0.901402192578663,0.8477400994067661,0.8914493693441061,0.8178964969183691,0.7100104178932527,0.8525217864923746,0.7678210761141796,0.950735294117647,0.7614729029896125,0.9489583333333332,0.438518136452919,0.8990566424674952,1.0,0.947121212121212
"('40_vowels', 2, 5)",0.1473272291142405,0.5985018800939517,0.3832140517999309,0.9829505135387488,1.0,0.6042883029402472,0.7902221430523316,0.8178294001887669,0.5910445558340296,0.5303534302838083,0.8025199019360182,0.565896815490637,0.6287953318159504,0.695362272555255,0.6322061633760502,0.6617199283553589,0.7948917563398629,0.7424536574536574,0.6921896101074986,0.9913888888888888,0.8082783882783882
"('40_vowels', 2, 10)",0.145992814645241,0.4299613351729956,0.4863780704189516,0.9505411255411256,0.9392784992784992,0.7329260653463552,0.8154621158568527,0.8989192604086221,0.47565732543419,0.6085698148410523,0.8895452595452595,0.536729195451044,0.6536575370889096,0.7309576132402219,0.6677832999905154,0.6996028052641805,0.6476189723875845,0.9226851851851852,0.7130137629054264,0.9958333333333332,0.9200871459694988
"('40_vowels', 2, 20)",0.1505744323938451,0.7077302436388441,0.7340451071355493,0.9634085213032582,0.9726190476190476,0.9173219373219372,0.7433898390785049,0.9355790043290044,0.6034785617241757,0.9395339954163484,0.9757936507936508,0.7640073580872493,0.8283857645622351,0.6975095869528531,0.8703521941021941,0.8495784374355803,0.8519486894069935,0.7888433788433789,0.9711500974658868,1.0,0.9440860215053763
"('40_vowels', 3, 5)",0.0305984741537155,0.7052640960059052,0.1590706742853548,0.8567970789811086,0.7912235020770929,0.3520365261924009,0.5916196501111181,0.7119837886845559,0.339177393348354,0.4519351704165218,0.5828468736244868,0.4466064002283066,0.3028538663003287,0.430631209249948,0.7109766456136919,0.5078187094022046,0.3492535331468497,0.2982631781130233,0.7737212578046434,0.9195914379737908,0.7957823767106468
"('40_vowels', 3, 10)",0.0306622290156718,0.6577869774763881,0.3620250424228425,0.9331352743117448,0.8925396825396825,0.7742069918385708,0.7383222154228699,0.87696918767507,0.6507749449021557,0.6365721533158438,0.7981434848186766,0.6007632674910913,0.7000286462897686,0.7727739709550855,0.8518918337887735,0.7278392693373583,0.8701450677625716,0.6792806920898249,0.7408065998883109,0.9677414690572584,0.8199514089506013
"('40_vowels', 3, 20)",0.0297472298557473,0.710936784638632,0.5145286274280003,0.9534432234432236,0.95921888053467,0.9317827341740385,0.711571923214678,0.8802769306716675,0.7059813375030766,0.8149393090569561,0.8975966183574879,0.7511245833629734,0.747446099651982,0.7847625125013911,0.8633870269164386,0.8738479303606325,0.8359084146099928,0.7080849864581251,0.903772647475796,0.9666666666666666,0.9097222222222221
"('47_yeast', 1, 5)",0.2866549799967733,0.278261901940965,0.3252658711733762,0.4810648017938762,0.4804632862121053,0.3938558519843831,0.4711620767216692,0.4853890657682387,0.4872472066084191,0.4708970472647407,0.4616128602558458,0.3857734305697282,0.4198570294550872,0.4485123166770105,0.4475007737301903,0.3462425560613524,0.4586241032732396,0.3123430509495476,0.3282848938318918,0.5525989174241909,0.4844237123192352
"('47_yeast', 1, 10)",0.2926050257775803,0.2897134462351877,0.3331845981729772,0.4843465071440815,0.4678853126618313,0.4700844556469938,0.4383519293051525,0.443116695041499,0.4659077126896175,0.443209945784568,0.4640585353847842,0.391723438005446,0.401706936888701,0.4041782453512313,0.4616818853466468,0.3866630265457337,0.4073315471911654,0.3117264009472085,0.4106934558086338,0.5241148787534708,0.4584149577027391
