Unnamed: 0,GANomaly,REPEN,DeepSAD,DevNet,PReNet,FEAWAD,XGBOD,LR,NB,SVM,MLP,RF,LGB,XGB,CatB,ResNet,FTTransformer,Meta_baseline_rs,Meta_baseline_ss,Meta_baseline_gt,Meta
"('40_vowels', 1, 5)",0.492259083728278,0.964612954186414,0.9347551342812006,0.982780410742496,0.9900473933649288,0.9293838862559242,0.9703791469194312,0.9865718799368088,0.9973143759873616,0.7532385466034754,0.9145339652448656,0.8309636650868879,0.956872037914692,0.9134281200631912,0.934913112164297,0.7195892575039495,0.8755134281200632,0.6898894154818326,0.6924170616113744,0.996998420221169,0.8440758293838863
"('40_vowels', 1, 10)",0.4788309636650868,0.9883096366508688,0.965560821484992,0.9954186413902052,0.9935229067930488,0.9737756714060032,0.974091627172196,0.99826224328594,0.968088467614534,0.8808846761453397,0.9821484992101106,0.8924170616113744,0.9772511848341232,0.931990521327014,0.9933649289099526,0.8480252764612954,0.9763033175355452,0.9195892575039496,0.7601895734597157,0.9993680884676144,0.9208530805687204
"('40_vowels', 1, 20)",0.4680884676145339,0.968562401263823,0.984044233807267,0.9946287519747236,0.9984202211690364,0.9721958925750396,0.9802527646129542,0.9941548183254344,0.9916271721958926,0.9641390205371247,0.9830963665086888,0.9260663507109004,0.993522906793049,0.9527646129541864,0.9976303317535544,0.884044233807267,0.992259083728278,0.9333333333333332,0.9390205371248026,1.0,0.959873617693523
"('40_vowels', 2, 5)",0.7466034755134281,0.9406003159557662,0.8464454976303317,0.9993680884676144,1.0,0.8744075829383886,0.9770932069510267,0.9619273301737756,0.9519747235387046,0.7865718799368089,0.9813586097946287,0.902211690363349,0.9436018957345972,0.9567140600315956,0.9712480252764611,0.8167456556082149,0.9661927330173776,0.9736176935229068,0.974091627172196,0.9996840442338072,0.9358609794628752
"('40_vowels', 2, 10)",0.7428120063191153,0.9148499210110584,0.8957345971563981,0.9966824644549764,0.9916271721958926,0.9789889415481832,0.9845181674565562,0.9785150078988942,0.9587677725118484,0.9295418641390204,0.9876777251184834,0.9226698262243288,0.9860979462875196,0.9829383886255924,0.985308056872038,0.8240126382306476,0.9679304897314376,0.9917851500789888,0.8881516587677726,0.9998420221169037,0.9083728278041074
"('40_vowels', 2, 20)",0.7505529225908373,0.9415481832543444,0.9436018957345972,0.99826224328594,0.998736176935229,0.9889415481832544,0.9909952606635072,0.9958925750394944,0.9737756714060032,0.99478672985782,0.9990521327014218,0.9733807266982624,0.9868878357030016,0.9682464454976304,0.993996840442338,0.9368088467614536,0.9454976303317536,0.9805687203791468,0.9415481832543444,1.0,0.8865718799368087
"('40_vowels', 3, 5)",0.4432859399684044,0.904423380726698,0.724170616113744,0.969036334913112,0.939178515007899,0.5848341232227489,0.911216429699842,0.9685624012638232,0.9342812006319114,0.8061611374407583,0.9251184834123224,0.8920221169036335,0.8044233807266983,0.8468404423380727,0.9191153238546604,0.7524486571879936,0.865086887835703,0.9044233807266984,0.9739336492890996,0.9955766192733018,0.7022116903633492
"('40_vowels', 3, 10)",0.4469194312796208,0.9303317535545024,0.8473933649289099,0.9958925750394944,0.9946287519747234,0.9440758293838863,0.9387045813586098,0.9908372827804108,0.93870458135861,0.8412322274881516,0.984518167456556,0.9261453396524486,0.9436018957345972,0.952132701421801,0.9684044233807266,0.831911532385466,0.937124802527646,0.9372827804107424,0.8951026856240126,0.9987361769352292,0.9872037914691942
"('40_vowels', 3, 20)",0.4322274881516588,0.9589257503949448,0.8679304897314377,0.9977883096366508,0.9984202211690364,0.9973143759873618,0.9609794628751976,0.9955766192733017,0.9545023696682464,0.9642969984202212,0.9925750394944708,0.9713270142180096,0.9851500789889416,0.9729857819905212,0.9906793048973144,0.9304897314375988,0.9745655608214848,0.9511848341232229,0.9946287519747236,0.9984202211690364,0.9510268562401264
"('47_yeast', 1, 5)",0.4085436806301468,0.3831453634085213,0.4981426781238811,0.658342284282134,0.6501969208736126,0.5327604726100967,0.6014590046544933,0.6659953455066238,0.6384711779448621,0.6470864661654135,0.6435955961331901,0.5633950948800572,0.5853472968134623,0.6267566237021125,0.6267454350161119,0.469812925170068,0.62421679197995,0.4847050662370211,0.4349266022198353,0.7003669889008235,0.6738498030791263
"('47_yeast', 1, 10)",0.423626029359112,0.3900823487289653,0.5175886143931256,0.662079305406373,0.6599758324382384,0.6144602577873255,0.5611126029359113,0.6479591836734695,0.643170426065163,0.6554779806659505,0.6727756892230575,0.5726817042606516,0.5688551736484068,0.5921388292158969,0.6563506981740064,0.5219298245614035,0.5640664160401002,0.4837764052989617,0.5345506623702112,0.6977264590046544,0.6406417830290012
"('47_yeast', 1, 20)",0.5430652524167562,0.4330021482277121,0.5465225563909775,0.6904761904761905,0.6754385964912283,0.6581408879341211,0.5909863945578231,0.6298558897243107,0.644155030433226,0.6454752953813105,0.6683449695667741,0.53156328320802,0.5866675617615467,0.5925751879699248,0.6579394915861082,0.5827067669172933,0.5936269244539921,0.5237088256355173,0.5976548514142499,0.7116675617615467,0.6588569638381668
"('47_yeast', 2, 5)",0.4211645184389545,0.3605665950590763,0.5565028643036162,0.5484022556390977,0.576172574292875,0.4595640887934121,0.4865176333691371,0.5517364840673111,0.6036631757966344,0.6063596491228069,0.550125313283208,0.495860186179735,0.4827470461868958,0.4630102040816326,0.4898854278553526,0.4786967418546366,0.4332930540637307,0.5418233082706767,0.5422932330827068,0.6796007876834944,0.4146303258145363
"('47_yeast', 2, 10)",0.4616228070175439,0.3458422842821339,0.6130728607232367,0.6419172932330827,0.5965583601861797,0.5388471177944862,0.5571741854636592,0.573890082348729,0.6566975474400287,0.6537773003938419,0.5864437880415324,0.5034125492302184,0.5162683494450412,0.487233709273183,0.5726369495166488,0.3906417830290011,0.5490064446831364,0.5858172216254923,0.5160221983530255,0.6861126029359111,0.6334138918725385
"('47_yeast', 2, 20)",0.4311895810955961,0.4512620837808807,0.6539339419978519,0.6867615467239527,0.6685911206587898,0.6102533118510562,0.6154896168993914,0.6542696025778731,0.6456878804153241,0.6310642678123881,0.6919083422842821,0.6041666666666667,0.6049051199427139,0.5965807375581811,0.6641156462585035,0.5630818116720373,0.6104099534550663,0.6510248836376655,0.5460750089509487,0.7022690655209453,0.6904538131041891
"('47_yeast', 3, 5)",0.442624418188328,0.3865243465807375,0.4868197278911565,0.527859828141783,0.5213256355173649,0.5166263873970641,0.5871598639455782,0.6214196204797707,0.5381198532044396,0.541219119226638,0.5153508771929824,0.5138515932688866,0.500671321160043,0.5264612423916935,0.4684479054779807,0.4359559613319012,0.4229099534550662,0.561828678839957,0.5285535266738275,0.670482008592911,0.4404985678481919
"('47_yeast', 3, 10)",0.444235588972431,0.4120793054063731,0.4948532044396706,0.576015932688865,0.565610454708199,0.5018573218761189,0.5741474221267455,0.6430585392051558,0.59437656641604,0.4419083422842822,0.5606426781238811,0.5300639992839241,0.5249731471535983,0.5164809344790547,0.510248836376656,0.5908968850698175,0.5350429645542427,0.5946562835660579,0.5143662728249194,0.6802832975295382,0.5726593268886502
"('47_yeast', 3, 20)",0.4286833154314358,0.4578410311493018,0.521594163981382,0.5891962047977085,0.6181525241675618,0.5704887218045113,0.5306569996419621,0.6582751521661296,0.647545202291443,0.56218671679198,0.6399704618689581,0.5093649301825993,0.5514008234872897,0.5368667203723595,0.5886367704976727,0.5277255639097744,0.5871374865735768,0.6425214822771214,0.5427407805227356,0.6743644826351594,0.6087092731829574
