Unnamed: 0,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD,LR,NB,SVM,MLP,RF,LGB,XGB,CatB,ResNet,FTTransformer,Meta_baseline_rs,Meta_baseline_ss,Meta_baseline_gt,Meta
"('47_yeast', 1, 5)",0.2866549799967733,0.3252658711733762,0.2732394434803917,0.4851482453746927,0.4804632862121053,0.4483311882158198,0.4711620767216692,0.4853890657682387,0.4872472066084191,0.4708970472647407,0.4616128602558458,0.3857734305697282,0.4198570294550872,0.4485123166770105,0.4475007737301903,0.3462425560613524,0.4586241032732396,0.4328653786963798,0.3212158162559458,0.5525989174241909,0.3454526548240342
"('47_yeast', 1, 10)",0.2926050257775803,0.3331845981729772,0.2964330713680105,0.4714122199233161,0.4678853126618313,0.4474816683957019,0.4383519293051525,0.443116695041499,0.4659077126896175,0.443209945784568,0.4640585353847842,0.391723438005446,0.401706936888701,0.4041782453512313,0.4616818853466468,0.3866630265457337,0.4073315471911654,0.4474983238765305,0.4143962894898859,0.545344309172088,0.3640499461756573
"('47_yeast', 1, 25)",0.3053575136184087,0.3650889206469619,0.266909038329202,0.4974071849888399,0.523663174397377,0.4289227011556996,0.4244894803730937,0.4574633934307767,0.4739979668064916,0.443996808282201,0.4581198933906686,0.3837789235634987,0.4236681092069317,0.4292875653213485,0.4838535168735173,0.35360207247803,0.466905388434613,0.4182463187306523,0.4306230988981696,0.53518753780192,0.4817940664638524
"('47_yeast', 1, 50)",0.339335144590725,0.4272267287194701,0.2782335384912356,0.5444281721723665,0.5318699168009747,0.5210396015079428,0.4983021202833044,0.4501733431190267,0.4242309734680347,0.4912325513591007,0.5223891481526544,0.4979980400953786,0.4996273715520661,0.4946434375702979,0.5899678895313323,0.484293462955103,0.5096649339157054,0.430055968252845,0.5190720364869315,0.6021004691677743,0.5272733067398719
"('47_yeast', 2, 5)",0.3134580731237761,0.3684984996390328,0.2792726549235129,0.3738679006986887,0.3950762310060701,0.3271288364816684,0.3367813513909578,0.3660117315535689,0.3942199105408614,0.4162723842647015,0.3802266932967428,0.3403011822097135,0.3272501599772903,0.321631784638578,0.3437102416029776,0.3245962372882852,0.3154223350411794,0.3626817702579211,0.3619497023452411,0.4742133804041214,0.371174663612607
"('47_yeast', 2, 10)",0.3309718336573625,0.4013566324317987,0.2916098224690803,0.4336004041422918,0.4116062047954985,0.5081301148221284,0.374934117305144,0.3718602295806166,0.4479899870545821,0.4636440063004967,0.4111030340482348,0.3560951129257225,0.3534370475156131,0.3266517056044652,0.3824523104773926,0.2938557359016543,0.4139631022224793,0.3693209915437795,0.4155231071116346,0.5094370689549406,0.3988126742569007
"('47_yeast', 2, 25)",0.3116245389762564,0.4472532252265712,0.2774075691131822,0.477033126008809,0.5006139138109091,0.4500659519783667,0.476644671959995,0.4526149718669984,0.4340547942391309,0.4786436727373161,0.5234828753794102,0.4389059875155416,0.4774141553745747,0.4884610906424461,0.5333914592110701,0.4185823957225062,0.4690711173445414,0.3709940806978609,0.4766337207182675,0.5496461804566544,0.4779489898992562
"('47_yeast', 2, 50)",0.3076034831385157,0.501197684307817,0.2866716989652611,0.5670494708654601,0.5802514067252411,0.4853859774309527,0.4868236003909103,0.4878318908252717,0.5124344355783357,0.4904627739668327,0.55418498466234,0.4665786096981127,0.4648968636899077,0.4898412668519764,0.5351417531844193,0.4520987727882535,0.496780943032027,0.3690609008712998,0.4826809662027136,0.5825225373431291,0.4833954057861982
"('47_yeast', 3, 5)",0.3315824244088546,0.3318140911074789,0.3200641608403708,0.360215756700851,0.3544888175020231,0.3313878876397684,0.4350707517259485,0.4156428831190684,0.3645547096667394,0.3546142300574149,0.3565828600137019,0.3508546102909386,0.3385377107567578,0.3605359038469714,0.3206419318761564,0.303489210485736,0.3103219886236067,0.2720956871147362,0.3630112207527611,0.4455702987296605,0.3571521681706496
"('47_yeast', 3, 10)",0.3314367279774112,0.3451791106725295,0.325666835709664,0.4195811252384511,0.4079677700386384,0.3893166822540134,0.3801457021470786,0.4693651939007798,0.4574280990596793,0.3009726195179107,0.4143310201569397,0.3673156153615868,0.3748430514584216,0.3430528926998353,0.3615963709171852,0.4406900409017071,0.368331813183028,0.2727315308931696,0.4017923403575777,0.4881833027740016,0.4264566881887204
"('47_yeast', 3, 25)",0.3250485012300778,0.375610143812941,0.3181809258027096,0.4512009401917226,0.4523647349439495,0.4321774854188179,0.4135957346299541,0.4764098045778432,0.4884821970837786,0.4209148581721451,0.4787341565009726,0.3999508792204239,0.4209176109075336,0.4094868149116905,0.4384872626050208,0.4076412924904826,0.4032783841664957,0.334104678344349,0.3867066149950173,0.5111662182086997,0.4705714561262645
"('47_yeast', 3, 50)",0.3245266552476849,0.3945161979487601,0.3018429716629197,0.5177554062392309,0.5095810021890117,0.4317473981762631,0.4757246014769402,0.4827495467166811,0.4289302012655432,0.4053811308423192,0.5106032738111439,0.4282189091807039,0.4729793035870391,0.4733274587236102,0.4816730511831934,0.3878103637543623,0.4170440141662391,0.334007025679112,0.4489855925667484,0.5393795531610246,0.3720218254929763
"('20_letter', 1, 5)",0.0864940878423644,0.3061654613907817,0.0775266488789357,0.2540064586435876,0.3460146242572455,0.2197577776503773,0.3325911695467428,0.22856035088541,0.1039924153588097,0.0401118809164877,0.0617400515441361,0.1955753968253968,0.2076405394524543,0.2276129786524402,0.1904756459791923,0.4317950606172733,0.1394249833188725,0.2239098063364406,0.3651619906666077,0.5459316666378934,0.1475361628249701
"('20_letter', 1, 10)",0.0865939823306195,0.3106727441486837,0.0813137919793266,0.3154726808903668,0.3326190642760127,0.2789222938165003,0.4037863174557807,0.1475125747418887,0.115276335593832,0.2397632059741833,0.0616519579228356,0.2421742518998616,0.2224637228710804,0.2183284001372568,0.2866336314757823,0.3704305839672306,0.1554788026420847,0.1712886313274367,0.3384536645056467,0.4317829005039511,0.2871851414444199
"('20_letter', 1, 25)",0.0868159837572079,0.3955918209738755,0.0733634367234785,0.5558587896610852,0.536699782481692,0.3911842417003389,0.4959309590975498,0.2923612101228918,0.1160200758351915,0.3534764895648781,0.512201224827359,0.4341394975951511,0.508342311593584,0.5282918541609334,0.565256745646862,0.4538554760224196,0.5273783480619747,0.2100279838327,0.4567867281838978,0.586775289605533,0.1279072876388333
"('20_letter', 1, 50)",0.0869464756604627,0.5544227564093143,0.0702230585309371,0.4872499814996945,0.4828217783992594,0.3066986788681776,0.6240828159623106,0.3469220887245995,0.1876521072410072,0.614988311743861,0.5840210866464713,0.6390315259685497,0.7005413583779668,0.63239094671474,0.7545880424042852,0.7748666852009597,0.6253256166590849,0.1257825055661668,0.6381561206012888,0.7297979934154402,0.0942121337913445
"('20_letter', 2, 5)",0.0928850806040866,0.2365668819205814,0.0796454690960414,0.1517235676215588,0.1392259713763758,0.1581018168293627,0.2920309546073743,0.0701844334105857,0.0729045664039612,0.1646570891278129,0.0911910817177734,0.0947674418604651,0.1258554953017822,0.1699437740003398,0.1422963218734843,0.3609777549934561,0.1759741633908851,0.1021119078505363,0.0876892760704813,0.172270441542658,0.0644193495650259
"('20_letter', 2, 10)",0.0929854465607161,0.246255425184344,0.0638537298703859,0.2848547941499862,0.2654575604516792,0.2317091880001149,0.3726306455014526,0.11328697009045,0.1362277388949561,0.0498216510024918,0.2258324529792885,0.1579847044076724,0.243958127226416,0.2787617140144209,0.3036984826337839,0.3471874169523427,0.2366062329968317,0.1050263593915647,0.187869876900546,0.3299929025932598,0.2695811746088308
"('20_letter', 2, 25)",0.0929888380757619,0.2666588736832869,0.0708381886794402,0.3285159766930974,0.5443981239289705,0.4186955619948917,0.4084867917434638,0.2187146312739659,0.1251103001707962,0.244832770536593,0.428415937411043,0.4088900488289161,0.44616936490303,0.4260771343777475,0.4530540265608573,0.5918745771445233,0.580610541683759,0.1039753068358783,0.3575711963243118,0.4870692440076586,0.2464636322744259
"('20_letter', 2, 50)",0.0933455925362995,0.3162323804730115,0.0932940409622411,0.4650698199566962,0.5213834613083441,0.4700476429901706,0.5357665832432292,0.2599466573099236,0.1396212984982313,0.424966959782978,0.5270430494905299,0.5601992614904382,0.5483585811026203,0.4907396896078076,0.6798261827277319,0.6880853086249972,0.6078864977061481,0.104382759561774,0.3563347711303543,0.5214070531786905,0.0549890932424433
"('20_letter', 3, 5)",0.0658139447296973,0.1835422116770656,0.0769906321805149,0.1706711761730299,0.1657000207350731,0.1923550513657808,0.2923155611378732,0.109137718431105,0.0942307508036589,0.0607306501230555,0.0538966129103627,0.1837041958344136,0.1248498241278944,0.08956951599818,0.1293096175176094,0.2711770388240641,0.129921854945591,0.0617480566613218,0.1090384253610649,0.2809031556113587,0.1040679517722938
"('20_letter', 3, 10)",0.0653171605473388,0.1776569482199625,0.0723188876868102,0.1850557086405332,0.1748184567986595,0.2127057601228505,0.3076939466615333,0.1091257896215705,0.1085478024515269,0.1491408284804003,0.1617471856712254,0.1584935897435897,0.1726039557214711,0.0967344447247392,0.1374880009190743,0.1764717671797177,0.2057391446320529,0.061708808499382,0.1343475725855806,0.2306973179609062,0.097122081684071
"('20_letter', 3, 25)",0.0652137600092749,0.2241327339959113,0.0941708291406949,0.3013848902003178,0.46736785840101,0.4461277829607834,0.387782949234038,0.2267087787330031,0.1575872496560021,0.2918540943724221,0.3666693234439271,0.3299514319104079,0.5036644953322271,0.372697330666092,0.4762026774832574,0.4314319630168578,0.3753047700088465,0.0617827929148165,0.3344395670405078,0.528859502038862,0.3539959244727
"('20_letter', 3, 50)",0.0662839377122535,0.2768647648202653,0.0858746874104471,0.381798744452807,0.497169916855911,0.4363661034495839,0.6430820757095616,0.2810116819867019,0.1919636239309389,0.5348046816367448,0.5353082635478336,0.6221488441570227,0.6582202701463264,0.5461561064095588,0.668271769281895,0.6488360793177513,0.4340967847540545,0.0616954357074456,0.3809826799462287,0.4836994870263056,0.2880445659582087
"('6_cardio', 1, 5)",0.611993667834116,0.4948805356049774,0.7723147582746562,0.6479509251267342,0.6913435352916685,0.7210542423404704,0.8237077492547827,0.78474504254239,0.7648177930633416,0.4044180887587502,0.6277972733438848,0.5919076525260869,0.679545875686917,0.7758671345928687,0.8683434655158107,,0.4432127523184712,0.54088343834874,0.8354640062762877,0.938909274619237,0.7833520430007498
"('6_cardio', 1, 10)",0.6137178800220316,0.606934775719062,0.7976488365095467,0.7736266132680921,0.7585824945371682,0.7801099489865831,0.9170421148084354,0.7473208443112695,0.7517819038395269,0.4838143798114994,0.7422313464091903,0.8428399354187303,0.8016638620106482,0.8382623159594125,0.9039677742057862,,0.5313721742428767,0.6610752558304445,0.4958536030822398,0.9095398663752058,0.8753212917201002
"('6_cardio', 1, 25)",0.6185360356746081,0.7446846619862081,0.7989191135728231,0.8543018166731208,0.8210577114035352,0.7886874497642345,0.9019286192353204,0.7913136413318406,0.9055983045374364,0.5062741348328144,0.7422161457945611,0.8237041154714148,0.858177857018702,0.8723013050146857,0.9274157804611664,,0.6830513217455756,0.5080904441763963,0.4820790462659999,0.9448188345384956,0.8800977164439983
"('6_cardio', 1, 50)",0.6225558935179851,0.9205504046704844,0.6387405589043506,0.9380261777977889,0.9464978409090256,0.9245944509957272,0.9485189352586286,0.8910954390569815,0.9394598459254322,0.6807294018515196,0.8880205984921635,0.9616505583009042,0.940323086633449,0.9325817917121773,0.9619267132308288,,0.8891422858938242,0.8499809759691771,0.8371110067551305,0.9626708399949148,0.9256925902642108
"('6_cardio', 2, 5)",0.6308867704494555,0.5127732061264184,0.6684661879779786,0.4801652590660018,0.484526796732026,0.5886343771250455,0.6887221015904275,0.5712132431386977,0.3865601880160089,0.3835468673864063,0.3721178402158215,0.3573646532408827,0.4858944760561395,0.6311081606993411,0.6857608663724285,,0.5798848653230203,0.7271534441804365,0.3453440404313722,0.8537807774081849,0.6723329027328846
"('6_cardio', 2, 10)",0.6307593982503767,0.5913856782310138,0.6874292468227998,0.7946079080026215,0.7517545587613039,0.6671357482339294,0.7588599650807207,0.7073798023977078,0.5263234048557458,0.4625944935580584,0.5971255210402021,0.7533910963421631,0.6108575186382122,0.7689946082786956,0.867467792437056,,0.6200339055668285,0.8006686725627563,0.3198323444475114,0.881125942818161,0.8405561560885698
