Unnamed: 0,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD,LR,NB,SVM,MLP,RF,LGB,XGB,CatB,ResNet,FTTransformer,Meta_baseline_rs,Meta_baseline_ss,Meta_baseline_gt,Meta
"('47_yeast', 1, 5)",0.4085436806301468,0.4981426781238811,0.3683762978875761,0.6519647332617258,0.6501969208736126,0.5947234156820622,0.6014590046544933,0.6659953455066238,0.6384711779448621,0.6470864661654135,0.6435955961331901,0.5633950948800572,0.5853472968134623,0.6267566237021125,0.6267454350161119,0.469812925170068,0.62421679197995,0.6485409953455066,0.3928347654851414,0.7003669889008235,0.6503088077336198
"('47_yeast', 1, 10)",0.423626029359112,0.5175886143931256,0.4172708557107054,0.6608485499462942,0.6599758324382384,0.5757697815968493,0.5611126029359113,0.6479591836734695,0.643170426065163,0.6554779806659505,0.6727756892230575,0.5726817042606516,0.5688551736484068,0.5921388292158969,0.6563506981740064,0.5219298245614035,0.5640664160401002,0.6514948084496957,0.5474624060150377,0.7022243107769424,0.6834273182957393
"('47_yeast', 1, 25)",0.4673066595059076,0.5699516648764769,0.3514142499104905,0.6803616183315431,0.7007250268528464,0.5863766559255281,0.5935150375939849,0.6423200859291085,0.640798424633011,0.6419620479770856,0.6751924453992123,0.5347073039742213,0.6119539921231651,0.5896213748657358,0.6554332259219477,0.4966657715717866,0.6244181883279628,0.6070309702828499,0.5884577515216614,0.7095864661654135,0.6455424274973147
"('47_yeast', 1, 50)",0.5047104368063016,0.6180406373075545,0.3716657715717866,0.703141783029001,0.6898048693161476,0.6848370927318295,0.6544709989258861,0.627797171500179,0.6280433225921948,0.6915726817042607,0.6966523451485858,0.6414138023630505,0.6389858575008951,0.6211734693877552,0.7178437164339421,0.6407312925170068,0.6402389903329753,0.6123567848191909,0.6587226996061581,0.7369316147511638,0.6114169351951307
"('47_yeast', 2, 5)",0.4211645184389545,0.5565028643036162,0.3646168993913355,0.5551154672395273,0.576172574292875,0.4872896527031865,0.4865176333691371,0.5517364840673111,0.6036631757966344,0.6063596491228069,0.550125313283208,0.495860186179735,0.4827470461868958,0.4630102040816326,0.4898854278553526,0.4786967418546366,0.4332930540637307,0.5691684568564268,0.5422932330827068,0.6582080200501252,0.5693474758324383
"('47_yeast', 2, 10)",0.4616228070175439,0.6130728607232367,0.3708825635517365,0.6309747583243824,0.5965583601861797,0.612625313283208,0.5571741854636592,0.573890082348729,0.6566975474400287,0.6537773003938419,0.5864437880415324,0.5034125492302184,0.5162683494450412,0.487233709273183,0.5726369495166488,0.3906417830290011,0.5490064446831364,0.5664831722162549,0.5519378804153241,0.6937432867883995,0.5727264590046545
"('47_yeast', 2, 25)",0.4171142141066953,0.6515619405656999,0.3550841389187253,0.6879699248120301,0.6778105979233799,0.6215091299677766,0.6218671679197995,0.6420515574650913,0.618499373433584,0.6589017185821697,0.6876790189760116,0.5934590941639815,0.6224266022198354,0.6280656999641961,0.6848370927318297,0.5525420694593628,0.6263426423200859,0.5644580200501254,0.6130281059792337,0.7024033297529538,0.6869405656999642
"('47_yeast', 2, 50)",0.404001074113856,0.6955110991765127,0.3793412101682779,0.7389455782312926,0.7413399570354456,0.6572234156820624,0.6391201217329037,0.688842642320086,0.70062432867884,0.7009264232008593,0.7153822055137845,0.630516022198353,0.6412235947010383,0.6432599355531686,0.70515574650913,0.6456990691013247,0.6375984604368063,0.5634174722520586,0.6392096312209095,0.724579305406373,0.3705245255997135
"('47_yeast', 3, 5)",0.442624418188328,0.4868197278911565,0.4320175438596491,0.5331408879341211,0.5213256355173649,0.4337853562477622,0.5871598639455782,0.6214196204797707,0.5381198532044396,0.541219119226638,0.5153508771929824,0.5138515932688866,0.500671321160043,0.5264612423916935,0.4684479054779807,0.4359559613319012,0.4229099534550662,0.386703365556749,0.5285535266738275,0.6451060687432868,0.5297842821339063
"('47_yeast', 3, 10)",0.444235588972431,0.4948532044396706,0.4804421768707482,0.5891290726817043,0.565610454708199,0.5481784819190834,0.5741474221267455,0.6430585392051558,0.59437656641604,0.4419083422842822,0.5606426781238811,0.5300639992839241,0.5249731471535983,0.5164809344790547,0.510248836376656,0.5908968850698175,0.5350429645542427,0.3888515932688865,0.5339912280701755,0.6501745435016112,0.551937880415324
