,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,24_mnist,9_census,28_pendigits,11_donors,1_ALOI,44_Wilt,38_thyroid,2_annthyroid,3_backdoor,41_Waveform,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,25_musk,33_skin,19_landsat,5_campaign,30_satellite
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.49564013928436057,0.5071992114420377,0.675416916936433,0.5645735026351917,0.6403767415058654,0.6899195051845279,0.8328859311648307,0.6939178731131892,0.998675348108564,0.9669476045778685,0.5507561243929466,0.6167019346979201,0.976564693091704,0.7401765543143091,0.9838158946696653,0.6622915445298894,0.7828906077847995,0.45724959977575214,0.9386292764535329,0.8175978561296232,0.6974363863521427,0.9903792545559545,0.6724829499192458,0.6811402382225924,0.9347258842081246,0.5972066973428483
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.7416176896540536,0.9814330939964993,0.9664674667885937,0.8919902675570872,0.9945269068877463,0.8929084990363434,0.9993385640661415,0.9990702080453965,0.9999808441666569,0.9593217439452905,0.8306065117359122,0.9653005053495889,0.9967176556835391,0.9488628866764814,0.9995377633084136,0.9696619568238319,0.9977976212877657,0.890352229320435,0.952185957638119,0.9857940487686758,0.8833091867119239,0.995055972909779,0.8523436585996667,0.6799645098853186,0.9987287059819938,0.8108797727046572
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5768643483430471,0.7553772984923083,0.9445494266176513,0.7438375296738443,0.8374706304114369,0.8267619259570596,0.9504432000284675,0.9666747055346967,0.9996305035096607,0.9681809547283271,0.5922261501199424,0.6122598845282685,0.9957766491982399,0.7825807317891498,0.995458193332218,0.9255119386148607,0.9963191567419811,0.6200524622573893,0.946058066407354,0.7511093714153683,0.7857942154026017,0.9936308039097439,0.7387786839341846,0.6707983871189842,0.8852272991912895,0.6563392583206213
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 2, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.5600207731595735,0.7527925599702103,0.888353118928279,0.718198919665949,,0.7484657029416424,0.6731904462735632,,0.9889721200093302,0.9730539480598569,0.5802591947418316,0.5660451224902401,0.9959219739759297,0.7920354774387397,0.8807965572243812,0.8815350319425814,0.9894044231113813,0.6305668000406301,0.9408632658443178,0.710122938021406,0.7306719979594386,0.9864448679530538,0.7194752507391619,0.6534729967466637,0.7524485468911886,0.5014996883193744
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.4965331966591007,0.759419552997195,0.9494397449139184,0.7148744959527427,0.9759286911538887,0.8398132415769108,0.9445815818585181,0.9665735672496831,0.9993865269926435,0.9694869414706508,0.5,0.5975424765052131,0.996028031842487,0.7447334086741504,0.992531883589078,0.9072132417599899,0.9970664436163018,0.5682711542673868,0.9452982527836347,0.5,0.7221090854566934,0.9932712495992666,0.7465423202248089,0.6698091504798733,0.8514099156358483,0.6517821860054703
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.6401718525896296,0.8561861986226256,0.952403315404853,0.7670856143421106,0.9926661248815426,0.8283988195479925,0.9300247192435704,0.9582714045118792,0.9960349045521225,0.9333205294010287,0.6601956197546645,0.9604505474290475,0.9953788883919696,0.8076248753769539,0.9680656707595094,0.902906273320473,0.9937793543325109,0.5951759697222322,0.942624103790015,0.7663610721646023,0.8654405685615518,0.9948396687632187,,0.6716417920791729,0.833601962621211,0.671926706235962
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.7071322073029528,0.973773525448247,0.904117552691442,0.8370707968992592,0.9941240276376903,0.8645452222233145,0.9655389842558538,0.9782280534367096,0.999911590409315,0.9385805816898714,0.7108963678113747,0.9019699540333849,0.9957860279735277,0.9492844600733976,0.9661690746699263,0.9639888191528782,0.9961581072701766,0.7141219870174914,0.9383171348731221,0.7728732741656885,0.9182260713009645,0.993647888826188,0.7574186800842998,0.8617500250244046,0.9198954061119993,0.7364185902714385
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.44453682506133635,0.599615417062094,0.8469700808020849,0.49435572291553614,0.6653419374418696,0.736379520215503,0.8838433331984121,0.8279920163183155,0.9971072706991635,0.962178686405897,0.504444955875507,0.5550122998861091,0.9753279556594716,0.7218369390327595,0.9636069903850315,0.5645846266988825,0.9327699854103597,0.4354231723157521,0.8952105075122214,0.45504839670664193,0.6953953860683537,0.9853012208012628,0.7606148398669765,0.43640139820725365,0.6048505528526409,0.5566701622065809
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.7416176896540536,0.9814330939964993,0.9664674667885937,0.8919902675570872,0.9945269068877463,0.8929084990363434,0.9993385640661415,0.9990702080453965,0.9999808441666569,0.9593217439452905,0.8306065117359122,0.9653005053495889,0.9967176556835391,0.9488628866764814,0.9995377633084136,0.9696619568238319,0.9977976212877657,0.890352229320435,0.952185957638119,0.9857940487686758,0.8833091867119239,0.995055972909779,0.8523436585996667,0.6799645098853186,0.9987287059819938,0.8108797727046572
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.4886594788181625,0.5598222418132415,0.8653052821073258,0.6896948308971473,0.6560771678623556,0.7707361103357601,0.8344915198345424,0.9491928866486612,0.9985878867765314,0.9560469333292648,0.5731362746444127,0.6249378897550184,0.9936493100264847,0.8067256929111124,0.9567209598852167,0.9058241043404953,0.9940764532792404,0.5873220609486064,0.9401344987455607,0.7407319900429024,0.7032491236698959,0.9932776279456516,0.7516851356512796,0.6846123487133098,0.9117206759770387,0.5968276123648377
