,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,24_mnist,9_census,28_pendigits,11_donors,1_ALOI,44_Wilt,38_thyroid,23_mammography,2_annthyroid,3_backdoor,41_Waveform,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,25_musk,33_skin,8_celeba,19_landsat,5_campaign,30_satellite
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5273687312660844,0.4915911151424718,0.7842642077364701,0.5477774083650064,0.46654229673001074,0.4607651752801938,0.8462907051590477,0.8049132757482509,0.9984388977123377,0.9622736684565637,0.5280613387191702,0.5721329198156118,0.9969924324056263,0.9640118014406402,0.6889533866793447,0.9856730075711149,0.5989680350528037,0.8515525400455535,0.3940253442544066,0.9558948113757533,0.8036980955585635,0.8190563171387379,0.9892137419551983,0.710842471598917,0.5259359470951162,0.6738140613353665,0.8839915441047738,0.6117227150022231
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.7770986111801546,0.9926885588612699,0.9681691192169987,0.9654796450130675,0.9911879093002893,0.9494674512729153,0.9816800469586991,0.9955796696272723,0.9991715323248388,0.965320994784932,0.7838184595075531,0.9625749930726505,0.9993101023325424,0.9840203160825434,0.945350033023447,0.9990369216549968,0.9825589502412799,0.9964255331954438,0.8804615546785717,0.9578909737652277,0.9646546254149091,0.9422208832481908,0.998163885647699,0.829929797232765,0.988749074222917,0.7409556019573962,0.9984460023929602,0.8441084247605283
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.638698130047733,0.7666049668490578,0.9653268121277008,0.6513202366545768,0.9243253658236201,0.7987392321238784,0.9257489416172504,0.9646792803476429,0.9990189753301089,0.9504915078407266,0.581142869197216,0.6474110774776192,0.9981272157764934,0.9535224649441358,0.7500756149286831,0.998788609173711,0.8970180117712682,0.996683326525089,0.6719815195393535,0.9577863024566786,0.7557459135491429,0.8721917102183022,0.996947000820495,0.78556817216284,0.9646497155059708,0.6607165349792773,0.8749875449038947,0.6949598669784619
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 2, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.6164503925387533,0.7732907620882778,0.8545948955481502,0.7072403430954772,,0.8553382051375027,0.8446130152637334,,0.39825976144504266,0.9471897580757034,0.5898070376575457,0.5808859129191817,0.99759238677387,0.927910747954735,0.750167045193004,0.46034828574888764,0.6770377086611274,0.910213299539173,0.6904778958311005,0.9469998268182207,0.61063769090489,0.48995678384193475,0.9928969155741104,0.7619295969789622,0.572104843704244,0.6008256293259385,0.8847345818431818,0.6474317238159424
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.5258949958331411,0.8215419953068951,0.9645258851231311,0.5944179154484575,0.9685977936267455,0.8170052695790797,0.9239696255746592,0.9690883215075616,0.9988586673326583,0.9565323096987832,0.5,0.5852947468593008,0.9980225988603938,0.9446266126890526,0.6084346456712053,0.9957144539627228,0.8817819275363629,0.9968098139922128,0.6737370548845291,0.9579678135900868,0.5,0.8585809050275486,0.9971006384052037,0.7794527555422284,0.9530350563707171,0.6686137632609983,0.8461628093888001,0.6704599030728431
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.6658130557079402,0.8738052441122834,0.9554547901352298,0.6810040748692905,0.9747624860424842,0.8309231755193183,0.9284923344635576,0.9578509285564172,0.996985536188842,0.9101312848221595,0.6551413409754289,0.9713279422978839,0.9973126567498265,0.9539797758146011,0.7859764064835555,0.9753116434688968,0.8833822403034617,0.9972202908282414,0.7116497410992146,0.9655625931693852,0.7330687161372733,0.9108360984918636,0.9964539644886066,0.8223633144625875,0.921066435407131,0.6633545813039615,0.833327236694678,0.670465623963293
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.8191808992350553,0.9500043834519452,0.9589045935238354,0.8513635939751543,0.9984261469876325,0.8620406490212253,0.9196810147454635,0.959877207925929,0.9994162516309528,0.9073138586073084,0.7245014825717613,0.9520265770749995,0.9968767323747055,0.9610843843357685,0.9208522187851639,0.9994100830126758,0.9608950014187683,0.9941650740955573,0.7788886424141511,0.9565147688651003,0.8884803025171902,0.9035723335871747,0.9941734454619496,0.733032639082511,0.9730664983583073,0.8265040743592713,0.8946644731801101,0.6922982182832654
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.463607270944082,0.6295384294391407,0.8722858868857939,0.48525613825652986,0.8195968754586817,0.5889616456360406,0.8789690981637067,0.8629242142733187,0.9976822721443185,0.9413969534861539,0.49651486832208025,0.5394146566470128,0.9867168731937437,0.9470393138368118,0.5615681539178848,0.9640407102121258,0.5419804987363585,0.9054398047776984,0.4377416392078617,0.9444216715684366,0.42479570659053734,0.7638240848842583,0.9924352567573277,0.7895919556275213,0.900178872396421,0.3991917907740389,0.5757034568610022,0.5889026148172699
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.7770986111801546,0.9926885588612699,0.9681691192169987,0.9654796450130675,0.9911879093002893,0.9494674512729153,0.9816800469586991,0.9955796696272723,0.9991715323248388,0.965320994784932,0.7838184595075531,0.9625749930726505,0.9993101023325424,0.9840203160825434,0.945350033023447,0.9990369216549968,0.9825589502412799,0.9964255331954438,0.8804615546785717,0.9578909737652277,0.9646546254149091,0.9422208832481908,0.998163885647699,0.829929797232765,0.988749074222917,0.7409556019573962,0.9984460023929602,0.8441084247605283
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.49377828555569947,0.5633615722823188,0.8845355381290859,0.5977308326255222,0.5474334956675467,0.7173222394365358,0.8501754094459717,0.9448029462025413,0.9984779562835431,0.95734091485524,0.5434957244238898,0.6329361448680642,0.9984875814177923,0.9253697856546099,0.7248268852246933,0.9670597127491325,0.8939226470166868,0.9966006172191135,0.6416943374746679,0.9571781319794432,0.7650829530094713,0.7558344607868733,0.9923627972697868,0.7677190912481305,0.9183659762358563,0.6809825262813037,0.8857818651422134,0.6140043841718053
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 2, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5,0.5,0.9260111552054654,0.5,,0.5,0.8437198278554943,,0.9549190315911622,0.9208556206599152,0.5,0.6505787982515632,0.9556801737946654,0.882982457476288,0.9364991835731393,0.5,0.6389804565073303,0.9777389976387826,0.6203957261608432,0.9631729761064671,0.5,0.5,0.5,0.7327704424239095,0.8999029109719542,0.6665444552420241,0.7951093110650524,0.665678880956412
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.591898123259445,0.9674866227213955,0.9641896346640169,0.8869352061224701,0.9950081586832698,0.8719289919984373,0.9917004353289766,0.9990204095578825,0.9993044002344387,0.968086944706543,0.5,0.6493877936544377,0.9984795817771801,0.9704782627303017,0.8365993267733061,0.9989773846249297,0.9732883518865965,0.9969410250057821,0.7200670682668149,0.9582485188857477,0.9131722560850525,0.9135957903704355,0.9973602343345065,0.8196768501547249,0.9850995927917725,0.8225906465045747,0.9981166856739353,0.8467729044437253
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.4273879471468764,0.367460308708656,0.9427764193977628,0.43568449507756213,0.9495756600066205,0.8178263388462514,0.9306742402841988,0.9593724883235031,0.9987956367925548,0.9527314769142006,0.4055565558439638,0.38040140290989255,0.3222953600543147,0.9429814771755415,0.3729069430265254,0.9963953030785226,0.8750443847009458,0.9969339657138708,0.43525783667999407,0.9578818743343944,0.3521659194533676,0.3195882161032898,0.9966950419583858,0.7703894244095433,0.9444939717586185,0.6700304077958932,0.8327946233645345,0.6768848456076955
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.6188299341240892,0.9129790446625774,0.9640940408036567,0.8222082211624846,0.9927263154300109,0.8395341274804895,0.9779581646601633,0.9875338542750327,0.9992874494422592,0.9658281885986614,0.5,0.6494787261273749,0.9984318757973561,0.9675346904991002,0.8240938573825343,0.9988701391303376,0.9661244768732185,0.9969852177558802,0.7222282297785291,0.9582656879661278,0.8016198814950308,0.9107771416517739,0.9977314781367849,0.7955550947393417,0.9815411352165827,0.7820529929522253,0.9963733934000119,0.8139438626009916
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.4998540913611018,0.5825844488495552,0.4926672822029197,0.45816927196462476,0.5724782432073279,0.41401029615104856,0.6279325068524778,0.6598405360763945,0.483950228747926,0.3216738249207781,0.5565650323117777,0.49183420536966127,0.3294489978008866,0.8984857026631901,0.47571433283601916,0.6415630947994644,0.7184392371354693,0.32945354526497755,0.38221955580600053,0.8239177591160766,0.4208749249109164,0.6980817134658615,0.9887995790215549,0.7459579349519871,0.5750419794030659,0.6201812273428182,0.4629621117723723,0.682096196536907
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.43182627441114063,0.484590497116537,0.5860422491577792,0.5119145271094628,0.5159456367856002,0.6619764328900438,0.8066335704711212,0.7854668497251504,0.6401421012844373,0.4176040525178399,0.47526436650170656,0.5870158315711695,0.7261967834413547,0.33079428112667636,0.5623600722644271,0.6417340236886662,0.5377375677210019,0.6153958428813167,0.4089124235691699,0.38258004498205833,0.49225588840117585,0.5233137087194928,0.9717318900107712,0.48704952704603,0.5481975694493445,0.679324704377632,0.8433800772653597,0.5967752776817024
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.7360592722142607,0.9103591903390231,0.9596720109124324,0.7739430624715304,0.9864047737247872,0.8897292923630765,0.9825321524128521,0.9728818449272816,0.999001093378761,0.9660927248511143,0.6237542355746568,0.9239294162705668,0.9970647313747893,0.9626269881129504,0.9119879880913876,0.9991445557989109,0.9764704837769914,0.9916697481992847,0.7496236521374714,0.9657147407706214,0.8467848076627535,0.9041495832130247,0.9904933537151617,0.8331483593500539,0.9525362676050791,0.7982222875255054,0.9814056865682231,0.8085689939234966
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.6479726092645766,0.9481447895551822,0.9714234236585908,0.856461779000808,0.9903559946684264,0.8624779054227104,0.9887020962116295,0.9895608494899731,0.9992907119650998,0.9753532883318916,0.7464432835433643,0.9279881478955938,0.9984862024540229,0.9719292810557403,0.8814506526174399,0.9987654305244023,0.9734240725215879,0.9969320800788837,0.7824829369592119,0.9581758184239157,0.8557444369560498,0.9171800503230423,0.9982537057582468,0.8483806863988111,0.9801881222562847,0.7755969726040512,0.9975716274396719,0.8358725133424943
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 2, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.7489175615818109,0.9912735355506569,0.9625278986250981,0.9527137720705794,,0.9353919784391973,0.9936622179631327,,0.9992575071871321,0.9480589506452609,0.6072858265781076,0.9721047029647957,0.9995957363922313,0.9804142373473732,0.9570324077843353,0.9980294057574791,0.9873881633367765,0.9981999989212372,0.8580554780813536,0.9578631010088494,0.8666838639907786,0.9523266340607249,0.9945372792090694,0.8510688160776987,0.9937534742586057,0.9279424605961675,0.9936174248311491,0.8750818381146226
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.7203458347152947,0.9413460574542286,0.9722210935904682,0.9123355758654953,0.9534094277149334,0.8877230368480371,0.9935964834634708,0.9944916255163434,0.9992731390959319,0.9626154843402818,0.821357474587552,0.9402658827312738,0.9984403096066198,0.9779057815845552,0.9219298051531721,0.998651719074666,0.9718691973265129,0.9960911218960197,0.8679543917061284,0.9577902348779532,0.9766354634145746,0.920723770359446,0.9978723056416431,0.8523641235774437,0.9688586258495336,0.7593233114727764,0.9965552960453664,0.8759333194802319
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.7559358463498886,0.9776565993717624,0.9717163759984795,0.8854823451675131,0.9919956487146302,0.9043776309653822,0.9964907208808217,0.9962635960481749,0.9990891236596998,0.9675211028070461,0.9380202188529141,0.8165284628015004,0.9983162833883718,0.9700197410073226,0.9468625281821772,0.9996716647174063,0.9776032907027346,0.9963592697961882,0.8615776332361885,0.9523430113820662,0.9903987591057437,0.9281303052938807,0.9956305316093024,0.8558894237184206,0.9652578292762016,0.8874049945145177,0.9992709596772631,0.9359008104295596
