,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,23_mammography,38_thyroid,44_Wilt,3_backdoor,11_donors,28_pendigits,9_census,24_mnist,36_speech,1_ALOI,5_campaign,41_Waveform,31_satimage-2,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,25_musk,33_skin,8_celeba,19_landsat,2_annthyroid,30_satellite
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9373605251312256,1.0524802207946777,1.2447216510772705,1.629697561264038,1.4713866710662842,2.0997326374053955,2.0184311866760254,2.741386651992798,2.5747385025024414,2.3616526126861572,2.6943581104278564,2.4127326011657715,2.7190070152282715,3.074923038482666,2.4823176860809326,3.071469306945801,2.529479742050171,2.4826009273529053,2.520137071609497,2.4524590969085693,2.4865782260894775,2.461122989654541,2.467503547668457,2.678774118423462,2.573045492172241,2.6439731121063232,2.3754029273986816,2.50693416595459,2.532026529312134,2.5451912879943848,2.450883626937866
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",1.435075283050537,1.4514217376708984,1.7468185424804688,2.141026735305786,2.171315908432007,2.691145658493042,2.37204909324646,3.405925750732422,3.868562698364258,3.418034553527832,3.602055788040161,3.5048112869262695,3.442622423171997,4.013261556625366,3.724123954772949,4.561041593551636,3.4409260749816895,3.6430671215057373,3.7618861198425293,3.637021064758301,3.6595516204833984,3.462217092514038,3.461353302001953,3.5559284687042236,3.7547988891601562,3.6162967681884766,3.504333257675171,3.529195547103882,3.607558250427246,3.8140780925750732,3.529982328414917
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",1.4214143753051758,1.4777541160583496,1.4803123474121094,1.542074203491211,1.8145167827606201,2.3532958030700684,1.9216108322143555,3.1539711952209473,3.6397294998168945,3.836129903793335,2.83654522895813,3.1475796699523926,2.894498109817505,3.086665630340576,2.8415629863739014,1.3430731296539307,2.6940810680389404,2.906341552734375,3.3907618522644043,3.102689266204834,2.9765536785125732,3.5803236961364746,3.481003761291504,2.8529508113861084,3.0829031467437744,2.598378896713257,3.7692508697509766,3.028017997741699,2.9962050914764404,3.675525188446045,2.8974504470825195
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9481198787689209,0.9941220283508301,1.190654993057251,1.3399255275726318,1.490614891052246,1.9169154167175293,1.641782283782959,2.3240966796875,2.3948092460632324,2.4738075733184814,2.5587804317474365,2.468881368637085,2.5016987323760986,2.8254592418670654,2.7219250202178955,2.7234833240509033,2.431870698928833,2.496743679046631,2.4087235927581787,2.387521505355835,2.513540744781494,2.504319190979004,2.474402666091919,2.4870028495788574,2.4189372062683105,2.562814950942993,2.3709404468536377,2.4701082706451416,2.435811996459961,2.3566882610321045,2.5072743892669678
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",1.7623107433319092,1.8900072574615479,2.2244791984558105,2.4245691299438477,2.7756216526031494,3.389408588409424,3.0620975494384766,4.578806400299072,4.474905252456665,4.53119683265686,4.942332029342651,4.473645210266113,4.4581217765808105,4.848316431045532,5.134810447692871,4.842509508132935,4.54080867767334,4.669864654541016,4.533360958099365,4.543895244598389,4.910228252410889,4.635099649429321,4.537405490875244,4.984685659408569,4.774904727935791,4.620838642120361,4.543005466461182,4.631442308425903,4.6169469356536865,4.475565195083618,4.602392196655273
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",2.0358731746673584,2.1997671127319336,2.2476859092712402,2.4062857627868652,2.8408477306365967,3.3224000930786133,2.961923599243164,4.7373268604278564,5.226360321044922,6.368842601776123,4.376369476318359,5.309813976287842,4.4609315395355225,4.534489154815674,4.787825584411621,1.975111484527588,4.117612361907959,4.462092638015747,4.955358028411865,4.655979633331299,4.467724800109863,5.606379985809326,5.454252243041992,4.6814961433410645,4.777656555175781,3.653714895248413,,4.3811352252960205,4.396373987197876,5.530962944030762,4.362240791320801
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",1.989325761795044,1.685288906097412,2.0137293338775635,2.400756597518921,2.416577100753784,3.0898895263671875,2.686696767807007,3.929766893386841,5.101964235305786,3.888214588165283,4.130221843719482,4.094034194946289,4.0535194873809814,4.28031063079834,4.192315340042114,4.637836933135986,4.1702704429626465,4.233365058898926,4.0539305210113525,4.0985705852508545,4.099306106567383,3.932119131088257,4.2585978507995605,4.3822126388549805,4.034374952316284,4.241883993148804,4.094761610031128,4.228317022323608,4.261713027954102,4.143626928329468,4.014456510543823
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",1.5695414543151855,1.3628275394439697,1.6169333457946777,2.150113344192505,2.022233486175537,2.6536433696746826,2.166276216506958,3.1402852535247803,3.9888756275177,3.2279393672943115,3.510535717010498,3.3579421043395996,3.9132723808288574,3.725242853164673,3.948195219039917,3.573638439178467,3.3704326152801514,3.2046453952789307,3.2729358673095703,3.29024338722229,3.1991987228393555,3.407062292098999,3.2957582473754883,3.2887487411499023,3.303415298461914,3.3501055240631104,3.0915768146514893,3.3511340618133545,3.1957197189331055,3.398960828781128,3.251156806945801
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",1.175588607788086,1.3146908283233643,1.4574897289276123,1.574486255645752,1.7703983783721924,2.339524507522583,1.9329683780670166,2.658949375152588,3.0908470153808594,2.723961353302002,3.0443832874298096,2.8399834632873535,2.7473316192626953,3.0365023612976074,2.948315382003784,3.1556105613708496,2.8566842079162598,2.766744613647461,2.896470546722412,3.019124746322632,2.776616096496582,2.7735114097595215,2.779322385787964,2.98885440826416,2.9840810298919678,3.079122304916382,2.68615984916687,2.834907293319702,2.89766263961792,2.6689679622650146,2.7073049545288086
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",1.1132512092590332,1.2236053943634033,1.4697606563568115,1.6474792957305908,1.7296319007873535,2.2143876552581787,2.144440174102783,2.7922849655151367,3.0549428462982178,2.8151040077209473,3.1728782653808594,2.974334478378296,3.0912628173828125,3.242805004119873,2.9831318855285645,3.0964643955230713,2.893679618835449,3.0086727142333984,3.032224416732788,3.239633321762085,3.0925681591033936,3.202857255935669,2.867244243621826,3.2223808765411377,3.317196846008301,3.349599838256836,2.818303346633911,2.908003807067871,3.0253515243530273,2.835420846939087,2.917349338531494
