Unnamed: 0,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,9_census,28_pendigits,11_donors,36_speech,44_Wilt,38_thyroid,23_mammography,2_annthyroid,24_mnist,1_ALOI,3_backdoor,41_Waveform,31_satimage-2,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,10_cover,25_musk,33_skin,8_celeba,19_landsat,5_campaign,30_satellite
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.01, 'weight_decay': 0.0001}",0.9992358171893984,0.9948873185059576,1.0,0.8036384491912734,0.9951609814297916,0.9848742414076216,0.8832763891469771,0.9992541379547172,0.9963169341361232,0.9917992948879376,0.8437000068679746,0.939762368077654,0.9952668208145418,,0.983712827087292,1.0,0.997651381607564,0.9878642888212268,1.0,0.998837709759392,0.9991225017742268,0.997046313042284,0.9835676838900208,0.999335866852865,0.994630388498432,0.9998058652503377,0.998845951328953,,0.9866759002770084,0.9999546713674138,0.9560765550239236,1.0
"{'augmentation': None, 'preprocess': 'normalize', 'network_architecture': 'FTT', 'hidden_size_list': [100, 50, 20], 'act_fun': 'ReLU', 'dropout': 0.2, 'network_initialization': 'xavier_normal', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 100, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9922200198216056,0.8890077821011673,0.7336936936936937,0.95,0.9241839762611276,,0.7836623553437713,,0.9882775119617224,0.9685406698564594,,0.810334928229665,0.9901913875598084,0.9821052631578948,0.6428708133971293,0.9814354066985644,0.7259090909090908,0.8965071770334929,0.9448325358851676,0.981291866028708,0.9838755980861243,0.959952153110048,0.972535885167464,0.7550239234449762,0.931531100478469,0.9822966507177032,0.988708133971292,0.9064593301435406,0.9702153110047848,0.9145454545454546,0.9389473684210526,0.3089473684210526
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.2, 'network_initialization': 'xavier_normal', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 100, 'batch_size': 16, 'lr': 0.01, 'weight_decay': 0.01}",0.9959237035167142,0.8316155430059502,0.9999943186429672,0.9868918146809448,0.9997617087409416,1.0,0.9978906013593388,0.9996030310661386,0.9932098624115748,0.9932245140907944,1.0,0.7754820173530826,0.9922222476591652,,0.8697795380142397,,0.9215169066642248,0.9988509878436848,0.9999741306288776,0.9952686522744444,0.9972727272727272,0.97414253336691,0.9797674045923858,0.9972537258762392,0.9700075547720978,0.99816281678533,0.9952169135321994,,0.9999980540738536,0.9980815457521576,1.0,0.9914241890066618
"{'augmentation': 'Mixup', 'preprocess': 'normalize', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.0001}",0.998921500352133,0.9855221123711184,1.0,0.9934924890478822,1.0,0.9993338535313802,0.983624819911018,0.9996176827453584,0.9952317941439072,0.9872644857031662,1.0,0.9823948627549736,0.9957535312836244,0.9960728921041184,0.9930148119319614,1.0,0.7087396121883657,0.9993773036331586,0.9985201803988004,0.9989643094251506,0.9994743710079896,0.9979439573269844,0.9872004990728234,0.9886067168791924,0.9958515143884068,0.999027265859298,0.99666422472013,0.9611653808291934,0.9999918728966828,0.9992257503262288,1.0,0.9999983974725852
"{'augmentation': 'SMOTE', 'preprocess': 'normalize', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'Adam', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9927829907443514,0.7228799830428925,0.9159337716094472,0.967290046495044,0.6562398189646823,0.970898563524542,0.0839287642362396,0.9967814381538884,0.9940331036377372,0.6916631945239349,1.0,0.7424740733957556,0.9921297589340904,0.9572619674458004,0.3575018886930244,0.9635667681600696,0.6423946338224857,0.9907405965980632,0.9361470662301686,0.9949299466587302,0.9826590508459055,0.8382902177147958,0.9311716764726083,0.9168406172019872,0.5186916508321695,0.8980516700624985,0.9796955197912136,0.9103486641789336,0.8349782514136581,0.8075511091779035,0.9722481170302876,0.503778874110025
"{'augmentation': 'Mixup', 'preprocess': 'normalize', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'kaiming_normal', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.01, 'weight_decay': 0.0001}",0.9988772995468926,0.9774438295810686,0.5838965993020048,0.9659681164462212,0.9947119152233443,0.998002096512458,0.5142287094159718,0.9817151621986676,0.983941072777638,0.9702894851308348,0.9998949199880954,0.6965989789611045,0.9889297406194916,0.990009615164488,0.6859026807994323,0.9971078958815044,0.6480302648748885,0.991823905130377,0.9831265309860122,0.992754630159566,0.994123531970422,0.9677563471532244,0.9610510290515328,0.4711005929351434,0.828069068931572,0.6383894599482612,0.9918735834802316,0.9371959204230672,0.9608295368695772,0.9899510084476087,0.9712244454110482,0.2491334905336416
"{'augmentation': 'GAN', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'hidden_size_list': [100, 50, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'kaiming_normal', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 100, 'batch_size': 64, 'lr': 0.01, 'weight_decay': 0.0001}",0.8108717982341114,0.7793737060041408,0.8582924168030551,0.9415455371337724,0.9046003016591252,0.9992395437262356,0.885344239945467,0.9980506822612086,0.9016175413371676,0.8736257170172085,1.0,0.6602312963636119,0.7716970271145382,0.8048159296133364,0.7112561397747952,0.9488304093567252,0.7558531746031747,0.913275434243176,0.90429460677289,0.9374493035759808,0.993725680933852,0.7901102748791825,0.8112003712189321,0.6784143222506394,0.889232781168265,0.6789353593998256,,0.7315806780647904,0.9463397129186604,0.8663780523397218,0.9850169163847268,0.8137349829657522
"{'augmentation': 'GAN', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'hidden_size_list': [100, 50, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 64, 'lr': 0.001, 'weight_decay': 0.0001}",0.8261812658449166,0.8264104554865425,0.9050054555373704,0.9607937769702476,0.9244343891402717,0.9991634980988592,0.8897750511247444,0.999140006879945,0.909453630481668,0.8935428616953474,1.0,0.6646202727627664,0.7725844556105869,0.7959266364568518,0.7079656309430968,0.9596003898635478,0.7631448412698413,0.915880893300248,0.9062959694027656,0.9452130987971912,0.9933365758754864,0.810720442022963,0.8092089363224192,0.7141176470588235,0.8836530078465562,0.6803927893058095,,0.7276556350757257,0.9465789473684212,0.8941531277361611,0.9858761613232372,0.8226286533978842
"{'augmentation': 'Mixup', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'xavier_normal', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.01, 'weight_decay': 0.01}",0.9926950802539288,0.7799124513618677,0.883548413278143,0.9791298475153224,0.8993018561403199,0.998737376444032,0.9018466969514276,0.9719651564753556,0.9934802316796776,0.9338021107575376,0.9998928595957052,0.7386371649000709,0.9903585082759094,0.9145969643552117,0.7441615347633983,0.9576820585609304,0.7634445182115794,0.9621240356218952,0.9386682997184128,0.9932941095670887,0.9937879169432934,0.8991190677869096,0.9584352464458232,0.6905393649412788,0.9321787504864816,0.9104713719923994,0.9869737414436482,0.9030442297566448,0.952020901536137,0.7935992765733384,0.9420097983104784,0.7740459238570546
"{'augmentation': None, 'preprocess': 'normalize', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.001, 'weight_decay': 0.01}",0.9883548067393458,0.955739299610895,0.9872972972972972,0.9666797797010228,0.996179525222552,0.9961932650073206,0.9118447923757658,0.99933014354067,0.9914593301435406,0.8124401913875599,1.0,0.9508851674641148,0.991267942583732,0.9693301435406698,0.5797129186602871,0.9911483253588518,0.8486124401913875,0.9870813397129188,0.9866985645933014,0.9956937799043062,0.5,0.9866028708133968,0.9695693779904306,0.9287081339712918,0.9357894736842104,0.9964114832535884,0.9902392344497608,0.8855980861244019,0.9950956937799044,0.9743062200956938,0.9989473684210526,0.928755980861244
