,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,23_mammography,38_thyroid,44_Wilt,3_backdoor,11_donors,16_http,28_pendigits,9_census,24_mnist,1_ALOI,36_speech,5_campaign,41_Waveform,31_satimage-2,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,10_cover,25_musk,33_skin,8_celeba,19_landsat,2_annthyroid,30_satellite
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.0030764175770295046,0.0057772245613390005,0.005631787816151183,0.0099221771652977,0.006645001677496508,0.0025598038130687424,0.00676223732027631,0.22338389038644715,0.0033038419067982047,0.0018866559648364582,0.006709140917366513,0.0029743664402137942,0.38461538461538464,0.007470399594622391,0.0015886001880057584,0.04686121376833338,0.0031138432291140873,0.0032662035457716268,0.003088725200674016,0.0027030130995560676,0.0031319991325261067,0.018100670530264783,0.004427607301890781,0.002156590161712886,0.00267001096033489,0.022324546963842104,0.07988026492563699,0.022593572263113045,0.0025516130602665906,0.0027071663637705714,0.006137621572396156,0.003357574935829617,0.002662748461745256
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.5,0.052793166172569114,0.15811202213678993,0.09461938897422767,0.3354761904761905,1.0,0.06370568111582231,0.027076102909436243,0.13416210982000457,0.043617552819239694,0.5833333333333333,0.0890321583178726,0.4166666666666667,0.4097036297036297,0.9166666666666665,0.6458333333333333,0.10298110359585769,1.0,0.9266666666666665,0.23040209790209792,0.41666666666666663,0.27190476190476187,0.09525460484043692,0.05806379433022507,0.12051925047577221,0.1280742204655248,0.5178571428571428,0.5,0.012702913579439146,0.41349206349206347,0.1358569353667393,0.2801530612244898,0.0570678833139791
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9792514068720549,0.6245340476155439,0.9555994179145124,0.9430575852777063,0.9746398744800908,0.9992133229333804,0.9662791568669725,0.9774036818985619,0.9913283495721119,0.5887381729926762,0.995702481346242,0.9515613344921615,0.9966698382492863,0.9937850766850025,1.0,0.998636599687289,0.3337733962525699,1.0,0.9977425922533503,0.9911636542600945,0.9921178770007475,0.9960787813816359,0.9205229982180311,0.93984618432946,0.9813700439203288,0.9871145394325908,0.9954081921629925,0.9814131341257076,0.8464522813947997,0.9925299583927455,0.8086124499019797,0.9590098409185488,0.8668670235994931
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.35470375106564367,0.14107864357864358,0.11275417175417175,0.10504662004662003,0.30357142857142855,0.6638888888888889,0.05716519029862358,0.10398426709902119,0.357994227994228,0.21137685843568196,0.5342857142857143,0.0649432546163656,0.4166666666666667,0.25162907268170426,0.9666666666666666,0.4768253968253968,0.3246553446553447,1.0,0.2786813186813187,0.1491053391053391,0.3163003663003663,0.44126984126984126,0.022323209613139786,0.051696678671468585,0.3770588235294118,0.13098492312285415,0.5628571428571428,0.1819947209653092,0.037160451097458976,0.3452741702741703,0.15426714090507193,0.10521321044805589,0.5660839160839162
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.07463676373063242,0.014925337198290648,0.005876520790577759,0.1252229270086413,0.011994012264084987,0.8509090909090908,0.14834582708645677,0.043398268398268394,0.20438311688311686,0.004267571229007399,0.6428571428571428,0.07550940438871473,0.4166666666666667,0.446577480490524,0.9166666666666665,0.14743163812931254,0.005531611439144884,0.006794150731158605,0.006874014393574111,0.002908585190732255,0.3666666666666667,0.5070270270270271,0.026311963272652842,0.06545186372658074,0.1481878905408317,0.1078537936913896,0.6791666666666667,0.5,0.11723476769915255,0.0019223159061243146,0.006968747159084642,0.0922488038277512,0.0024223524910545946
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.42819765476468213,0.7331517521583067,0.7562083652793617,0.8842537419437471,0.8358072330979145,0.9877178594763135,0.659486061737695,0.5551862730377946,0.8466000619510172,0.6732630611747467,0.3706587088324278,0.965746458658084,0.5,0.8864055969325089,0.999299111945152,0.5379170084215388,0.8233883982897241,0.6111970611314097,0.9642214437542295,0.41376002994112193,0.8533993449150133,0.9450287434248553,0.572063540850833,0.9590375476785481,0.8607980643874463,0.9457118626118135,0.7828402005200511,0.5564660363501339,0.5020255031966364,0.3740896087002972,0.7053370608081004,0.5,0.7205722739610706
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9986149710366922,0.9916643418186114,0.9989366187444797,0.9908651329547397,0.995535652391614,0.9963779875296219,0.9922208250071083,0.9867455085615215,0.9916585587418201,0.9743940952751545,0.998006834332387,0.97438636243994,0.9966698382492863,0.9959783182381261,0.9997831858412882,0.9999023028293463,0.9984879856084694,1.0,1.0,0.9975696587245818,0.9954269964446354,0.9983407047637048,0.9959179578732493,0.958493099367917,0.9972503342153145,0.9859326997383011,0.9981861673407396,0.9947406678647371,0.925233954150914,0.9972577727851268,0.9862073176608341,0.9864054911529991,0.9933695425215632
