,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,23_mammography,38_thyroid,44_Wilt,3_backdoor,11_donors,28_pendigits,9_census,24_mnist,36_speech,1_ALOI,5_campaign,41_Waveform,31_satimage-2,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,25_musk,33_skin,8_celeba,19_landsat,2_annthyroid,30_satellite
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.6331049339102761,0.4345211513464172,0.6307212829836178,0.9087263316475808,0.6499634561290705,0.8531453082105305,0.7266023891380728,0.9448822544699736,0.9854710894848747,0.5531273577666892,0.9510124092389675,0.9545209807484429,0.9875459892132711,0.922369251852504,0.9312964691209742,0.9036180931527596,0.5263372026245471,0.8383332498213878,0.7705504262113403,0.9996740329123491,0.9903662044456231,0.5105594055581275,0.9464120139173972,0.5748141641847243,0.760617190059005,0.9840433183285909,0.7800582020167235,0.8784979174710101,0.612431220518916,0.7240923029084643,0.7441869249620677
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.010723252480749044,0.017399069814421998,0.021585690181572262,0.02030432323938336,0.030503683420792578,0.009778173114111447,0.011817716416253276,0.21946273821772633,0.021317501439037163,0.006781129927555547,0.019418551559063288,0.011587058846410737,0.020864282979514242,0.005721969644488849,0.056154541718501504,0.009854118872575701,0.016386280369672598,0.008206095283427911,0.014126033697885591,0.0105326470380794,0.03668156724148455,0.012662875799662476,0.006740353182971128,0.009539208546022023,0.04615362596715007,0.1339582519830579,0.0074363064599897,0.01479125225025115,0.017080538665395405,0.026521236572244755,0.024380515574091474
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.1677996070995368,0.06738955246038605,0.3476161115670271,0.2105694938736447,0.2340956812591982,0.8820893098989075,0.07834522850005278,0.21349563409300243,0.19671713022476,0.0686351604617389,0.5164749480538955,0.21974312070732271,0.43703457401270407,0.6057816219129737,0.345401234016277,1.0,0.04876750209857153,0.3150479769477093,0.23190430392533826,0.5704993842300343,0.44300037810470855,0.07949224320590204,0.14629437187479408,0.1506860512803323,0.22542421853069364,0.7470238095238095,0.072230955767027,0.18468855829945421,0.3000894587069055,0.0839516602825188,0.26545147817187537
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9787175638772312,0.36846208232136124,0.5543826677252698,0.9349799338133575,0.9286747986835133,0.9992220611238597,0.8261217789262569,0.9609947707112059,0.9866292354244367,0.3932314696328364,0.9946890922046713,0.948590281744329,0.9819074328794795,0.9952708760483883,0.9800513173485337,0.8164804670044591,0.3581112607863378,0.9967595535190497,0.9847308559688466,0.9994746348250219,0.9872511844308638,0.8038065344106904,0.9472089809654227,0.8899971645765892,0.9131121491397355,0.9867375483102069,0.8161520645141485,0.9611841087432969,0.6288054970533903,0.8374996163572896,0.8495924074358449
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.5991243880194493,0.06026342855623306,0.5885740057830533,0.17629558166797887,0.13677876662121247,0.694224741275909,0.1256964627147462,0.26641242310675356,0.4652720628486327,0.1866815268788082,0.7269482627477228,0.2065225156863531,0.4152920936080131,0.5910722914930748,0.22711071670646105,1.0000000000000002,0.06673512234087062,0.20634942582936175,0.24688958878524042,0.9591804774602763,0.42490684487774755,0.03291638824217093,0.14271941470360539,0.04157444798454532,0.09618408013721672,0.36676173342189095,0.04397954801623223,0.26956463840070477,0.1566455666223365,0.15048706914746557,0.12545978857793338
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.04739856517354901,0.01916901377661379,0.02247749401196152,0.26022025543032556,0.03840415323157015,0.4267618097488449,0.011575746263445333,0.14003597685990313,0.06536691269836975,0.04785333046363737,0.321890966167499,0.18892509945828978,0.3384747034302775,0.28336194245517604,0.17963729414457474,0.01236826458832509,0.016977231427175637,0.025470609587002438,0.026732133613490854,0.006470994568072015,0.5881270243837404,0.024732204978560116,0.20083504962717164,0.16901927172412565,0.1333204539064186,0.48971861471861466,,0.007779609475372251,0.03255011075439934,0.017289302842841102,0.026164914937104204
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.3366887527728294,0.4715594145999247,0.5624508957270284,0.9248150540280251,0.7215263659371689,0.9958210281043258,0.47052227590989826,0.9746937484412087,0.9845303355740437,0.5711950986030154,0.982950550487008,0.9459908960493049,0.9890744535974939,0.9878431371720131,0.9670187256181635,0.6763207184229687,0.6216659221389601,0.9604146744255144,0.7490806692285741,0.9996845301259274,0.9932759555395874,0.5014331503207705,0.9509028853089466,0.9084087625413431,0.8596395743531635,0.9859482875821723,0.9005546264046388,0.40814384158137806,0.5670230920655939,0.637276876893493,0.6585699855718071
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.6939857435500484,0.5175792222995148,0.6069664768606906,0.845957890332393,0.7468474306422438,0.5137236010322932,0.6752688253272799,0.9364223444247526,0.9879035515099044,0.5576027004424575,0.969314711565725,0.9604317443252777,0.988209904944539,0.9640834632830011,0.8996533967075636,0.3968589365190779,0.6611812315800063,0.9193373164157487,0.8905822252453965,0.9996470276710787,0.9904926268291416,0.6141600886000734,0.9495142842797308,0.7225096589181039,0.7480578141212342,0.982624437636992,0.7707849907010664,0.8888189252298784,0.5724160961327063,0.7087809863179662,0.6567396321993296
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5,0.6450739591897148,0.7367397995369589,0.625359140002014,0.7125520444359167,0.9344408664190998,0.8022016503907685,0.34265421027945614,0.5,0.5681326384585681,0.5639028681499964,0.9477528411319758,0.5580102982973778,0.9046599114635289,0.45069163459577566,0.9280121769421384,0.6545501649193778,0.715116900029729,0.503676858604083,0.9977398436893475,0.32185989721343206,0.4803554138693758,0.9518063401280312,0.7844538928463127,0.8970826308679836,0.5,0.34277680935503624,0.69457032121591,0.582599195021668,0.5,0.5
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.988859611052062,0.8566134328739271,0.9964768221520167,0.9662378943031309,0.988891854902031,0.9949134647771977,0.9524090840135466,0.970714520867143,0.9873846813886437,0.9574077181221414,0.9960182756384508,0.9697154451577714,0.9920598927522558,0.995356492121158,0.9995154117141062,0.9998333229223739,0.9488241332698204,0.9992826843031171,0.9881630328278974,0.9995725726502632,0.991443851060063,0.9401145397281061,0.9589552904123526,0.9929877966937062,0.9521646652335898,0.9872024997561428,0.9015218001368484,0.9800700398485855,0.9540408363417452,0.9329751281909564,0.938853618920157
