Unnamed: 0,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,23_mammography,38_thyroid,44_Wilt,3_backdoor,11_donors,28_pendigits,9_census,24_mnist,36_speech,1_ALOI,5_campaign,41_Waveform,31_satimage-2,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,25_musk,33_skin,8_celeba,19_landsat,2_annthyroid,30_satellite
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.01, 'weight_decay': 0.0001}",0.9978753741562364,0.9686610563059292,1.0,0.9941795841288364,0.9978705065036804,0.9755863573599058,0.9954889428495122,,0.995296610708186,0.9777159654860208,0.992347424043343,0.967470160354988,0.993676414939533,0.9998613938167338,1.0,1.0,0.7612147026108893,1.0,1.0,0.9930876984449936,0.9906790304920964,0.956163596855348,0.9619328395057588,0.9793460710683012,0.9898517752951986,0.9899528549499708,0.9045841344963026,0.9466645140671894,0.990111292303382,0.9918580968672788,0.8705245427944501
"{'augmentation': None, 'preprocess': 'normalize', 'network_architecture': 'FTT', 'hidden_size_list': [100, 50, 20], 'act_fun': 'ReLU', 'dropout': 0.2, 'network_initialization': 'xavier_normal', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 100, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.685591488591587,0.1054324180594104,0.0658051827921649,0.1415587200682954,0.0449134291845353,,0.0609165539975396,0.2490702758300907,0.4491724877225501,0.0178248092441236,0.0588159728416285,0.0777595853782814,0.1803542232247474,,0.069519356173079,,0.0080975133430624,0.0908142049611681,0.0622256638666341,0.5725152491741696,0.2924923372043363,0.0787670777873284,0.1495267405484058,0.0307768772344425,0.0755792845217086,0.3660825740324011,0.0955789582365346,0.105655824816555,0.0881242330604522,0.1709833960132726,0.0145959152838879
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.2, 'network_initialization': 'xavier_normal', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 100, 'batch_size': 16, 'lr': 0.01, 'weight_decay': 0.01}",0.9912696022020494,0.6978648336808988,0.9934048552407676,0.9859735188090376,0.9992965418364392,1.0,0.987660507707738,0.9691680106986034,0.9872900682512076,0.9563734469918282,0.9932653836804743,0.977858994937666,0.9869826889361546,0.99869412941214,0.9999334785062174,1.0,0.9028103949599624,0.9999923179534462,0.9959724623267624,0.9999642337534982,0.9898906779400805,0.9556412838819036,0.9550787865893204,0.9732085825788076,0.9160190963719624,0.9837309338811108,,0.99999489726301,0.9558883217554484,0.9554495396853172,0.959717274071242
"{'augmentation': 'Mixup', 'preprocess': 'normalize', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.0001}",0.9983583612101992,0.8799770507640317,0.9998279158832024,0.97999612522776,0.998072258948635,0.9998613695472278,0.9354637028825692,0.9721222236533216,0.9779915454826053,0.9669111386283722,0.9988337428368632,0.9861181649108132,0.9888017757368198,0.9999782141009896,0.9999979167406048,1.0,0.8301752047624253,0.9999988444151632,1.0,1.0,0.9967791858834504,0.9756081882437128,0.979428170892236,0.905658536913524,0.9621273437911004,0.9937901339166008,0.877656796248657,0.9996521607638932,0.9912798185820936,0.9599618113829088,0.9992758883440984
"{'augmentation': 'SMOTE', 'preprocess': 'normalize', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'Adam', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9895727329137426,0.625164326805757,0.5156887853358918,0.9142307782754392,0.6608573727806892,0.9483294305827196,0.7054476180547626,0.9485229450810032,0.9777513145761736,0.5894625767828692,0.985900965869137,0.946916872370821,0.957411943708358,0.9674372254309012,0.9463903517020208,0.9895371138071828,0.7087214739671605,0.8903230180911362,0.6927886309770748,0.999731288588266,0.985418353867365,0.6124211197832767,0.9282953857458623,0.7232017399057354,0.9104377322035584,0.9889456755962938,0.7917446934989849,0.9087038983588772,0.8277178235387519,0.818090884157475,0.5725882997367568
"{'augmentation': 'Mixup', 'preprocess': 'normalize', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'kaiming_normal', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.01, 'weight_decay': 0.0001}",0.9928774269125968,0.8733238140450285,0.4371305976538493,0.951869941570718,0.9749019008486752,0.9752048188344188,0.7232390240570582,0.9634181704473294,0.9597199290673056,0.5436711963399485,0.9821852158155472,0.9313443020324136,0.9914563507382492,0.9600043746866644,0.9780097923311638,0.9999967554617276,0.493036327738685,0.9422303813125724,0.9681774077905037,0.95482580899638,0.961331708801996,0.9268635480489676,0.930989231340594,0.426857509052761,0.8692422964396219,0.798482132818644,0.8498118626664245,0.8528714641569075,0.8864257608901048,0.6186303361277654,0.573279612741322
"{'augmentation': 'GAN', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'hidden_size_list': [100, 50, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'kaiming_normal', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 100, 'batch_size': 64, 'lr': 0.01, 'weight_decay': 0.0001}",0.1846204001077148,0.0423106544691607,0.0995372516633047,0.1987138706044555,0.0803077410896601,0.6260843348557038,0.0589639003150843,0.1211112171505563,0.1485099068459838,0.075617525913417,0.3670950788342093,0.0888565734358968,0.3732515658976801,0.2131617872852027,0.2102804751107158,1.0,0.1277196898624712,0.164915438746138,0.0728005567001184,0.341388998632159,0.427190393430067,0.0604026405517683,0.0909100482627359,0.0679763013953079,0.1742822653028893,0.3560504971219257,0.0487702165961179,0.1080402449498483,0.0142957063345391,0.0627543414676278,0.1462443604853503
"{'augmentation': 'GAN', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'hidden_size_list': [100, 50, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 64, 'lr': 0.001, 'weight_decay': 0.0001}",0.185940735284512,0.0530783643356725,0.0940707025249161,0.1620105000958677,0.0776376683036148,0.5962360289965789,0.0634611030769899,0.1285084582883712,0.1449729372651831,0.0698795153912929,0.4204254295301008,0.0749470595837947,0.3746577672197052,0.217979491204545,0.19377393725785,1.0,0.1734189153372468,0.1710364515773402,0.0645604680627417,0.3512422325631887,0.422748463179004,0.1017673751934037,0.0895994326842021,0.0414622202806901,0.1766012626715282,0.5888736263736264,0.0382889118182947,0.1016809165678672,0.0238620226199352,0.0729877980599589,0.1499452673067954
"{'augmentation': 'Mixup', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'xavier_normal', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.01, 'weight_decay': 0.01}",0.9924391470922328,0.692217903191593,0.7827972899571798,0.9509077048863428,0.8309810055688509,0.9924567637747764,0.7441807731038461,0.9508347540428108,0.9719111841047904,0.6136862433291939,0.976491395466436,0.8789984864017266,0.9861469353637328,0.947366893618676,0.9580035078788804,0.9998821265456048,0.7749526639703047,0.9154950498180698,0.8473554119686582,0.9992201845397964,0.983437281660765,0.7374802015268523,0.9174313875118036,0.7414993599189402,0.8656807969603445,0.9642152652719398,0.8627909568347134,0.8971076474917988,0.7007582403884508,0.8196597319413257,0.5978332020251131
"{'augmentation': None, 'preprocess': 'normalize', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.001, 'weight_decay': 0.01}",0.4522409830300669,0.0829202652094064,0.3637201756690388,0.1987137968320783,0.6422910584281449,0.7708662347724726,0.0651845164261724,0.0939467421208734,0.2973775017253278,0.1361915535444947,0.5016818352001955,0.0095238095238095,0.3996103607961666,0.236614010989011,0.2476560879959923,1.0,0.0420681855976856,0.1638705252472799,0.1940790211673687,0.8264492753623189,0.3846153846153846,0.0609922818638158,0.1510059062384643,0.0250027058128667,0.0733763624778162,0.3016309054513693,0.0525492135861888,0.2911224659425658,0.1332762330660944,0.1038245447597036,0.1529845920009718
