,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,23_mammography,38_thyroid,44_Wilt,3_backdoor,11_donors,16_http,28_pendigits,9_census,24_mnist,1_ALOI,36_speech,5_campaign,41_Waveform,31_satimage-2,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,10_cover,25_musk,33_skin,8_celeba,19_landsat,2_annthyroid,30_satellite
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.3203395784543326,0.033132847517213224,0.04961930948030677,0.09374022663496348,0.05149883449883451,0.81,0.03574284245028339,0.05260464906524555,0.19115995115995119,0.005879482649865323,0.7084967320261437,0.1285996554418869,0.8066666666666668,0.2674312246892892,1.0,0.7087301587301587,0.22513775537269265,0.024611580529402616,0.9428571428571428,0.018748495638509815,0.18398268398268397,0.38073260073260073,0.20674321333307732,0.03537310347604465,0.09945977011494253,0.026936546658046262,0.6192857142857142,0.21082332332332332,0.01896130518336877,0.32857142857142857,0.15105261725078473,0.008488985563796434,0.0031710599547245264
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9938778668377657,0.5,0.5,0.9968942981447386,0.5,0.5,0.5
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.36402597402597403,0.04772455667375246,0.6277777777777778,0.18332903938167097,0.39388888888888884,1.0,0.12867965367965367,0.053959521230883545,0.1499421631000578,0.02166211601820852,0.7323671497584541,0.14877238708614274,0.8066666666666668,0.44095238095238093,1.0,1.0,0.10663963752285062,1.0,1.0,0.20697945845004667,0.24362448009506832,0.5392857142857143,0.2463756496090641,0.08412830853381542,0.3557516339869281,0.08077799012581621,0.49777777777777776,0.4716666666666667,0.019033040698533205,0.5976190476190476,0.1552465834818776,0.24820967545670977,0.3389097744360902
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9969862297600061,0.9604650274265254,0.9757400805722205,0.9933801854538277,0.9994331924462202,1.0,0.9944913715406855,0.953771958904956,0.9791762365547682,0.9642677560437268,0.9972948687992336,0.9870342752428606,0.9993089702269271,0.9917666360031516,1.0,0.9990688752597482,0.9832770085972107,1.0,0.9991520362143126,0.90600216131254,0.9883528887385535,0.998731914407902,0.9776273293976991,0.9875229687832473,0.9991843191665507,0.9858981033097147,0.9953148833969103,0.9968065426849069,0.8819361983607895,0.9967292012982598,0.9800163843997914,0.9788507976089159,0.9704474820827553
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.005514960883608552,0.01238400050256835,0.006544110363129444,0.14219958088182802,0.10796237581429113,0.8142857142857143,0.0036865301673960488,0.0019330617503068993,0.006230529595015576,0.0025290515712680065,0.11919745014710689,0.005902905554974487,0.8666666666666667,0.03745003406768113,0.41118892001244944,0.009518101150503078,0.0019349304658150105,0.00558659217877095,0.0030211624117527846,0.021168370956748925,0.002756457439222826,0.013477088948787063,0.002048489071934877,0.010046687389022771,0.004860178363003992,0.004418481238130975,0.0048352599806994875,,0.002935314293918121,0.008063155053817543,0.0022212936012573504,0.00393039960268015,0.0023306150896723293
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.021360307121771928,0.011911683604401596,0.005243710783860335,0.08783142578414209,0.022923771749388935,,0.04458608738301971,0.00384076231928268,0.0036958521934091965,,0.0011573208969672332,0.0031336294944351068,0.0689608636977058,0.001892777961224586,,0.007644463835553873,0.0024679170779861796,0.0015015015015015015,0.07662252176968892,0.008788897789061372,0.49707602339181284,0.003289473684210526,0.0077724648155401135,,0.004241947190817379,0.002710787786746111,0.47469726768850673,,0.011911151860422627,0.03226239712054807,0.0020636137674461276,0.00240825987378338,0.003908997684991988
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.1067418852823477,0.03425676216120449,0.3946428571428572,0.1444292011700243,0.1783649357178769,1.0,0.054883209000856054,0.028397292410799035,0.1524340750712702,0.001794043774668102,0.49607843137254903,0.1368334430546412,0.8066666666666668,0.38283991228070174,0.8766666666666667,0.26964285714285713,0.00214100032905561,1.0,0.41888888888888887,0.019428275962168565,0.5666666666666667,0.3164502164502164,0.05626083809672609,0.030421561195335275,0.002544529262086514,0.05112219047550505,0.4859523809523809,,0.014559274741358348,0.24693597340656165,0.11593029664062875,0.001812250815512867,0.08238572242719686
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5466666666666666,0.8711111111111112,0.81,0.5803619909502262,0.5441558441558441,1.0,0.16705278485620678,0.17862170509229333,0.5296503496503497,0.11226190476190476,0.7976190476190477,0.16511305971664025,0.8666666666666667,0.36192307692307696,1.0,1.0,0.6824675324675324,1.0,1.0,0.4536796536796537,0.2337060600218495,0.8083333333333333,0.07257433532430937,0.3219209362066505,0.9428571428571428,0.3452182163187856,0.4442857142857143,0.48238095238095235,0.039833979912088355,0.5792592592592593,0.06574834365156945,0.031179691869423896,0.6690476190476191
