Unnamed: 0,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,23_mammography,38_thyroid,44_Wilt,3_backdoor,11_donors,16_http,28_pendigits,9_census,24_mnist,1_ALOI,36_speech,5_campaign,41_Waveform,31_satimage-2,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,10_cover,25_musk,33_skin,8_celeba,19_landsat,2_annthyroid,30_satellite
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.01, 'weight_decay': 0.0001}",0.7876095608230338,0.9555772761222354,1.0,0.9943838995292892,0.9995449601744556,1.0,0.999735809665132,0.9983770883054892,0.9988674022134756,0.9968580721230798,0.999287768923622,0.9909298762253576,0.9983293556085918,0.9996208725172449,0.9999024840368876,1.0,1.0,0.9470486041888574,1.0,1.0,0.9975224565820426,0.9989592221507054,1.0,0.9743767693280398,0.998391670131749,0.9994249292268784,0.9998097527355164,0.999242884239666,0.9828616834034892,1.0,0.9993306030382604,0.7877344057051395,0.9916325379782526
"{'augmentation': None, 'preprocess': 'normalize', 'network_architecture': 'FTT', 'hidden_size_list': [100, 50, 20], 'act_fun': 'ReLU', 'dropout': 0.2, 'network_initialization': 'xavier_normal', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 100, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9930966469428008,0.9786060019361084,0.9765022421524664,0.988871473354232,0.9868440502586844,,0.8925373134328358,0.9606682577565632,0.9903579952267304,0.8163245823389021,0.9951789976133651,0.9786634844868736,0.9978520286396182,0.9838663484486874,,0.9929355608591884,0.696038186157518,,0.9482577565632458,0.9943675417661098,0.996945107398568,0.9851073985680192,0.9136038186157518,0.9744152744630072,0.445727923627685,0.9673508353221958,0.8705489260143198,0.9863007159904535,0.917708830548926,0.9991408114558472,0.8829594272076372,0.7909785202863961,0.8431026252983294
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.2, 'network_initialization': 'xavier_normal', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 100, 'batch_size': 16, 'lr': 0.01, 'weight_decay': 0.01}",0.9998434150687224,0.9532906814708052,0.9999436948259568,0.998402506854296,0.9999655852232782,0.999857419581718,0.997089303697376,0.9918799733425988,0.9965516259305882,0.9783423425476044,0.9992235177516648,0.9877879483484372,0.998329355608592,0.9966001560711092,1.0,1.0,0.98757651186767,1.0,1.0,0.9996728202732954,0.9969066022636006,0.9989875883596014,0.9991260017885522,0.9778811922921378,0.9990387386720284,0.9923860082820216,0.9992437956038072,0.9956940322736828,,0.999344501341414,0.9986099418435758,0.9884124606262212,0.997175454685266
"{'augmentation': 'Mixup', 'preprocess': 'normalize', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.0001}",1.0,0.9998762989778734,1.0,0.9992384115722134,0.9918087368739038,1.0,0.9973065473176856,0.9997249958703812,0.9992750098256448,0.9825640090908574,0.9992426563986306,0.98070824385826,0.998329355608592,0.9973369939793006,1.0,1.0,0.8091367672774704,1.0,1.0,0.9999585329315736,0.9981763603533814,0.9995068380790724,0.9999810891940693,0.9877954671026024,0.9964723372503004,0.995968808562266,0.9991836455704854,0.997679439055371,0.9635766485722912,1.0,0.9989945375111784,0.9882333775724677,0.9887822466265288
"{'augmentation': 'SMOTE', 'preprocess': 'normalize', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'Adam', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'Mixup', 'preprocess': 'normalize', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'kaiming_normal', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.01, 'weight_decay': 0.0001}",0.9978593575543964,0.9977030969300592,0.8926356854149491,0.982520317213864,0.9982055152137894,0.9978134122420186,0.7994938039542021,0.9952645519221238,0.9908091204766434,0.4346688615353068,0.9850944116290064,0.898791645069235,0.8928400954653938,0.9933031823696608,0.9993725257887572,0.9998523590091194,0.7020248232807971,0.9994671937389284,0.9921071308548026,0.737293932023627,0.9944204008863016,0.9962704700930162,0.998334937713957,0.9714921879005018,0.4351714788592,0.9921499649694407,0.8341047271318801,0.9909975450128444,0.941794817755652,0.9215816724671198,0.9903348693616464,0.9656680014353984,0.6315262501352806
"{'augmentation': 'GAN', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'hidden_size_list': [100, 50, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'kaiming_normal', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 100, 'batch_size': 64, 'lr': 0.01, 'weight_decay': 0.0001}",0.8612111536033862,0.7668141592920353,0.922380106571936,0.96752,0.935557240333586,0.9978835978835978,0.9243022464261402,0.9422657952069716,0.9880585516178736,0.7749643366619116,0.9990138067061144,0.955581947743468,0.932220434432824,0.994235239423524,1.0,0.9788114953726256,0.842736737729301,1.0,0.9953623188405798,0.980550918196995,0.9986784140969164,0.9958292919495636,0.9177394034536892,0.9679140127388536,0.825204081632653,0.9617461746174616,0.92412109375,0.9988518943742823,0.8974904147786684,0.984439140811456,0.7031938821412506,0.9147058823529411,0.4148648648648648
"{'augmentation': 'GAN', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'hidden_size_list': [100, 50, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 64, 'lr': 0.001, 'weight_decay': 0.0001}",0.9000853970964988,0.8229748127978216,0.9523978685612788,0.97888,0.9501137225170584,0.9974300831443688,0.9343771272974812,0.925925925925926,0.9889252696456088,0.8143366619115548,0.9990138067061144,0.95833729216152,0.9454947707160096,0.99442119944212,1.0,0.9864831953239164,0.8556271690629649,1.0,0.9954589371980676,0.9801335559265444,0.9986784140969164,0.9958292919495636,0.92425431711146,0.968471337579618,0.8368367346938775,0.9626462646264626,0.92783203125,0.9988518943742823,0.920355524573022,0.9852028639618138,0.7215474583895637,0.922201138519924,0.5967342342342342
"{'augmentation': 'Mixup', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'xavier_normal', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.01, 'weight_decay': 0.01}",0.9953501083451016,0.948749354552432,0.9247947877496028,0.9728849952339303,0.9224733408390324,0.9992897579910206,0.9190937811252116,0.9536844743422516,0.9892477258616664,0.7164700588399473,0.9977635123974004,0.9560681472536612,0.9911694510739856,0.994579661769983,0.99926794675355,0.9826920557527014,0.856458325026629,1.0,0.987178473578984,0.9767135069861757,0.9945518651636752,0.9962247879654366,0.933785294000376,0.971606678020745,0.8585515006180189,0.9669541640797216,0.8922273170009285,0.9921130547217206,0.925590307642358,0.9830666264147504,0.8088589151349103,0.9643615609389328,0.6205913614071463
"{'augmentation': None, 'preprocess': 'normalize', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.001, 'weight_decay': 0.01}",0.9899408284023667,0.9664085188770573,0.9992825112107624,0.9810344827586208,0.995269770879527,0.9976659372720642,0.928493894165536,0.981670644391408,0.9928400954653938,0.9520763723150356,0.9988066825775656,0.5,0.9940334128878282,0.9964677804295944,0.9992840095465396,0.5,0.9818615751789976,1.0,0.991742243436754,0.9894510739856802,0.9978997613365156,0.9990930787589498,0.9930310262529832,0.9696897374701672,0.7795704057279237,0.9853937947494034,0.9991408114558472,0.9964677804295944,0.905727923627685,0.9988066825775656,0.9461575178997612,0.9816706443914082,0.9197136038186156
