,LR,NB,SVM,MLP,RF,LGB,XGB,CatB,ResNet,FTTransformer
"('7_Cardiotocography', 3, 10)",0.4593883309486379,0.7035380133122611,0.44495118751378354,0.20947157766114283,0.42647492467985343,0.6043834745002041,0.650015448468134,0.6519568555115717,0.22236670529411123,0.5685392482532363
"('7_Cardiotocography', 3, 20)",0.5118994846505666,0.7040162582153003,0.4217479625390825,0.2483619857573712,0.5319183672926581,0.6324221433795656,0.6165509370352737,0.657206974130134,0.3130775177283917,0.5683594508353903
"('23_mammography', 1, 5)",0.40978893553001744,0.40824895234756076,0.06207811275821124,0.12995974184295697,0.21339684301393513,0.2941750479600462,0.2768565294183777,0.312833619894829,0.06831508834785793,0.35558892247974466
"('23_mammography', 1, 10)",0.6088570255659531,0.4783726978973028,0.10820131413401822,0.3080885708075584,0.429555551069118,0.3867694906831042,0.4378423249283931,0.44846581552088527,0.08906286429787552,0.40837554504450807
"('23_mammography', 1, 20)",0.6391288653173021,0.5218644517062139,0.23365115661103678,0.5290652640438321,0.4451957997308251,0.3979344619501597,0.3079013818890129,0.46421948440452193,0.2780146126843883,0.34613959554037227
"('23_mammography', 2, 5)",0.3200834738666967,0.5728396562305238,0.17280105486453723,0.06461607050452756,0.1177564763279049,0.23525344474205911,0.26416464684031066,0.28867450527412836,0.1170901837224196,0.3225321896761343
"('23_mammography', 2, 10)",0.3403892495329236,0.5831343688141283,0.294171850565759,0.288512350517355,0.1781420714273691,0.23079469179329765,0.27781793535438576,0.332282466385629,0.18814231904524475,0.375037178158374
"('23_mammography', 2, 20)",0.4038237184555746,0.5568072922168079,0.2468829061254089,0.4477091325270859,0.35502423220327356,0.3324879248494025,0.3716419406311487,0.3671233530758635,0.3829684651390405,0.37477609839723963
"('23_mammography', 3, 5)",0.777073575046541,0.5465020343924502,0.1609191188834802,0.017155406698329486,0.16556929842644127,0.17166418929017035,0.3168351035368946,0.4457638003861966,0.061323974271593605,0.3113003618325953
"('23_mammography', 3, 10)",0.7688780349188644,0.5154008888803504,0.38936953451224376,0.39373096909171995,0.493484500241352,0.4517201715826839,0.49194605652992224,0.6012998524994577,0.3115023439792368,0.37943748064451893
"('23_mammography', 3, 20)",0.7545421195641882,0.580429230659211,0.6260622588092486,0.6106737848867974,0.7414554113025835,0.6926641123408476,0.7194974121657822,0.7246838874917744,0.6485468980567086,0.6971945501446245
"('38_thyroid', 1, 5)",0.8858769418657024,0.9674147065056157,0.06608873838329964,0.9281863182115353,0.5637190082644628,0.6899991770448255,0.7132519734677343,0.8781445050165144,0.1544985296364571,0.6207330261785869
"('38_thyroid', 1, 10)",0.9189724310776942,0.9806384145589543,0.19637121525700435,0.964197808120733,0.7406413791365793,0.6691208207501215,0.6821962628716383,0.8975011031458661,0.45290572249763594,0.5618352463789483
"('38_thyroid', 1, 20)",0.9837293388429753,0.9836481700118063,0.7414159900510696,0.9800046500813764,0.9544258373205741,0.948072855175128,0.9562833888104785,0.9890544238370325,0.5172090963331809,0.9780622603203246
"('38_thyroid', 2, 5)",0.7405266474405757,0.8871611708623893,0.470434891856579,0.40909936795595103,0.6739921694467148,0.593631001406335,0.7518283137135706,0.7985246790978016,0.4321233195667869,0.8320678122724958
"('38_thyroid', 2, 10)",0.8781184157954134,0.9016660373883753,0.5833412089454357,0.754725159796124,0.79698248720976,0.8038965434379933,0.7934666226772404,0.8786044016546459,0.50633493681612,0.9358808326129897
"('38_thyroid', 2, 20)",0.9279818952202179,0.8913201183552554,0.7326351545465034,0.8831229821083454,0.8277853274176803,0.8133059762888559,0.8170526401924163,0.9087886366564467,0.5948037302236666,0.9276508453954762
"('38_thyroid', 3, 5)",0.8446169354232044,0.7362978637533799,0.31697422670696135,0.23091288494923623,0.6965217391304348,0.7605736741741063,0.6626119905361559,0.926540082089281,0.44120387391288,0.6844761444002779
"('38_thyroid', 3, 10)",0.8869641901235328,0.8815787234038786,0.3929357197632962,0.7547961806499585,0.7221493162255134,0.7519749993044502,0.8066292208813968,0.9155271753427845,0.49510486883352695,0.6243122360000852
"('38_thyroid', 3, 20)",0.8730776639990532,0.8819876741796443,0.7871908746391438,0.8488093090422679,0.9046112673172608,0.9179012593232255,0.9385418325635715,0.9734962681702627,0.819707206274948,0.9571045883771192
"('44_Wilt', 1, 5)",0.8200611101862373,0.6322390144862701,0.12788030571149445,0.4776949672101465,0.10680494749261385,0.32552391179283124,0.48911894638139924,0.5873157248388811,0.4561168985329758,0.5255764641772289
"('44_Wilt', 1, 10)",0.7746108155428552,0.6571709094419009,0.4945462173429029,0.7872136691571432,0.21993623945476967,0.42419521406843724,0.5272027487528346,0.7572255014574438,0.7227966708244232,0.2823405759190244
"('44_Wilt', 1, 20)",0.7749758726926446,0.6419278071911876,0.11178637403479645,0.9089252740598107,0.4482355090554619,0.6603281304412117,0.6425301805509884,0.8596930803396075,0.7845347187796197,0.8539938796379758
"('44_Wilt', 2, 5)",0.5987383227816113,0.4109320204376908,0.11929113337086052,0.114673897672424,0.30686088215367036,0.4736736394508402,0.49683968885743984,0.6527051048482879,0.4483625932601881,0.13999965127178904
"('44_Wilt', 2, 10)",0.6123089589880905,0.3319118450841242,0.19225459559902325,0.22942855875945792,0.42619180744989593,0.5508551359284496,0.5477427855294035,0.7802265566873229,0.5034273481809926,0.7941751854472798
"('44_Wilt', 2, 20)",0.6338618677520773,0.3747462287834894,0.4227438953592726,0.6146067813973112,0.5414670175647713,0.5851467294692521,0.6460330482807082,0.8467860076441286,0.5789884289640819,0.8849384324451887
"('44_Wilt', 3, 5)",0.6978788513113658,0.3945037515913522,0.14781476546231104,0.6537854720323221,0.18367008791820819,0.4230684605756886,0.4919423337477933,0.7455935028068256,0.5011367202133507,0.12967599090345072
"('44_Wilt', 3, 10)",0.743897316963798,0.4455043105723323,0.123645844032212,0.6254647712117594,0.3784126171196298,0.5861503865772957,0.5840558693200513,0.7984530419244305,0.5824922867645803,0.7503714219665896
"('44_Wilt', 3, 20)",0.7493180837471306,0.48284286494051576,0.16204016079940095,0.6656429301932427,0.6258708447675001,0.7074852774357209,0.6424142293348853,0.8500726947337955,0.7207428969457765,0.8219088797491848
"('3_backdoor', 1, 5)",0.9999999999999999,0.8377777777777778,0.48394488757699783,0.9331776685195297,0.552858204597335,0.45653958646587744,0.6115396394004275,0.803822625676138,0.7488478404103126,0.9983333333333333
"('3_backdoor', 1, 10)",0.9999999999999999,0.4627083333333334,0.38628589407436853,0.9849416264090176,0.6892123421063637,0.8534249649768473,0.6239166096217579,0.7677511714313194,0.5801915192752529,0.9999999999999999
"('3_backdoor', 1, 20)",0.9999999999999999,0.20306159420289854,0.7414123516808085,0.9967948717948717,0.922070280196591,0.8937270625729776,0.8066734443729572,0.9902254428341384,0.8795314581626025,0.9554834397101949
"('3_backdoor', 2, 5)",0.8261484918069819,0.08125874125874126,0.5613223806923692,0.6478890489902285,0.32283894676751823,0.2161092790564621,0.28748967581319973,0.5443157249785961,0.2945029428907296,0.7448993683102295
"('3_backdoor', 2, 10)",0.8340367377634763,0.08173998044965787,0.5587815292894716,0.6954542193286368,0.533479020979021,0.452059758154921,0.5901458375722666,0.5491018292812941,0.15754564255275355,0.694596973678246
"('3_backdoor', 2, 20)",0.8419967032580707,0.08614674350870669,0.6795288985988093,0.7885354428058117,0.7667693266733728,0.7084190100565401,0.7730217659555222,0.7280096936121604,0.6463268112376782,0.724900677744635
"('3_backdoor', 3, 5)",0.8334327902789137,0.07308607976947945,0.6001768171611713,0.7102294478812565,0.6468170718170718,0.6794708387155398,0.7282327972148572,0.23585948595657202,0.3890376611828491,0.8234024293271492
"('3_backdoor', 3, 10)",0.8333796208427556,0.5759595959595959,0.727916886017289,0.8419047082080718,0.8165376336847628,0.6513624023903326,0.7979252879092671,0.739590525281428,0.7624193966889979,0.8317527420500261
"('3_backdoor', 3, 20)",0.8331636922031287,0.3339646464646464,0.7802982954956745,0.8241336693141476,0.846190476190476,0.8184275926347764,0.8331849257318698,0.8447062705535853,0.7489924695729789,0.8561849694839693
"('11_donors', 1, 5)",0.9913900160708284,0.6448637316561845,0.037541811777556736,0.30651159427907326,0.3554331591970898,0.5572719967966306,0.6329151472441991,0.8021897657382364,0.7754948437051294,0.9799044709181014
"('11_donors', 1, 10)",0.9985617914072671,0.8514255765199161,0.03461745555830596,0.5939658364684428,0.6189376165610301,0.7680456782296539,0.7341412026553313,0.8999417137480616,0.9054561845439335,0.9942899702085402
"('11_donors', 1, 20)",0.9974208387915904,0.8514255765199161,0.9916583912611718,0.8376397059119005,0.8156013601807321,0.8254851761704526,0.8072165895154252,0.8544196391668465,0.9292506741223066,0.9972611077297626
"('11_donors', 2, 5)",0.9655876019592641,0.8847474747474747,0.03177872429842589,0.6018996195277941,0.34263884066023104,0.48050425474475883,0.4943935469694388,0.7451210754906289,0.5704820707543369,0.893691383480944
"('11_donors', 2, 10)",0.9628926695781562,0.8847474747474747,0.9851282051282051,0.816162748919314,0.6883281925794,0.6972067498612058,0.6934268469746853,0.9154921672360649,0.9501591633908021,0.9982116244411326
"('11_donors', 2, 20)",0.9971456855304405,0.9016393442622951,0.9259121524440836,0.9864593637749152,0.9119362422715667,0.8191438842880814,0.8855442047384554,0.9715842471425555,0.8737794158335714,1.0
"('11_donors', 3, 5)",0.9710924153447564,0.8166120218579235,0.8951412921019367,0.1968942882778377,0.3973211033047099,0.33727027471688253,0.45884933526144955,0.6784547013000327,0.49786935086615225,0.9922505248160052
"('11_donors', 3, 10)",0.9569489777479496,0.9090556256130027,0.9945955683660601,0.7744087403979274,0.5022554401457565,0.5534998806061274,0.5451489749354347,0.8258773616833048,0.7689481035969234,0.9017013735577032
"('11_donors', 3, 20)",0.995611421409633,0.9090556256130027,0.9921686457381858,0.9694618399786551,0.7575454596684713,0.7993403852657857,0.7622126991770352,0.9402752577059974,0.9836091352446054,0.9545374605145671
"('28_pendigits', 1, 5)",0.971347263371277,0.31386946386946385,0.8183899263595216,0.9570707070707072,0.7645022808732485,0.6936907704523556,0.6712831264596612,0.8505866902807666,0.7175649083415963,0.9496380056724884
"('28_pendigits', 1, 10)",0.971347263371277,0.9606283422459891,0.8529227326414258,0.9648218258339425,0.9411111111111109,0.9017545818981225,0.9698142621239606,0.9873251748251748,0.8204800038221481,0.9878787878787876
"('28_pendigits', 1, 20)",0.9566647356031883,0.9688311688311686,0.8935523280033906,0.9351486755101212,0.9962121212121211,0.9800324675324674,0.9919815033451398,0.9959575997125403,0.8766537612971932,0.9999999999999998
"('28_pendigits', 2, 5)",0.7896913919827481,0.8827643801126372,0.32058605997065476,0.8217354218570136,0.6339364250847503,0.5056237217151464,0.48369533257999453,0.7171902892030948,0.5836743922422535,0.7728662680019067
"('28_pendigits', 2, 10)",0.7912796830735038,0.821887644380013,0.013163716804798463,0.8008854861092504,0.7163342067289434,0.7762857390019354,0.7681028978995486,0.8071309061280629,0.7514150867094321,0.7484651378678174
"('28_pendigits', 2, 20)",0.8739705688308141,0.9008988659259557,0.7092049869247189,0.8808118111506855,0.9021570727637481,0.7979594452186617,0.8082599491035658,0.9731385281385281,0.9125859799445715,0.934490891618365
"('28_pendigits', 3, 5)",0.9501989530936896,0.9675420379178669,0.4981087059917167,0.9510923456641984,0.7385112112418444,0.5941921450231928,0.6966492409954097,0.9192495224528046,0.7420558862026442,0.9789356984478935
"('28_pendigits', 3, 10)",0.9379864688688218,0.9589191605495953,0.5378073444302259,0.9441690921500356,0.8742207803796109,0.7069418274912731,0.6179524710819321,0.921998062695737,0.7365117078518165,0.961678996374354
"('28_pendigits', 3, 20)",0.970676293403566,0.9768695827454142,0.7059924875029777,0.9765820543093269,0.9315066246884429,0.7861570719403321,0.8753271722153653,0.9721194503171247,0.9487789932226431,0.9795454545454546
"('9_census', 1, 5)",0.3369692414189779,0.09619883040935673,0.21263103190766458,0.28298208152150695,0.1798168624174816,0.3029959125124353,0.3485483223404872,0.3357303367152985,0.10606881671719395,0.3358822577064796
"('9_census', 1, 10)",0.3649133646453463,0.07973684210526316,0.2401817414843935,0.26942263321066895,0.2792655939303267,0.4050988607385814,0.42425686082591074,0.24241268755658163,0.10229877277015938,0.25813906489731525
"('9_census', 1, 20)",0.3200366719857379,0.07741897115670532,0.24845622039818613,0.19904093268500353,0.3130207474325175,0.31983859515609625,0.2995517302717114,0.3861689831122352,0.15625134431780863,0.14318313958480694
"('9_census', 2, 5)",0.2444748390788239,0.08666666666666667,0.17348941478692098,0.20880238036464127,0.1597308221534228,0.1984456333922241,0.26555649261364767,0.3437156010869954,0.08309568339141188,0.20199685300520065
"('9_census', 2, 10)",0.28826099886619405,0.11111111111111112,0.18104945000181738,0.25327336909279935,0.19586071615338013,0.28607417990859413,0.280294026707021,0.311547205478773,0.12673374967675594,0.2131639824985092
"('9_census', 2, 20)",0.3825780052375911,0.11115497076023392,0.21630175421302872,0.3271354421676535,0.27162236205074203,0.3862091313858738,0.3755944598878469,0.37199243096892864,0.2101268097566945,0.2975159305640055
"('9_census', 3, 5)",0.2394925379124606,0.0672693032015066,0.038410675029926025,0.2112404804206363,0.17941113168431214,0.2937420590364113,0.3006746255677688,0.2745565139027959,0.07020040263321568,0.19676583674610545
"('9_census', 3, 10)",0.30269713871403975,0.07747645951035782,0.237123249477702,0.22471421885630471,0.2610701551239756,0.3282095353195467,0.3832064202171664,0.3243773045990587,0.14689127728002796,0.21778746194924678
"('9_census', 3, 20)",0.377387122011532,0.13138087900799764,0.28729211944475885,0.3155995452286052,0.25889121193329406,0.42515417748782275,0.39911761632040454,0.4186119157304471,0.11266264406039882,0.26647341323301876
"('24_mnist', 1, 5)",0.2484339646177584,0.09692642458860329,0.3095444713193523,0.42994236401484853,0.4025267467086689,0.33156306938127894,0.3891372240766324,0.540781145347643,0.13408843817022853,0.7210393268739108
"('24_mnist', 1, 10)",0.39570473333409933,0.10750208855472013,0.49738228416566893,0.4667085982175514,0.48173767752715113,0.5381557631933322,0.528243499187811,0.6776150940547585,0.23128911418010634,0.777864043982882
"('24_mnist', 1, 20)",0.5379406303247452,0.09745478036175712,0.6747656445376691,0.597220920536395,0.691513063136859,0.7213722589559856,0.7136985049447935,0.7832367263069356,0.5003069714446983,0.7977895848380944
"('24_mnist', 2, 5)",0.33269819989999666,0.11164902567442869,0.25718744359004814,0.49744514347950886,0.35837947917473756,0.4419218506789296,0.49226553460318895,0.5860776644065502,0.17960540050220772,0.6771621989868315
"('24_mnist', 2, 10)",0.42291190162648573,0.1098391545451906,0.062434309824423335,0.45122548268689694,0.521522590698477,0.45315997185127677,0.6158475403423593,0.720064036256998,0.25064745747219763,0.6632610775833091
"('24_mnist', 2, 20)",0.46221076176427506,0.11671613694670772,0.5248245068539601,0.5056732021956897,0.6510536888263632,0.7012935290369293,0.622750081484434,0.7903211220970686,0.32436867882750475,0.6809349308926687
"('24_mnist', 3, 5)",0.4790243695900041,0.23389926386499094,0.05115302601285278,0.4968476419627074,0.48411336442731484,0.4967219498771181,0.645222160640496,0.6624271594388967,0.3466687553668061,0.5910415494573614
