Unnamed: 0,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,23_mammography,38_thyroid,44_Wilt,3_backdoor,11_donors,16_http,28_pendigits,9_census,24_mnist,1_ALOI,36_speech,5_campaign,41_Waveform,31_satimage-2,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,10_cover,25_musk,33_skin,8_celeba,19_landsat,2_annthyroid,30_satellite
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.01, 'weight_decay': 0.0001}",0.9993488160802926,0.9319459791677476,0.9484444280173068,0.9931495001005172,0.8810700328330592,1.0,0.9920390772469154,,0.9985541999799924,0.9580308209889804,0.9989361965961993,0.9660488226763296,0.998366729403102,0.99638039007761,0.9999565236294076,1.0,0.7431130975961133,1.0,0.999951947169345,0.9992988751326974,0.9982039165973916,0.9992115111814424,0.9962488548440148,0.9589463803785404,0.9994188837021676,0.964040984723928,0.9989912305184524,0.9972797293958816,0.9219069755383142,0.9794096321861032,0.9997930654395186,0.9608439910288586,0.9472238707810702
"{'augmentation': None, 'preprocess': 'normalize', 'network_architecture': 'FTT', 'hidden_size_list': [100, 50, 20], 'act_fun': 'ReLU', 'dropout': 0.2, 'network_initialization': 'xavier_normal', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 100, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.4569992997198879,0.3868188228218956,0.0330691028157262,0.2321483502690857,0.3401329271451223,,0.0141019974248358,0.1032660240526539,0.1268415311746777,0.0310484741969911,0.0026406495877765,0.048091471169679,0.6945054945054945,0.1610225499831306,,0.1436784084825386,0.0074571099206897,,0.1327264112494565,0.0773615359875946,0.4965150209267856,0.166540254857924,0.0979080159354969,0.0757362532571627,0.0211701997967255,0.0829706725064736,0.0581876552634688,0.1743421261634236,0.0409085318145777,0.0074514959080992,0.0261655777702443,0.0632625738958338,0.0227328699346819
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.2, 'network_initialization': 'xavier_normal', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 100, 'batch_size': 16, 'lr': 0.01, 'weight_decay': 0.01}",0.9933005423385094,0.7326761183905013,0.9987675738192264,0.9915067782166366,1.0,1.0,0.9886309744172403,0.9755788857235398,0.987101539111978,0.9199592136965348,0.9987787331962312,0.9645928535415684,0.9982670738096162,0.9843682885277047,0.9999592362470175,0.999999313640266,0.9089771126504722,1.0,1.0,0.9952801331902182,0.994894893521599,0.9953891437631744,0.978939935289245,0.9632021629493248,0.9946627538806028,0.9546518529263804,0.9976059288714644,0.9848424940593614,,1.0,0.9943651625152292,0.9259336804288234,0.9958112045810652
"{'augmentation': 'Mixup', 'preprocess': 'normalize', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.0001}",0.9994107385425032,0.9922700863172412,0.9997758285061438,0.9973191335388434,0.9998338803822072,0.999237353511871,0.985938592294156,0.9973735765380296,0.9981442794595003,0.9659226993995008,0.999832406509462,0.9698734784500058,0.9988375468924668,0.9920640373500778,0.9991529709856324,1.0,0.943836179926242,1.0,1.0,0.9999942651605478,0.9957166884571091,0.9995962185198596,0.9983417170649108,0.9707978725131312,0.8347920180689538,0.9940737155153964,0.9994099614777088,0.9856013991440168,0.9325035129248304,0.9999017450085236,0.9998758324148438,0.9626067952027548,0.9951113818085732
"{'augmentation': 'SMOTE', 'preprocess': 'normalize', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'Adam', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9902083874781812,0.7759219584254169,0.7469254409919789,0.9839255730563342,0.7497397624714321,0.9892838881904908,0.8242611227265757,0.9643939180774168,0.985361065293938,0.5093666068579819,0.9948360325490128,0.8670448127770742,0.977313956754965,0.9881288833801578,0.9844335108868798,0.9881649028741186,0.5522839509893404,0.9952336245126696,0.9132754399677704,0.3645503067853013,0.9945540273347973,0.9467348434683652,0.6471704289468441,0.9343876903105934,0.6611403946540735,0.8911890859370574,0.8371646303202867,0.9881368049644316,0.8810519101747065,0.8299724220783646,0.6668507975429887,0.8545089498950798,0.6428533829288003
"{'augmentation': 'Mixup', 'preprocess': 'normalize', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'kaiming_normal', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.01, 'weight_decay': 0.0001}",0.9961261275616567,0.8732547822986173,0.7299943701013376,0.9675795364433122,0.9892214072275248,1.0,0.7884515813756741,0.9921766763341702,0.9636775748236792,0.6560701292282763,0.9928220571246198,0.9416559477842602,0.9890581129357732,0.9852744140671044,0.9950185690193728,0.9788652745352197,0.4759382646724776,1.0,0.9815464319427244,0.9961696394215056,0.9945166300955652,0.9680609659133852,0.9159969186031254,0.9401844136531936,0.5732615118641717,0.8857252116487221,0.3613365790185855,0.97203904257709,0.9049931109485198,0.8346576905887965,0.9712271898924298,0.9042196257444076,0.6623127461588054
"{'augmentation': 'GAN', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'hidden_size_list': [100, 50, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'kaiming_normal', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 100, 'batch_size': 64, 'lr': 0.01, 'weight_decay': 0.0001}",0.0970487740278133,0.0603140001909887,0.0526480377810241,0.103271801165796,0.0674966870460859,0.6042932067932069,0.0603548674839763,0.1236632747814469,0.1506312722034814,0.0397426191188526,0.1325247079964061,0.0621247999815599,0.1043397731556272,0.184731492537534,0.3898996836496836,0.1249267821994527,0.0127792097511148,0.71,0.1274863183450073,0.1642286603238646,0.402363089357042,0.3105536293771588,0.045442358656984,0.0620238007011522,0.0319468134074973,0.2135629405786715,0.0161827979310135,0.3333333333333333,0.0760425517255298,0.063414729271544,0.227862641401588,0.0350517187500984,0.0588646430534408
"{'augmentation': 'GAN', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'hidden_size_list': [100, 50, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 64, 'lr': 0.001, 'weight_decay': 0.0001}",0.1046413007383234,0.0373927772526146,0.0852801601624037,0.2007769618361124,0.0728710116274268,0.5177340633222985,0.0567183864750527,0.2016534709496676,0.1550053361608804,0.0382961741590175,0.1925381263616557,0.0519721192040762,0.1058484641218469,0.2189833405062132,0.436627669715905,0.1476607048722292,0.0132072170075962,1.0,0.1103046290439551,0.1692895583792265,0.445021727223276,0.336654070076583,0.042277874327282,0.0614966772047626,0.0342749803609079,0.2303638874905393,0.016248931762386,0.3333333333333333,0.0674017479283443,0.0639689583883302,0.2309469074408919,0.0416342431568037,0.0565184181737002
"{'augmentation': 'Mixup', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'xavier_normal', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.01, 'weight_decay': 0.01}",0.9918123047238496,0.7843597179071476,0.7121977208605111,0.964520458010076,0.8457569136838132,0.9964403410117508,0.8060748982613688,0.960138684352848,0.9795860448611308,0.6388663142656421,0.9651785037681504,0.8850619787738052,0.9731685604479504,0.98151566457897,0.9849460318234556,0.9711661843730356,0.6618168797025545,0.9998108119809336,0.9154652321891272,0.9491306611619258,0.9943685933677436,0.981389776829032,0.8064451425003548,0.9381717165262384,0.6883378738009762,0.8914526902752703,0.7453518469921612,0.9630465021139176,0.8979721920511181,0.895495904863387,0.685650326695233,0.8288023125727957,0.6793130570230175
"{'augmentation': None, 'preprocess': 'normalize', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.001, 'weight_decay': 0.01}",0.3256793107432493,0.1890725571017227,0.6862193362193362,0.2291284146887595,0.2250827251483886,0.8813455988455987,0.1132215420001143,0.1101360544217687,0.1710120068610634,0.048238747553816,0.6216450216450216,0.078125,0.3225806451612903,0.3081116138763197,0.4973684210526315,0.2490973657405545,0.0086190269812585,1.0,0.4464219114219113,0.2040816326530612,0.4761904761904761,0.5026315789473684,0.2540649774884793,0.08130081300813,0.0245734631384412,0.0453164964394066,0.4144827586206896,0.2408932889408271,0.029446089881095,0.5815367965367966,0.27392921638313,0.0463980668024785,0.0261254936264096
