Unnamed: 0,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,23_mammography,38_thyroid,44_Wilt,3_backdoor,11_donors,16_http,28_pendigits,9_census,24_mnist,1_ALOI,36_speech,5_campaign,41_Waveform,31_satimage-2,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,10_cover,25_musk,33_skin,8_celeba,19_landsat,2_annthyroid,30_satellite
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.01, 'weight_decay': 0.0001}",0.997752207484715,0.996510975797562,1.0,0.996552848267492,1.0,1.0,1.0,,0.9999070852083296,0.9762072180657352,0.9999034414910092,0.9555419562472988,0.9995229007633588,0.9981702030480442,1.0,1.0,0.8476153004908433,0.995340878856319,1.0,1.0,0.9982798325416968,0.9994438379723714,1.0,0.9899598588040092,,0.816135269007521,1.0,0.9928212107444624,0.941965550192048,0.9784726263498986,0.9409212263558038,0.9990134105283366,0.9999057188143344
"{'augmentation': None, 'preprocess': 'normalize', 'network_architecture': 'FTT', 'hidden_size_list': [100, 50, 20], 'act_fun': 'ReLU', 'dropout': 0.2, 'network_initialization': 'xavier_normal', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 100, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.5926190476190476,0.2678787878787879,0.1206631299734748,0.097537446903644,0.0253936536827836,,0.0121752561529097,0.0345738025362039,0.1033257918552036,0.0124738919167084,0.5871481303161611,0.0316499982942918,0.8333333333333334,0.1896212121212121,,0.1371280473912053,0.0098088696291557,,0.1827300150829562,0.1962594268476621,0.2185190248348142,0.0808862600245443,0.3966669114766941,0.027734087767092,0.0200371646295368,0.0293821238674179,0.1323630149531477,0.0670190460475915,0.0188886793786975,0.0043992563206244,0.1044421216327282,0.0463610525661316,0.0016464636015311
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.2, 'network_initialization': 'xavier_normal', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 100, 'batch_size': 16, 'lr': 0.01, 'weight_decay': 0.01}",0.9861750406625532,0.9294230998924952,1.0,0.9986019034963364,1.0,1.0,0.9933206656670251,0.9437127268471044,0.991836119829636,0.769500906977429,0.9993391650022686,0.9784402291720036,0.9995229007633588,0.9807282148473012,0.9991439839843675,1.0,0.9907909676497144,1.0,1.0,1.0,0.995462990915402,1.0,0.9957250629193046,0.9789645155526158,0.9994008037741516,0.9458069801880836,0.9937459350345124,0.9932388517848532,,1.0,0.999386831777583,0.9795195335130668,0.9990431436631292
"{'augmentation': 'Mixup', 'preprocess': 'normalize', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.0001}",0.9973986091173032,0.9867734068623027,1.0,0.9984712492814214,0.9998990740860874,1.0,0.9942111651479408,0.9933612472103952,0.996274320957711,0.9560848076428096,0.9993666852145532,0.9890552546718874,0.9995229007633588,0.9717645811180624,0.996587100317911,1.0,0.9936551527259856,1.0,0.998979168486482,1.0,0.9936081019667788,1.0,0.9995199558561738,0.9877069334759436,0.930647534873202,0.9910328337411224,0.9999917324031036,0.9932105629899786,0.9175647309970218,1.0,0.9999668840406484,0.9899723027465728,1.0
"{'augmentation': 'SMOTE', 'preprocess': 'normalize', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'Adam', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'Mixup', 'preprocess': 'normalize', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'kaiming_normal', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.01, 'weight_decay': 0.0001}",0.998093558243662,0.9950568574488736,0.7775094891732679,0.9976937019452404,0.99908191390714,1.0,0.7394290658434011,0.976807627002796,0.9636528423895184,0.5945041899685414,0.9745250799382688,0.4138001643712463,0.9938330170777988,0.9878207845925944,0.9996596366887498,0.9909613244650506,0.8314574937099841,0.9999621042427516,0.986577305389024,0.996892932867361,0.3117120464461263,0.9640955184982334,0.998707665445174,0.976446879814192,0.7886295146805533,0.8733996139743669,0.9880247558461772,0.9868711995533817,0.8797101403782217,0.8044219915305808,0.9872019473261306,0.9555547320665362,0.7570517190751158
"{'augmentation': 'GAN', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'hidden_size_list': [100, 50, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'kaiming_normal', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 100, 'batch_size': 64, 'lr': 0.01, 'weight_decay': 0.0001}",,0.0550442717998368,0.089402376040307,0.0425755841935722,0.0776686605633974,1.0,0.0151272086885664,0.0049748049616617,0.3410785091197462,0.0081068278354011,0.1666666666666666,0.1220028651479304,0.0467289719626168,0.1679304710389903,0.525,0.0551945799344041,0.0569572573064273,1.0,0.2024309024309024,0.0551426050826716,0.3928571428571428,0.1764141414141414,0.0244101415154046,0.0303670838825899,0.0265163347155502,0.075087509309501,0.2710217191114704,0.4166666666666666,0.015078547833208,0.017516664795165,0.0140933608338446,0.0130091601051757,0.0548813824320471
"{'augmentation': 'GAN', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'hidden_size_list': [100, 50, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 64, 'lr': 0.001, 'weight_decay': 0.0001}",,0.0838088190157986,0.093963434949192,0.1289814476515243,0.1020727323358902,1.0,0.0142374960269697,0.0136575944412367,0.3206186406186406,0.007891885721022,0.1,0.0412077023081378,0.1162790697674418,0.1516156257535567,0.6083333333333333,0.0834280152550452,0.0555615661623753,1.0,0.1924418463037388,0.0552875589260094,0.4166666666666666,0.1677429934406678,0.030868492088348,0.0312197392935647,0.0318280343287993,0.0741861081654294,0.2716816521978779,0.3928571428571428,0.0149477781155558,0.0176146360450071,0.0367793791574279,0.0135950592358155,0.05487981190045
"{'augmentation': 'Mixup', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'xavier_normal', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.01, 'weight_decay': 0.01}",0.9870068570908918,0.8780830613666714,0.876593287640668,0.9468334153371302,0.9323226389419988,0.9992644279016962,0.7428656767132096,0.7473778888155411,0.9812605960479546,0.6027981796420327,0.9551442938453956,0.910975029610528,0.9938330170777988,0.9776723494310702,0.9984697895283772,0.966627591051991,0.840532264923419,1.0,0.9787122729420676,0.9490703368441862,0.9952617224428894,0.9815143575594965,0.9253233428945236,0.892841036750311,0.7843896648155225,0.933539671087001,0.9209477075874368,0.9721098757249502,0.8766474488994296,0.835335309778954,0.7716985663616476,0.906343059020266,0.8013767149327328
"{'augmentation': None, 'preprocess': 'normalize', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.001, 'weight_decay': 0.01}",0.2389807852965747,0.204077922077922,0.2634920634920634,0.0614285714285714,0.1431013431013431,1.0,0.0063499701153314,0.0380005769228167,0.165233736515201,0.0107383375275752,0.6791666666666667,0.0418038654259126,0.25,0.1666666666666666,0.5866666666666666,0.5555555555555556,0.0363983637007242,1.0,0.0023809523809523,0.178095238095238,0.4166666666666667,0.1873638344226579,0.1814311179017061,0.0275890465892327,0.0193017080605719,0.0326310734765624,0.4997979797979797,0.3846153846153846,0.0152734875580697,0.6295238095238095,0.0232067736630624,0.0075992478961705,0.0402988810896041
