Domain,IForest,ECOD,DeepSVDD,DAGMM
"('Astronautics', 1, 0)",0.951953113079071,0.05610024929046625,20.46773272752762,50.647378504276276
"('Astronautics', 2, 0)",0.8365115523338318,0.047622621059417676,19.31057995557785,38.180836737155914
"('Astronautics', 3, 0)",0.9873590469360352,0.059591114521026556,20.743014812469482,33.91750621795654
"('Biology', 1, 0)",0.2423536777496338,0.00398850440979,5.505376815795898,4.081079721450806
"('Biology', 2, 0)",0.3041861057281494,0.0039889812469482,6.460711479187012,5.082367658615112
"('Biology', 3, 0)",0.3161566257476806,0.0049858093261718,7.69141960144043,4.942797183990479
"('Botany', 1, 0)",0.6068781614303589,0.014960765838623,20.78089439868927,26.800353288650513
"('Botany', 2, 0)",0.6587371826171875,0.0129649639129638,17.205961227416992,14.614147424697876
"('Botany', 3, 0)",0.6392900943756104,0.014461636543273901,15.749358534812927,13.60210394859314
"('Chemistry', 1, 0)",3.0229108333587646,0.4438121318817138,31.20949101448059,35.63767671585083
"('Chemistry', 2, 0)",1.9856863021850584,0.3071775436401367,18.2780921459198,23.753441333770752
"('Chemistry', 3, 0)",2.3866140842437744,0.3281228542327881,21.933311462402344,87.97610783576965
"('Document', 1, 0)",0.7669479846954346,0.04089021682739255,20.75296974182129,22.375640153884888
"('Document', 2, 0)",0.6801815032958984,0.038398146629333454,17.784413695335388,14.745045781135559
"('Document', 3, 0)",0.7315423488616943,0.03889667987823485,16.772122740745544,21.52542638778687
"('Finance', 1, 0)",0.9589345455169678,0.0633301734924316,17.361544847488403,16.534258246421814
"('Finance', 2, 0)",0.908568263053894,0.07430136203765865,23.15005612373352,47.5163950920105
"('Finance', 3, 0)",1.037224531173706,0.06682109832763669,19.471399664878845,29.188399076461792
"('Healthcare', 1, 0)",0.5269903659820556,0.012765455245971618,14.57180905342102,28.63539824485779
"('Healthcare', 2, 0)",0.5527224063873291,0.01376280784606928,13.10851845741272,14.654978847503662
"('Healthcare', 3, 0)",0.6291170120239258,0.01336412429809564,15.029902696609497,13.503776550292969
"('Image', 1, 0)",1.5257924497127533,0.16455948352813718,16.564302802085876,28.166991472244263
"('Image', 2, 0)",1.5762860774993896,0.17203935980796808,15.732279032468796,23.01164960861206
"('Image', 3, 0)",1.4210726022720337,0.1494747400283813,15.892724931240082,32.901826586042134
"('Linguistics', 1, 0)",1.7286607027053833,0.2702763080596924,10.181704044342041,7.415157675743103
"('Linguistics', 2, 0)",1.7612886428833008,0.31066763401031494,10.618851661682129,7.2490891218185425
"('Linguistics', 3, 0)",1.5688015222549436,0.27526354789733887,9.718492984771729,7.2550859451293945
"('Network', 1, 0)",2.282891273498535,0.2124321460723877,21.10951781272888,59.30431509017944
"('Network', 2, 0)",2.232027530670166,0.2413520812988281,18.30901050567627,25.869779109954838
"('Network', 3, 0)",2.893258810043335,0.386965274810791,27.57222270965576,27.33940291404724
"('Physical', 1, 0)",0.5365651845932007,0.02094435691833495,13.30290400981903,47.26020121574402
"('Physical', 2, 0)",0.6522548198699951,0.021442294120788498,19.72821295261383,42.89624297618866
"('Physical', 3, 0)",0.6163516044616699,0.020445704460144,14.190532207489014,13.409619331359863
"('Physics', 1, 0)",0.7759356498718262,0.0388953685760498,18.44564461708069,17.63481307029724
"('Physics', 2, 0)",0.8008573055267334,0.0398931503295898,17.924039363861084,49.286192417144775
"('Physics', 3, 0)",0.7898859977722168,0.0408906936645507,18.219250202178955,19.97854256629944
"('Sociology', 1, 0)",2.7232136726379395,0.3026905059814453,18.079124569892883,31.677239298820496
"('Sociology', 2, 0)",3.1859750747680664,0.3151571750640869,23.8282413482666,27.390902400016785
"('Sociology', 3, 0)",2.7715840339660645,0.30418574810028076,20.09572923183441,57.41264522075653
"('Web', 1, 0)",0.6801798343658447,0.0079789161682128,17.637805461883545,19.435993909835812
"('Web', 2, 0)",0.6791832447052002,0.0069811344146728,17.598909616470337,24.7009072303772
"('Web', 3, 0)",0.7829055786132812,0.0089757442474365,22.256447315216064,94.00047659873962
