component,Astronautics,Biology,Botany,Chemistry,Document,Finance,Healthcare,Image,Linguistics,Network,Physical,Physics,Sociology,Web
augmentation:GAN,0.8172946069158047,0.7026836310249813,0.7277462081136261,0.945027744640085,0.8134561969851996,0.8751897685376623,0.8016831196790593,0.841942322722426,0.8014106216532958,0.9050361504278659,0.7706831074421499,0.8036504821113961,0.8987817256035641,0.7661339813513155
augmentation:Mixup,0.8571191448475592,0.7096545134690174,0.8611597248223966,0.9520906664994241,0.8346944012466901,0.9025997262349,0.8879892961000382,0.8811594220713356,0.8670548088196195,0.93613180297416,0.7989018897365884,0.8819625437500078,0.9256609413956567,0.9540509517868182
augmentation:Origin,0.8468156388007221,0.7043126601499479,0.8478367010582424,0.9476068459103458,0.8216182946279224,0.8764893446498842,0.8773698515004289,0.8690989665536829,0.8659709302780595,0.9213836998914399,0.7882143719240069,0.8727796027835306,0.9098232635432388,0.9658740515199845
augmentation:Oversampling,0.8451737901476545,0.7003981879982112,0.8518895650862496,0.9626540464352288,0.8215112190298198,0.8867329873689351,0.8771026431444031,0.8734204908072676,0.8491876895244321,0.923267302032932,0.7847885084443247,0.8715053592185731,0.9139282257035113,0.9422811657242279
augmentation:SMOTE,0.8492988499567201,0.7183016168128187,0.8390529066906128,0.9538030057861469,0.83247678394065,0.8998385529940554,0.8875759855628524,0.8725914057027738,0.8510032370273914,0.9376743703792316,0.7758818602675537,0.8730240152581101,0.9151377404697482,0.9555272429660493
preprocess:minmax,0.8433616993581791,0.7070027268713394,0.8268148014221365,0.9528286591950816,0.8248172601592123,0.8882165737298604,0.8669977247768373,0.8679315796823075,0.8474838908955388,0.9247864798682467,0.7839337326242248,0.861118737044489,0.9128007788629209,0.9184400229959551
network_architecture:AE,0.825645706881277,0.7075563795695652,0.8307064094624557,0.9592601319904502,0.8424502245422278,0.8816621769750247,0.8727154744040013,0.8521105378087892,0.7747498781598774,0.9291215967279308,0.7809662155342955,0.8346344737136203,0.888493727538074,0.9082998626128203
network_architecture:FTT,0.7473229590339433,0.6185460933832222,0.7477381238007872,0.8053662669809256,0.7089021213979035,0.7122713834893551,0.7758070833200681,0.774435026788865,0.7887503099212572,0.7415588188195616,0.6758684825755563,0.7536984749455854,0.8831390996184676,0.9044396474921721
network_architecture:MLP,0.8542196806884588,0.6656623395348406,0.8085554012076266,0.9808445757932367,0.8010923699222914,0.9201480700673359,0.860039087233365,0.879251822586299,0.8881900771669659,0.9589093047533271,0.7666141039927977,0.882406275954444,0.9217892885207584,0.9163137951643017
network_architecture:ResNet,0.9460353832813738,0.9053985967075308,0.9408567738271247,0.9881886006768752,0.9513268027327507,0.9740836559514329,0.954060775565554,0.9621738910946006,0.9789047947655359,0.9822530436831719,0.9398499288185884,0.968044076028815,0.9778943045589071,0.963326099122163
"hidden_size_list:[100, 20]",0.8433616993581791,0.7070027268713394,0.8268148014221365,0.9528286591950816,0.8248172601592123,0.8882165737298604,0.8669977247768373,0.8679315796823075,0.8474838908955388,0.9247864798682467,0.7839337326242248,0.861118737044489,0.9128007788629209,0.9184400229959551
act_fun:LeakyReLU,0.8411452050300466,0.6895266009553664,0.8245401618807396,0.9781830559518735,0.8174879189497234,0.8977424694079308,0.8620868783306661,0.8614963995214729,0.8285412802939353,0.9456349746010615,0.7745587643995844,0.8620004681526496,0.8983468266475396,0.8895692699203274
