Domain,GANomaly,REPEN,DeepSAD,DevNet,PReNet,FEAWAD,XGBOD
"('Physics', 1, 5)",0.7137584319714904,0.8697127826566543,0.6963217513045692,0.8082389376776546,0.8131178142632896,0.7919901573968012,0.8936829154469474
"('Physics', 2, 10)",0.7264435110941411,0.8369606720122185,0.8470154002800051,0.8473123753765219,0.8140935895804164,0.8130753892495014,0.8039540112850536
"('Physics', 2, 20)",0.7350982139069193,0.7917780323278605,0.8559246531755124,0.9057316193627764,0.8765856348903313,0.8950405158881676,0.8978829918119724
"('Physics', 2, 5)",0.7196767213949344,0.7532136947944509,0.8128208391667728,0.6895761741122566,0.6757880446311145,0.7435832166645454,0.654320987654321
"('Physics', 3, 10)",0.6386639676113358,0.8524907586692484,0.6484333744059145,0.8970691779616266,0.8044358387607815,0.915287801443408,0.8889280056328112
"('Physics', 3, 20)",0.6470471747931702,0.8947808484421758,0.7862172152790001,0.9249251892272488,0.891040309804612,0.8732617496919557,0.9232969547614857
"('Physics', 3, 5)",0.6344833656046471,0.8451857067417708,0.6049551135363492,0.891480373173737,0.8407410667136068,0.8184738602358739,0.8513465939095229
"('Sociology', 1, 10)",0.7751967415039274,0.8716904998729702,0.8222181198279921,0.882198081205386,0.8444145762551347,0.8522472220988946,0.9251936942276356
"('Sociology', 1, 20)",0.7827312617680078,0.9362516104641834,0.8365290630199773,0.9069558521320806,0.8728890458415937,0.890458671146718,0.9286460584801831
"('Sociology', 1, 5)",0.5009527268309772,0.9352513137363411,0.757889019284582,0.8424583434632792,0.8292597851129733,0.8444119954244649,0.8647404732000366
"('Sociology', 2, 10)",0.49422667076513227,0.919195227849074,0.827564412083643,0.8204166666666667,0.8515673642596719,0.8593512737262736,0.9052982194087963
"('Sociology', 2, 20)",0.4383276285680132,0.9255139305139306,0.8648804560823792,0.914781746031746,0.8900824496016804,0.8825246014669091,0.9370639083139083
"('Sociology', 2, 5)",0.47317146528684983,0.908946790389098,0.8021850585312125,0.8390972222222223,0.7986738902123518,0.8539119480946404,0.86427276783046
"('Sociology', 3, 10)",0.7856575302480138,0.9167206787716775,0.8167608026441147,0.8568699587104148,0.852841938952768,0.8034724601463149,0.9198828973493469
"('Sociology', 3, 20)",0.7631646369115855,0.945090110647117,0.8318230422767698,0.9099758448125965,0.8826312544103507,0.8588914587914476,0.9465991979657179
"('Sociology', 3, 5)",0.8092126995296728,0.8877291161192298,0.7832958904802187,0.8614984523970701,0.7983627322890592,0.717352073047703,0.8997449110257443
