component,Astronautics,Biology,Botany,Chemistry,Document,Finance,Healthcare,Image,Linguistics,Network,Physical,Physics,Sociology,Web
augmentation:GAN,0.21022913538423632,0.1387562151619052,0.22090180866732934,0.47066288241119036,0.19506376586798554,0.4426311417846126,0.17057083604471168,0.3116205276890214,0.5001268861873577,0.47579042291084944,0.1937521990110714,0.23608521138938496,0.34907377997236944,0.618122334344529
augmentation:Mixup,0.8443260179266598,0.7405989171580872,0.8310773326665699,0.9464861462526257,0.8582734062577004,0.9166109622784288,0.882048079797991,0.8840472739932779,0.8738583775733352,0.9218668484507954,0.8309111775371537,0.8660108797972396,0.9279237984046341,0.9692138204925533
augmentation:Origin,0.16511572046926798,0.11465792383655116,0.21114915835558873,0.28605744900295355,0.1727365032791506,0.4442157533288993,0.1673129324252425,0.3015721837069468,0.4611370782152269,0.4276736146233661,0.19924215843085383,0.24958910414669308,0.34813367112970506,0.6300106835398717
augmentation:Oversampling,0.8623435133651531,0.7724011407900527,0.8510615587754629,0.9595548912502458,0.8715566454098574,0.9302132670364921,0.8955117838672321,0.8993622713480022,0.8734135962262496,0.9302146741799123,0.8501746086272195,0.8867016492581723,0.9303203995578173,0.9640791621761969
augmentation:SMOTE,,,,,,,,,,,,,,
preprocess:minmax,0.5255457373058557,0.44720709286429244,0.534198043152731,0.6866836321557387,0.5294632566937241,0.6876067956273443,0.5354423871882935,0.6038162024432933,0.6803089600226058,0.6922790029551724,0.5240775998019251,0.5648097206272799,0.6441577209555673,0.7984421899066503
network_architecture:AE,0.5049354854462914,0.44696039284485506,0.5304258497647149,0.6905312367280478,0.5462089590450313,0.6784857205618612,0.5282713664155548,0.5826491434052112,0.6014518336730301,0.6874287521778378,0.5110870273028365,0.552797565384895,0.6233430022734684,0.7916709859076867
network_architecture:FTT,0.4367701099027292,0.3406574810664303,0.42975016602909455,0.5039721073977589,0.40381062561250947,0.4472615752670782,0.4436835801198739,0.46801209698353957,0.5199597750681766,0.4413616009213776,0.40855078984881676,0.4582707697335414,0.4693348395184002,0.7478539603749983
network_architecture:MLP,0.5118905067337811,0.39369508962511046,0.5160738622967764,0.7077489210922827,0.4942305599640768,0.7120796215660542,0.5145491041152864,0.6105093336720557,0.7299806219434711,0.7388713532638247,0.49203115628042804,0.5268304969804313,0.6824649008307153,0.8080522695677609
network_architecture:ResNet,0.69949508386419,0.6979822132178296,0.6910991368533993,0.7817495034163053,0.7012136128586376,0.8610257824113161,0.6976221289088995,0.7642176054606854,0.8923937494945554,0.8021862446548137,0.7557507091413846,0.7998336525166224,0.7494259221826719,0.8342028407292873
"hidden_size_list:[100, 20]",0.5255457373058557,0.44720709286429244,0.534198043152731,0.6866836321557387,0.5294632566937241,0.6876067956273443,0.5354423871882935,0.6038162024432933,0.6803089600226058,0.6922790029551724,0.5240775998019251,0.5648097206272799,0.6441577209555673,0.7984421899066503
