,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,23_mammography,38_thyroid,44_Wilt,3_backdoor,11_donors,28_pendigits,9_census,24_mnist,36_speech,1_ALOI,5_campaign,41_Waveform,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,25_musk,33_skin,8_celeba,19_landsat,2_annthyroid,30_satellite
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.33210027027913763,0.4797093820854322,0.5613709980863333,0.6381542786302952,0.6095652957910038,0.5250933369248313,0.42204203099988924,0.9567865310594166,0.32881354637430504,0.5996469792113572,0.9722880226243725,0.9807657800918136,0.9905632815306985,0.7462191506578706,0.9071806655796193,0.6642595362432613,0.6209825873985436,0.9370261259769654,0.7281779163923539,0.8998742945808363,0.4826517604081926,0.9488334573149093,0.8419746760966749,0.8216103830647628,0.9847746366773553,0.8789516258777328,0.4462369624550456,0.6404207765758059,0.7113842774801691,0.66736970942965
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9866867627803632,0.8408531813421419,0.9982743511284689,0.9434683231638558,0.9919056915889818,0.9986245515816574,0.6935387863921101,0.983465677826937,0.9898364342349626,0.9510541011925702,0.9911435707144827,0.9348280995766006,0.9911882308285171,0.9966725251010156,0.9951790943356595,1.0,0.9153722781922786,0.9922405930904393,0.9947458325580799,0.9956253344232304,0.8814352771960965,0.9473892826367533,0.9978445521744517,0.9572567453582613,0.9871891151580576,0.933046916641559,0.989018067638456,0.93813651597901,0.9480699074466473,0.9452903770830846
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9143519804819839,0.6142632456093956,0.7329218633608311,0.9281584665360951,0.6649387914217889,0.9134938955333529,0.7462189812801711,0.9389809583838377,0.9898167331177213,0.5890127517575987,0.9780879453596475,0.963444550163122,0.9899572404005523,0.9833708731171016,0.9628482476354046,0.9999801726526545,0.45413579331409526,0.9218456178316159,0.9167767404535203,0.9899515125523118,0.694429376428765,0.9475431836953926,0.769533196988671,0.8675206734302081,0.9915360103019596,0.7877436892800201,0.9728589820164197,0.6295040511224399,0.7442959301638478,0.746384023003115
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 2, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.7392358116547959,0.633904068544835,0.762827764957962,0.8977525048244461,0.7724110086338778,,0.7321084267035971,0.8535133819869825,0.9246442659140361,0.6479023641247629,0.8858305576510104,0.9492246153598514,0.9702719964196271,,0.7147975634957147,,0.6263177208577013,0.5555992518892408,0.49835537178929146,0.916357427530676,0.5854871821538272,0.9570340087299773,0.7309950091090425,0.8117804438312392,0.9828517893701199,0.7441854939873753,0.7670906755083314,0.6395010523082827,0.7727115374048106,0.75510246490912
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9677804076307162,0.48052809727656354,0.806295277503854,0.9270537815268777,0.6356060707913105,0.9855257114886823,0.7830603981591073,0.9345270984258054,0.9894931805627276,0.5784713827946151,0.9782010705925321,0.9581825293323589,0.9899499385272336,0.979208482435429,0.960695186157811,0.9999979066814031,0.5,0.9017456028749338,0.8917346745990113,0.9927341338592366,0.6651461859982553,0.9453696333872186,0.5,0.855277818274176,0.9900461320221491,0.7761713528033846,0.9461349187374533,0.6185995898110981,0.6482466174353709,0.7295481277596507
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9568974192887973,0.6448892196026016,0.8345887376497972,0.948669667894672,0.7451040748190106,0.9856576385050201,0.7773319024141634,0.9357378823026689,0.9894760972919459,0.9661884020802617,0.9525540286060286,0.9456028107231034,0.9839072630655908,0.949562974389836,0.9595965397981214,0.9959266586704905,0.6779128079086884,0.8900059902632306,0.8744823254192831,0.9890800629996467,0.7042295979900647,0.959958522016422,0.7957133908684094,0.9078173481729401,0.9865759451433912,,0.8697551469206155,0.7394362725294781,0.7698978503817007,0.7237040870852753
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9935053976002691,0.848302884139271,0.9644901153490997,0.9689646625579124,0.9283985874986513,1.0,0.7982429741367405,0.9270846544935514,0.9907839795818949,0.9676736194834017,0.9925908156273114,0.934326446053233,0.9914735065194809,0.9596078364188643,0.9880688841224503,0.9998409359975161,0.8267282072703513,0.9053439581892209,0.9521071019068503,0.9853968344537727,0.8357187586814774,0.9447182833654661,0.9618454362099673,0.9264365887639208,0.985953703745577,0.7815712903738729,0.9850704232995113,0.8654566948857201,0.9091698709735403,0.8242043508001423
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.5494381704967746,0.4293505591783855,0.5495040537724114,0.8565144724712767,0.49922730431017526,0.6991850143815539,0.5492533823323558,0.9323353543381864,0.9865890638232115,0.5468720532609097,0.9351575454640042,0.9582759670617214,0.9834384366364636,0.8454551183862764,0.9275548035336086,0.5206755297244037,0.43854058366569154,0.5183241798295325,0.609528838266935,0.920739087007803,0.3817609099236421,0.9087811990326158,0.43845532046314706,0.7560625195483596,0.9829835327056422,0.7833041020774503,0.8308615515962982,0.43174463108560734,0.6375164275965487,0.596571389840088
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9866867627803632,0.8408531813421419,0.9982743511284689,0.9434683231638558,0.9919056915889818,0.9986245515816574,0.6935387863921101,0.983465677826937,0.9898364342349626,0.9510541011925702,0.9911435707144827,0.9348280995766006,0.9911882308285171,0.9966725251010156,0.9951790943356595,1.0,0.9153722781922786,0.9922405930904393,0.9947458325580799,0.9956253344232304,0.8814352771960965,0.9473892826367533,0.9978445521744517,0.9572567453582613,0.9871891151580576,0.933046916641559,0.989018067638456,0.93813651597901,0.9480699074466473,0.9452903770830846
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.6948756892777335,0.525655428017731,0.5981687780233078,0.8577916001111195,0.6736635237775541,0.5594346923089345,0.6661137695048278,0.9181409323808031,0.9901984166589886,0.5887872107205452,0.9626424149437255,0.9551034609215825,0.9895213278282439,0.943383336887925,0.9092773797070683,0.3979784930493261,0.6456509386664478,0.9137845954200944,0.8731109726912548,0.9925998194161223,0.676987079580608,0.9460766640686848,0.7644713554238672,0.7768521989598207,0.988841993737708,0.7577740298341265,0.8865296184874846,0.6435658708988697,0.7545095841007249,0.6623837707421959
