,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,24_mnist,9_census,28_pendigits,11_donors,1_ALOI,44_Wilt,38_thyroid,2_annthyroid,3_backdoor,41_Waveform,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,25_musk,33_skin,19_landsat,5_campaign,30_satellite
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.45579161167848237,0.490481179385921,0.7291104697815837,0.6250421431503094,0.5014527388166523,0.4667219735671368,0.8767872322896818,0.8353011848307759,0.9928674250418537,0.9736528620893998,0.5140838837103883,0.6176867266417443,0.995737099271437,0.7231412475119179,0.9731317887355084,0.5656308226082317,0.8367616266490076,0.43022371201939535,0.9521669652002119,0.8306901198171392,0.7963643027931004,0.992382793422411,0.6308406605517385,0.6870946551540518,0.9253060535074492,0.6247308234089175
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.7017313976288007,0.9927306657236614,0.9666121964227719,0.9617383399220554,0.9982955008296401,0.9226073638885206,0.9905762927797506,0.9938306989458064,0.9994805345907098,0.9739589759804761,0.8377141068864564,0.9477583533541996,0.9984243804149134,0.9394880184768191,0.999047329098323,0.9730251384936275,0.9996237754040342,0.8669326271209268,0.9598883448885579,0.9667917495584661,0.9340701353214556,0.9967193123086929,0.8440065846146818,0.8790779384848592,0.9951376605748359,0.8728964620072185
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.6512925767733146,0.7268310813854438,0.9433021773684339,0.6405968550125998,0.8961786737613624,0.7927068651189106,0.9549410465204851,0.9623658236548619,0.9965035583652324,0.965824949981959,0.5003016633205526,0.6055494012737139,0.9976260611812939,0.7649010970846659,0.9897602730646496,0.8979113585678722,0.9990965344339775,0.6989920303856338,0.957788867749886,0.750670056405801,0.8168715373876826,0.9969692843254161,0.7586795613384258,0.6957202978133123,0.8983723568304871,0.7470700217735933
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 2, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.666487167484698,0.682453436437638,0.9439619558357774,0.7453422539986923,,0.7142460393549908,0.8865423562013477,,0.5265429316050494,0.9192718686035027,0.568405308081319,0.6061571078115366,0.9898996038378509,0.7900167135304316,0.8452504064016635,0.8774892851175817,0.9334824764182701,0.6962415700345133,0.9505522688300319,0.6616771547753411,0.7249920155586713,0.993858335700195,0.7474927851256805,0.7448645087708565,0.8680951989000654,0.7309039587174619
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.4661893395180611,0.7915457796862442,0.9376106322252997,0.6533629236036939,0.9620542274384758,0.8302642618993501,0.9557001076378293,0.9592303223033073,0.9955529999145925,0.9648262313646052,0.5,0.5981620955559493,0.9974971920436454,0.6857492932421891,0.9891795661396205,0.8754784639777949,0.9993100738625268,0.7114161558898824,0.9527061248775213,0.5,0.7643961644848596,0.9964284910608788,0.7488267263935474,0.688080667040011,0.8810736969899737,0.7304186147672276
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.6433827737711283,0.8699613080239967,0.9606168507255829,0.6849192361476366,0.9626767761013818,0.794549348794474,0.9505411189920331,0.9351412643522009,0.9933183561502361,0.9411026359914552,0.5929645648695653,0.9526022606394493,0.9969477761658483,0.7872112646913463,0.9414146868804268,0.8746839875417316,0.9987939144544288,0.7121867893322478,0.963805621313188,0.7735417356427514,0.8648911819591594,0.99641429201786,,0.6854596644030738,0.8768853061094151,0.7292292730765622
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.8174034540271262,0.9233254373090798,0.9311892357683433,0.8106151867690123,0.9997709561369981,0.8856292840972309,0.974614141815061,0.9682952365487125,0.9946192723875718,0.9662664488200461,0.7617509393149379,0.9739368467092517,0.9976137304741826,0.5151195541970809,0.9588045563462149,0.9760831608587222,0.9990794865049826,0.7308459644146338,0.9427581191455001,0.9479475925855327,0.9196362803269618,0.9851712064948956,0.778601758221666,0.8497009107189085,0.9161578296315818,0.7422880662899392
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.4011442980827421,0.5886953804786337,0.8430442392188506,0.47977638969694514,0.7602716407619508,0.5690844220544468,0.8969631390178642,0.8274827296781977,0.993584161727664,0.958559642327913,0.461939279300122,0.5604999971672346,0.9721083202154484,0.6891299753071399,0.938440656529324,0.5976879032052379,0.9317322453951608,0.4077287986406165,0.9182811895919811,0.43504989161814034,0.7486687547180879,0.9916093572077603,0.7599651000780696,0.4486164180093998,0.566080487806919,0.6188512143932947
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.7017313976288007,0.9927306657236614,0.9666121964227719,0.9617383399220554,0.9982955008296401,0.9226073638885206,0.9905762927797506,0.9938306989458064,0.9994805345907098,0.9739589759804761,0.8377141068864564,0.9477583533541996,0.9984243804149134,0.9394880184768191,0.999047329098323,0.9730251384936275,0.9996237754040342,0.8669326271209268,0.9598883448885579,0.9667917495584661,0.9340701353214556,0.9967193123086929,0.8440065846146818,0.8790779384848592,0.9951376605748359,0.8728964620072185
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.552755242056187,0.5388564395678244,0.844124104890325,0.6326353885309436,0.5321963764900398,0.6823375874190017,0.8767760989538262,0.923462195916814,0.9953337927623518,0.9656197128620025,0.5019120192384012,0.6167612528878945,0.9976778653719396,0.7738323269187348,0.9440370578088498,0.8022759394273888,0.9988888179719017,0.6537656284550427,0.9541606318612739,0.7720100551132397,0.756841072457828,0.9966910114006445,0.7362168911988805,0.6896982815746089,0.9025508401439964,0.6360686803444463
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 2, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5478337448739111,0.7098306949170479,0.8958867001790153,0.5,,0.7401998092471659,0.5,,0.9832545582938563,0.9569304803253,0.5,0.5750906072646026,0.9957038374397031,0.8397854299581884,0.5,0.6987632014465868,0.9647098063004,0.6543789050907148,0.9524313131493912,0.5,0.8144949911472328,0.5,0.7491975097494001,0.6187224433617592,0.5,0.7127148951476848
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.6458399380207388,0.9825907450425908,0.9614082177762828,0.9504782450905042,0.9972238542106016,0.8606646875295989,0.9876344449492667,0.9978951224018151,0.996224643131603,0.9693062037257484,0.5,0.6421857907606623,0.9980374475691405,0.8359417185361939,0.9973102628272682,0.9705007976969918,0.9993126736670701,0.7254396332932505,0.9580661230140465,0.8883366104210636,0.9101174814409024,0.9966822168842682,0.7730655515739047,0.8061430569634594,0.9967554985357656,0.8324512071040426
