,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,24_mnist,9_census,28_pendigits,11_donors,1_ALOI,44_Wilt,38_thyroid,23_mammography,2_annthyroid,3_backdoor,41_Waveform,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,25_musk,33_skin,8_celeba,19_landsat,5_campaign,30_satellite
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5958726376436264,0.5254886889684689,0.792872127499652,0.5809438973524488,0.43276254694939814,0.4171987731881974,0.8707351576442593,0.7435384889946461,0.9987433670434266,0.9798950624628199,0.5044724568709102,0.6615308744794767,0.9983300416418799,0.9596881618084474,0.7096813801308746,0.9828516359309936,0.652375252825699,0.8598026174895895,0.35448530636525877,0.9787081499107674,0.8060092801903629,0.8424998215348006,0.9951388459250446,0.7755678762641284,0.5342161808447352,0.6918456870910172,0.8643832242712671,0.6456754312908983
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.8268949048501041,0.9933522578391125,0.9841625196900278,0.9723975722208194,0.9964249071249337,0.9625115264580878,0.9908561570493754,0.9979828673408685,0.9994410469958358,0.9818753123140989,0.8061008923259964,0.9818729327781083,0.9994591314693635,0.9842428316478286,0.9685058893515764,0.999501011302796,0.9914484235574063,0.9979712076145152,0.9066013087447947,0.9790205829863176,0.976266983938132,0.9619307555026769,0.9987631171921475,0.9150374776918502,0.9919346817370613,0.8168454491374183,0.9988656751933372,0.8835983343248067
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.6952544911406514,0.7784531400122281,0.9768843859647965,0.6779422560764619,0.9534754498156148,0.8529965852791398,0.9641860797144556,0.9741812016656752,0.9991971445568114,0.9777289708506842,0.6108804283164783,0.7074374776918502,0.9984049970255799,0.9412943486020227,0.7735747769185009,0.9989534800713861,0.9415921475312314,0.997881499107674,0.7178298631766805,0.9789496728138013,0.7740101130279595,0.8880261748958953,0.9977970255800119,0.8826279595478883,0.9743168352171326,0.7175509815585961,0.9082819750148721,0.7395268292682926
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 2, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.7037445294956483,0.733714734911346,0.8870028329883111,0.7139714202882287,,0.890649355228421,0.8599000594883998,,0.37257882212968474,0.9765908387864365,0.6040954193932183,0.6604578227245688,0.9979792980368828,0.9155010113027958,0.8061258774538964,0.48025234979179054,0.7398208209399167,0.9491914336704343,0.7079406305770374,0.9685996430696016,0.6490506841165973,0.43732706722189174,0.9967635930993457,0.8721400356930399,0.6978698393813207,0.678047233789411,0.9002511600237955,0.7067181439619274
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.5936634349030471,0.8573543540920605,0.9787004548751089,0.5859551080623591,0.9795680541621451,0.878169929007302,0.9628141582391433,0.9783550267697798,0.999046757882213,0.9778605591909578,0.5,0.6677816775728733,0.9982612730517549,0.931844497323022,0.6334434265318263,0.9956373587150507,0.9351359904818561,0.9980490184414039,0.7032289113622844,0.9789466983938132,0.5,0.8738278405710886,0.9979374182034504,0.8781092207019632,0.9648872099940513,0.7125941701368234,0.8898453301606187,0.7249533610945866
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.7297801348981298,0.8993265787405015,0.9737788553354614,0.7065301508477588,0.9825618958570782,0.8658087668171208,0.9536173706127306,0.966015229030339,0.9973863176680546,0.9508435455086257,0.6798405710886378,0.9770246281975016,0.9975659726353361,0.9472553242117786,0.8241558596073766,0.9628356930398572,0.9250500892325997,0.9979821534800714,0.717861273051755,0.9800430696014277,0.7965472932778108,0.9482881618084474,0.9973277810826888,0.8892078524687685,0.93383497917906,0.677116240333135,0.8528682926829269,0.7135894110648423
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.8407012694848301,0.9703537426849507,0.9811995293530716,0.8545112294139101,0.9987504805843906,0.9276417564583671,0.9689108863771564,0.9857506246281975,0.9995486020226055,0.9661589530041641,0.7438500892325997,0.9694610350981558,0.9973446757882213,0.952866745984533,0.9659716835217133,0.9995923854848304,0.9786186793575253,0.9974093991671623,0.756456038072576,0.9775747769185008,0.9340523497917906,0.9502986317668055,0.9968009518143961,0.8578465199286139,0.9866430696014277,0.843792266508031,0.9408537775133848,0.7565265913146937
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.4896598247799505,0.6464809153637872,0.8875294401796008,0.4958734300330126,0.8309963850954003,0.5975937799485905,0.9020901844140392,0.8999916716240334,0.9983723973825104,0.9589764425936943,0.5282521118381915,0.6295960737656158,0.9857556216537776,0.9384019036287924,0.5812844735276621,0.9394001189767995,0.5503841760856634,0.9633791790600834,0.3409639500297442,0.9649425342058299,0.42767626412849497,0.6693858417608567,0.9960085663295657,0.8780866151100535,0.9156741225461036,0.364661748958953,0.5745032718619869,0.5970162998215348
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.8268949048501041,0.9933522578391125,0.9841625196900278,0.9723975722208194,0.9964249071249337,0.9625115264580878,0.9908561570493754,0.9979828673408685,0.9994410469958358,0.9818753123140989,0.8061008923259964,0.9818729327781083,0.9994591314693635,0.9842428316478286,0.9685058893515764,0.999501011302796,0.9914484235574063,0.9979712076145152,0.9066013087447947,0.9790205829863176,0.976266983938132,0.9619307555026769,0.9987631171921475,0.9150374776918502,0.9919346817370613,0.8168454491374183,0.9988656751933372,0.8835983343248067
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5381075947810979,0.6147357847846973,0.8820878325362735,0.644371498845028,0.53365740077212,0.7572727481965348,0.8771481261154075,0.9426279595478881,0.9987148126115407,0.977116240333135,0.5583668054729328,0.6884770969660916,0.9988609161213564,0.9159501487209993,0.7454649613325403,0.9491728732897087,0.9210760261748958,0.9977163593099345,0.7171298036882809,0.9788813801308744,0.7999695419393218,0.6789406305770376,0.9960130874479477,0.8605211183819155,0.9386199881023201,0.7047156454491375,0.8679340868530636,0.6501146936347412
