,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,23_mammography,38_thyroid,44_Wilt,3_backdoor,11_donors,28_pendigits,9_census,24_mnist,36_speech,1_ALOI,5_campaign,41_Waveform,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,25_musk,33_skin,8_celeba,19_landsat,2_annthyroid,30_satellite
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.14462479099951825,0.5201214419847023,0.6340676799899919,0.6690126247515112,0.6200573023976174,0.5269381290060657,0.41741583716314523,0.9518439250979823,0.14078188416315868,0.6634683698650021,0.9667656844244448,0.9868878501959645,0.9937865002177384,0.6830558861953839,0.9216692117869065,0.7544052257221658,0.6392615473943969,0.9299922775439107,0.769901349978226,0.8869282624473798,0.5200565539265496,0.9764626506024097,0.8358198867760197,0.8113739584845406,0.9934181448686311,0.9254993177529396,0.3985823196400058,0.6787762519959355,0.7097341268689215,0.6869499782261577
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9945128517584381,0.8792343171543868,0.9983803507016118,0.978489872814313,0.9937373690759523,0.9986357666909014,0.7571566555477561,0.9878016548120191,0.9940707795035563,0.972920307736972,0.9905016112643344,0.9693159529685006,0.9956686892146901,0.9977931194658151,0.9973100304833794,1.0,0.9353462040934822,0.9984448250834664,0.997041079982581,0.9971844970242416,0.9039465815067499,0.9785415590071128,0.9984520249673392,0.9729256495862971,0.9944666569894034,0.9565424299608071,0.9925547394396864,0.9552687472782697,0.9686020031934969,0.9529666424735085
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9116707285969337,0.6521849714813058,0.7871412189070285,0.9648267931761938,0.716895653020532,0.9462766018646713,0.7624747175651667,0.9394415444912179,0.9936601538684859,0.6513479460008711,0.9886314994919436,0.981614051386268,0.9938947307301494,0.9870757439396138,0.9811906517636814,0.9999802583829293,0.4945017273914937,0.9486645957323269,0.9499812454637829,0.9941403396719407,0.7197144433154303,0.9783571490782406,0.7795980839018725,0.879269327914066,0.9942907243431558,0.8975772390767891,0.9812479024531863,0.7459339817099724,0.7691526781826099,0.7590956016838438
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 2, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.8272476913796664,0.6711038824988866,0.8013940493317486,0.9447689307882673,0.760861258075209,,0.774219815752778,0.8825613006241835,0.9671077950355639,0.7044521991580781,0.905674205254754,0.9762013644941211,0.9773469589200174,,0.7096170706924082,,0.6292751923356075,0.6626233125272173,0.5917850486282479,0.954645957323269,0.6739711424009291,0.9783482072869792,0.7829007403106402,0.7894887501814486,0.9926993177529395,0.8655429815648135,0.8805953839454204,0.7405327914065902,0.7975629554362026,0.7516907533749455
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.971868939998138,0.5299093034383225,0.8362277683951543,0.9676768073755527,0.6030393569885344,0.9906026788282496,0.8163066738059785,0.9317262882856727,0.9935263753810422,0.6510272027870518,0.9861754100740311,0.9807588909856292,0.9938708085353463,0.981863492524314,0.9818660473218174,0.9999979097111338,0.5,0.9370395703295107,0.9402798664537668,0.9949144433154304,0.6730631441428364,0.9777249528233416,0.5,0.8637345333139788,0.9943234722020613,0.8918324285092176,0.9621180432573668,0.7359227754391059,0.6595298011322398,0.7388418638409058
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9591143440117567,0.7016173749158278,0.8433769104063717,0.9685211621161103,0.7574012783015709,0.9919384221244674,0.816150580195221,0.9243642908985339,0.9932662505443463,0.9816066192480767,0.9362957758745827,0.9698617506169255,0.992087792132385,0.9511817680359994,0.9787668456960371,0.9960395993613006,0.7162116998112934,0.9077028305995064,0.9235095950065322,0.9934628538249384,0.7066567571490783,0.9787073885905065,0.8446478734213965,0.9251476847147627,0.9937279721294817,,0.9186576861663522,0.7775112788503411,0.7925376687472783,0.7259116852953984
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9963366719431276,0.8678287884354331,0.9839010862992849,0.9810172319363869,0.9066883187413507,1.0,0.8802166011704183,0.915591000145159,0.9946398025838293,0.9821140949339527,0.9957205980548701,0.9728268253737843,0.9951187109885324,0.9894140804180578,0.9925072434315575,0.9998571635941356,0.8111838583248656,0.9449163594135579,0.9804323414138482,0.9943574974597184,0.8300506895050079,0.9715669618231964,0.9791705037015532,0.9660773987516331,0.9925578748729859,0.8846928146320221,0.9921666424735085,0.9009539846131513,0.9287044273479461,0.7829041079982582
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.6665490933528736,0.4366264231330317,0.536655199015867,0.8780832893829364,0.5283717778656968,0.706029089398921,0.5889383553220353,0.9316809986935696,0.9904027870518218,0.6439694585571201,0.9310303382203513,0.9771545362171578,0.9915538394542023,0.8751360139352591,0.9481541007403105,0.5790592538830018,0.4219704456379736,0.5388864566700537,0.634423806067644,0.9675911162723181,0.3163039047757294,0.9290751052402382,0.4590155900711279,0.6267986645376687,0.9914456089417912,0.8901842357381332,0.8935600522572217,0.43704920888372767,0.6660285092175933,0.6337784874437509
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9945128517584381,0.8792343171543868,0.9983803507016118,0.978489872814313,0.9937373690759523,0.9986357666909014,0.7571566555477561,0.9878016548120191,0.9940707795035563,0.972920307736972,0.9905016112643344,0.9693159529685006,0.9956686892146901,0.9977931194658151,0.9973100304833794,1.0,0.9353462040934822,0.9984448250834664,0.997041079982581,0.9971844970242416,0.9039465815067499,0.9785415590071128,0.9984520249673392,0.9729256495862971,0.9944666569894034,0.9565424299608071,0.9925547394396864,0.9552687472782697,0.9686020031934969,0.9529666424735085
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.7971905881971911,0.5380322344565076,0.6708579887825524,0.8802188983325896,0.6759943924465738,0.5583494639768443,0.7247927739064459,0.9210075192335607,0.9940958629699521,0.6472484250254029,0.9421866744084773,0.9807266076353607,0.9935275366526346,0.9363257366816664,0.9241817390042095,0.37765899259689356,0.6408555087821164,0.9138905501524168,0.9146237770358542,0.9945753520104514,0.706714820728698,0.9768263608651474,0.7787466395703295,0.6998707504717665,0.9935319494846857,0.8716678763245753,0.9343021048047613,0.6875052983016403,0.7529723327043112,0.6814100159674843
